"Дата";"Время";"Необходимо";"Фактически";
"05.02.2018";"00:00";"0,73";"0,55";
"05.02.2018";"00:15";"0,76";"0,61";
"05.02.2018";"00:30";"0,74";"0,53";
"05.02.2018";"00:45";"0,91";"0,42";
"05.02.2018";"01:00";"0,9";"0,44";
"05.02.2018";"01:15";"0,71";"0,68";
"05.02.2018";"01:30";"0,6";"0,36";
"05.02.2018";"01:45";"0,55";"0,45";
"05.02.2018";"02:00";"0,63";"0,59";
"05.02.2018";"02:15";"0,49";"0,42";
"05.02.2018";"02:30";"0,66";"0,51";
"05.02.2018";"02:45";"0,72";"0,34";
"05.02.2018";"03:00";"0,3";"0,2";
"05.02.2018";"03:15";"0,47";"0,18";
"05.02.2018";"03:30";"0,41";"0,2";
"05.02.2018";"03:45";"0,54";"0,25";
"05.02.2018";"04:00";"0,57";"0,29";
"05.02.2018";"04:15";"0,61";"0,33";
"05.02.2018";"04:30";"0,62";"0,3";
"05.02.2018";"04:45";"0,73";"0,22";
"05.02.2018";"05:00";"1,32";"1,12";
"05.02.2018";"05:15";"1,17";"0,91";
"05.02.2018";"05:30";"1,22";"0,74";
"05.02.2018";"05:45";"1,27";"0,72";
"05.02.2018";"06:00";"1,8";"2,61";
"05.02.2018";"06:15";"1,84";"2,3";
"05.02.2018";"06:30";"1,84";"2,22";
"05.02.2018";"06:45";"2,14";"1,87";
"05.02.2018";"07:00";"2,32";"1,89";
"05.02.2018";"07:15";"2,68";"1,96";
"05.02.2018";"07:30";"2,94";"2,34";
"05.02.2018";"07:45";"2,98";"2,25";
"05.02.2018";"08:00";"3,89";"3,34";
"05.02.2018";"08:15";"4,26";"3,52";
"05.02.2018";"08:30";"5,14";"4,21";
"05.02.2018";"08:45";"6,07";"4,23";
"05.02.2018";"09:00";"6,95";"7,07";
"05.02.2018";"09:15";"7,75";"5,9";
"05.02.2018";"09:30";"8,09";"6,27";
"05.02.2018";"09:45";"8,86";"6,71";
"05.02.2018";"10:00";"9,26";"6,91";
"05.02.2018";"10:15";"9,46";"7,12";
"05.02.2018";"10:30";"9,72";"7,22";
"05.02.2018";"10:45";"9,92";"7,65";
"05.02.2018";"11:00";"10,2";"7,71";
"05.02.2018";"11:15";"10,59";"7,88";
"05.02.2018";"11:30";"11,07";"8,62";
"05.02.2018";"11:45";"11,35";"8,51";
"05.02.2018";"12:00";"11,72";"8,06";
"05.02.2018";"12:15";"11,86";"8,9";
"05.02.2018";"12:30";"12,24";"9,75";
"05.02.2018";"12:45";"12,03";"9,18";
"05.02.2018";"13:00";"12,3";"9,78";
"05.02.2018";"13:15";"11,74";"8,43";
"05.02.2018";"13:30";"11,66";"9,15";
"05.02.2018";"13:45";"11,58";"8,98";
"05.02.2018";"14:00";"11,42";"9,05";
"05.02.2018";"14:15";"11,46";"8,85";
"05.02.2018";"14:30";"11,57";"9,29";
"05.02.2018";"14:45";"11,79";"8,68";
"05.02.2018";"15:00";"11,83";"8,47";
"05.02.2018";"15:15";"11,3";"9,08";
"05.02.2018";"15:30";"11,38";"8,29";
"05.02.2018";"15:45";"11,25";"8,37";
"05.02.2018";"16:00";"10,88";"8,28";
"05.02.2018";"16:15";"9,11";"8,71";
"05.02.2018";"16:30";"8,66";"8,19";
"05.02.2018";"16:45";"8,56";"7,7";
"05.02.2018";"17:00";"8,24";"6,66";
"05.02.2018";"17:15";"7,64";"6,42";
"05.02.2018";"17:30";"7,41";"5,24";
"05.02.2018";"17:45";"7,1";"5,64";
"05.02.2018";"18:00";"6,71";"4,35";
"05.02.2018";"18:15";"6,52";"4,36";
"05.02.2018";"18:30";"6,23";"3,65";
"05.02.2018";"18:45";"5,76";"3,68";
"05.02.2018";"19:00";"5,64";"3,77";
"05.02.2018";"19:15";"4,94";"3,45";
"05.02.2018";"19:30";"4,73";"2,77";
