"Дата";"Время";"Необходимо";"Фактически";
"05.02.2018";"00:00";"3,28";"4,01";
"05.02.2018";"00:15";"3,8";"3,99";
"05.02.2018";"00:30";"3,71";"3,99";
"05.02.2018";"00:45";"3,15";"3";
"05.02.2018";"01:00";"4";"3,01";
"05.02.2018";"01:15";"3,22";"3";
"05.02.2018";"01:30";"2,74";"3";
"05.02.2018";"01:45";"3,34";"4";
"05.02.2018";"02:00";"2,84";"4";
"05.02.2018";"02:15";"2,82";"4";
"05.02.2018";"02:30";"3,95";"4";
"05.02.2018";"02:45";"3,6";"3,01";
"05.02.2018";"03:00";"4,14";"3";
"05.02.2018";"03:15";"4,41";"3,01";
"05.02.2018";"03:30";"4,72";"3";
"05.02.2018";"03:45";"4,91";"4";
"05.02.2018";"04:00";"6,19";"3,99";
"05.02.2018";"04:15";"6,08";"4,01";
"05.02.2018";"04:30";"6,72";"3,99";
"05.02.2018";"04:45";"7,78";"3,01";
"05.02.2018";"05:00";"9,07";"11,99";
"05.02.2018";"05:15";"11,22";"12";
"05.02.2018";"05:30";"13,47";"12,01";
"05.02.2018";"05:45";"14,75";"13,01";
"05.02.2018";"06:00";"17,4";"34,01";
"05.02.2018";"06:15";"19,66";"34,02";
"05.02.2018";"06:30";"20,6";"33,04";
"05.02.2018";"06:45";"22,61";"31";
"05.02.2018";"07:00";"26,23";"36,97";
"05.02.2018";"07:15";"30,51";"34";
"05.02.2018";"07:30";"36,12";"41,99";
"05.02.2018";"07:45";"41,83";"43,24";
"05.02.2018";"08:00";"53,22";"63,33";
"05.02.2018";"08:15";"62,63";"69,72";
"05.02.2018";"08:30";"75,35";"82,9";
"05.02.2018";"08:45";"85,4";"87,37";
"05.02.2018";"09:00";"104,25";"132,72";
"05.02.2018";"09:15";"116,78";"128,93";
"05.02.2018";"09:30";"128,82";"138,38";
"05.02.2018";"09:45";"136,63";"147,04";
"05.02.2018";"10:00";"143,12";"140";
"05.02.2018";"10:15";"146,36";"147,2";
"05.02.2018";"10:30";"151,19";"157,99";
"05.02.2018";"10:45";"154,81";"152,59";
"05.02.2018";"11:00";"157,67";"153,15";
"05.02.2018";"11:15";"163";"162,11";
"05.02.2018";"11:30";"165,06";"163,61";
"05.02.2018";"11:45";"168,02";"159,37";
"05.02.2018";"12:00";"167,11";"156,12";
"05.02.2018";"12:15";"167,69";"158,14";
"05.02.2018";"12:30";"169,52";"161,92";
"05.02.2018";"12:45";"166,15";"159,34";
"05.02.2018";"13:00";"165,99";"151,78";
"05.02.2018";"13:15";"162,48";"144,33";
"05.02.2018";"13:30";"160,87";"152,45";
"05.02.2018";"13:45";"159,05";"156,17";
"05.02.2018";"14:00";"157,67";"150,93";
"05.02.2018";"14:15";"156,71";"142,88";
"05.02.2018";"14:30";"155,4";"149,14";
"05.02.2018";"14:45";"153,87";"143,11";
"05.02.2018";"15:00";"154,58";"139,15";
"05.02.2018";"15:15";"151,15";"142,5";
"05.02.2018";"15:30";"149,09";"141,02";
"05.02.2018";"15:45";"144,94";"133,01";
"05.02.2018";"16:00";"144,26";"140,74";
"05.02.2018";"16:15";"139,09";"151,82";
"05.02.2018";"16:30";"134,78";"161,53";
"05.02.2018";"16:45";"131,12";"150,24";
"05.02.2018";"17:00";"129,3";"132,03";
"05.02.2018";"17:15";"124,05";"142,05";
"05.02.2018";"17:30";"119,98";"126,42";
"05.02.2018";"17:45";"114,47";"135,38";
"05.02.2018";"18:00";"108,52";"94";
"05.02.2018";"18:15";"100,95";"89,22";
"05.02.2018";"18:30";"95,19";"82,37";
"05.02.2018";"18:45";"88,39";"77,09";
"05.02.2018";"19:00";"74,25";"70,42";
"05.02.2018";"19:15";"70,19";"69,85";
"05.02.2018";"19:30";"64,62";"64,9";
"05.02.2018";"19:45";"59,55";"64";
"05.02.2018";"20:00";"55,34";"54,01";
"05.02.2018";"20:15";"51,66";"54,01";
"05.02.2018";"20:30";"45,57";"40";
"05.02.2018";"20:45";"41,84";"46";
"05.02.2018";"21:00";"37,98";"36,99";
"05.02.2018";"21:15";"33,34";"36,01";
"05.02.2018";"21:30";"29,58";"34";
"05.02.2018";"21:45";"25,19";"33,99";
"05.02.2018";"22:00";"20,93";"20";
"05.02.2018";"22:15";"18,88";"19";
"05.02.2018";"22:30";"16,44";"15,99";
"05.02.2018";"22:45";"14,23";"20,01";
"05.02.2018";"23:00";"11,98";"13";
"05.02.2018";"23:15";"11,7";"13";
"05.02.2018";"23:30";"12,11";"13,99";
"05.02.2018";"23:45";"10,99";"14";
"06.02.2018";"00:00";"5,53";"4";
"06.02.2018";"00:15";"4,57";"4";
"06.02.2018";"00:30";"4,99";"4";
"06.02.2018";"00:45";"4,35";"3";
"06.02.2018";"01:00";"3,84";"2,99";
