"Дата";"Время";"Необходимо";"Фактически";
"05.02.2018";"00:00";"0";"0";
"05.02.2018";"00:15";"0";"0";
"05.02.2018";"00:30";"0";"0";
"05.02.2018";"00:45";"0";"0";
"05.02.2018";"01:00";"0";"0";
"05.02.2018";"01:15";"0";"0";
"05.02.2018";"01:30";"0";"0";
"05.02.2018";"01:45";"0";"0";
"05.02.2018";"02:00";"0";"0";
"05.02.2018";"02:15";"0";"0";
"05.02.2018";"02:30";"0";"0";
"05.02.2018";"02:45";"0";"0";
"05.02.2018";"03:00";"0,44";"0,32";
"05.02.2018";"03:15";"0,48";"0,35";
"05.02.2018";"03:30";"0,47";"0,29";
"05.02.2018";"03:45";"0,51";"0,47";
"05.02.2018";"04:00";"0,45";"0,28";
"05.02.2018";"04:15";"0,46";"0,38";
"05.02.2018";"04:30";"0,52";"0,28";
"05.02.2018";"04:45";"0,53";"0,22";
"05.02.2018";"05:00";"0,59";"0,36";
"05.02.2018";"05:15";"0,82";"0,76";
"05.02.2018";"05:30";"0,85";"0,71";
"05.02.2018";"05:45";"0,86";"0,59";
"05.02.2018";"06:00";"0,87";"0,93";
"05.02.2018";"06:15";"1,27";"1,31";
"05.02.2018";"06:30";"1,19";"1,29";
"05.02.2018";"06:45";"1,27";"1,07";
"05.02.2018";"07:00";"1,55";"1,51";
"05.02.2018";"07:15";"1,48";"1,44";
"05.02.2018";"07:30";"1,79";"1,9";
"05.02.2018";"07:45";"2,25";"1,68";
"05.02.2018";"08:00";"2,38";"2,45";
"05.02.2018";"08:15";"2,84";"2,61";
"05.02.2018";"08:30";"3,54";"3,44";
"05.02.2018";"08:45";"3,77";"3,61";
"05.02.2018";"09:00";"4,39";"4,63";
"05.02.2018";"09:15";"5,09";"5,1";
"05.02.2018";"09:30";"5,5";"4,73";
"05.02.2018";"09:45";"5,78";"5,44";
"05.02.2018";"10:00";"5,95";"5,49";
"05.02.2018";"10:15";"6,19";"5,61";
"05.02.2018";"10:30";"6,36";"6,22";
"05.02.2018";"10:45";"6,37";"5,64";
"05.02.2018";"11:00";"6,31";"5,59";
"05.02.2018";"11:15";"6,62";"6,13";
"05.02.2018";"11:30";"6,68";"5,83";
"05.02.2018";"11:45";"6,54";"5,88";
"05.02.2018";"12:00";"6,46";"5,7";
"05.02.2018";"12:15";"6,4";"5,24";
"05.02.2018";"12:30";"6,73";"5,97";
"05.02.2018";"12:45";"6,71";"6,18";
"05.02.2018";"13:00";"6,64";"5,46";
"05.02.2018";"13:15";"6,66";"5,29";
"05.02.2018";"13:30";"6,89";"6,27";
"05.02.2018";"13:45";"6,56";"5,54";
"05.02.2018";"14:00";"6,28";"5,83";
"05.02.2018";"14:15";"6,38";"5,53";
"05.02.2018";"14:30";"6,25";"5,52";
"05.02.2018";"14:45";"6,34";"5,55";
