"Дата";"Время";"Необходимо";"Фактически";
"05.02.2018";"00:00";"0,53";"0,61";
"05.02.2018";"00:15";"0,6";"0,75";
"05.02.2018";"00:30";"0,64";"0,64";
"05.02.2018";"00:45";"0,7";"0,67";
"05.02.2018";"01:00";"0,34";"0,4";
"05.02.2018";"01:15";"0,42";"0,54";
"05.02.2018";"01:30";"0,44";"0,5";
"05.02.2018";"01:45";"0,43";"0,62";
"05.02.2018";"02:00";"0,44";"0,6";
"05.02.2018";"02:15";"0,46";"0,69";
"05.02.2018";"02:30";"0,37";"0,56";
"05.02.2018";"02:45";"0,37";"0,33";
"05.02.2018";"03:00";"0,38";"0,39";
"05.02.2018";"03:15";"0,41";"0,4";
"05.02.2018";"03:30";"0,37";"0,3";
"05.02.2018";"03:45";"0,42";"0,46";
"05.02.2018";"04:00";"0,39";"0,35";
"05.02.2018";"04:15";"0,4";"0,35";
"05.02.2018";"04:30";"0,38";"0,24";
"05.02.2018";"04:45";"0,68";"0,41";
"05.02.2018";"05:00";"0,7";"0,92";
"05.02.2018";"05:15";"0,98";"1,01";
"05.02.2018";"05:30";"1,36";"1,33";
"05.02.2018";"05:45";"1,58";"1,53";
"05.02.2018";"06:00";"2,04";"2,68";
"05.02.2018";"06:15";"2,32";"3,12";
"05.02.2018";"06:30";"2,39";"2,76";
"05.02.2018";"06:45";"2,61";"3,43";
"05.02.2018";"07:00";"2,94";"3,51";
"05.02.2018";"07:15";"3,26";"3,8";
"05.02.2018";"07:30";"3,64";"4,01";
"05.02.2018";"07:45";"4,44";"4,74";
"05.02.2018";"08:00";"5,77";"6,36";
"05.02.2018";"08:15";"6,99";"7,89";
"05.02.2018";"08:30";"8,56";"9,25";
"05.02.2018";"08:45";"9,92";"10,63";
"05.02.2018";"09:00";"10,97";"13,14";
"05.02.2018";"09:15";"11,97";"13,73";
"05.02.2018";"09:30";"12,93";"14,32";
"05.02.2018";"09:45";"13,81";"15,55";
"05.02.2018";"10:00";"14,06";"14,77";
"05.02.2018";"10:15";"14,36";"15,17";
"05.02.2018";"10:30";"14,87";"15,81";
"05.02.2018";"10:45";"15,2";"15,56";
"05.02.2018";"11:00";"15,28";"15,58";
"05.02.2018";"11:15";"15,4";"16,55";
"05.02.2018";"11:30";"15,16";"15,38";
"05.02.2018";"11:45";"15,28";"15,24";
"05.02.2018";"12:00";"15,09";"14,31";
"05.02.2018";"12:15";"15,03";"15,07";
"05.02.2018";"12:30";"13,84";"13,61";
"05.02.2018";"12:45";"13,9";"13,73";
"05.02.2018";"13:00";"14,04";"13,29";
"05.02.2018";"13:15";"14,32";"13";
"05.02.2018";"13:30";"14,18";"13,56";
"05.02.2018";"13:45";"13,54";"14,37";
"05.02.2018";"14:00";"13,11";"12,81";
"05.02.2018";"14:15";"12,71";"11,89";
"05.02.2018";"14:30";"12,59";"12,76";
"05.02.2018";"14:45";"12,48";"12,33";
"05.02.2018";"15:00";"12,49";"11,73";
"05.02.2018";"15:15";"12,45";"12,31";
"05.02.2018";"15:30";"12,41";"11,96";
"05.02.2018";"15:45";"12,23";"11,44";
"05.02.2018";"16:00";"12,44";"12,29";
"05.02.2018";"16:15";"9,79";"10,54";
"05.02.2018";"16:30";"9,76";"10,44";
