"Дата";"Время";"Необходимо";"Фактически";
"05.02.2018";"00:00";"0,71";"1,21";
"05.02.2018";"00:15";"0,68";"0,77";
"05.02.2018";"00:30";"0,7";"0,99";
"05.02.2018";"00:45";"0,31";"0,38";
"05.02.2018";"01:00";"0,33";"0,28";
"05.02.2018";"01:15";"0,41";"0,4";
"05.02.2018";"01:30";"0,49";"0,57";
"05.02.2018";"01:45";"0,47";"0,67";
"05.02.2018";"02:00";"0,51";"0,73";
"05.02.2018";"02:15";"0,53";"0,69";
"05.02.2018";"02:30";"0,5";"0,56";
"05.02.2018";"02:45";"0,46";"0,41";
"05.02.2018";"03:00";"0,56";"0,4";
"05.02.2018";"03:15";"0,53";"0,4";
"05.02.2018";"03:30";"0,48";"0,36";
"05.02.2018";"03:45";"0,47";"0,46";
"05.02.2018";"04:00";"0,42";"0,35";
"05.02.2018";"04:15";"0,45";"0,42";
"05.02.2018";"04:30";"0,5";"0,31";
"05.02.2018";"04:45";"0,87";"0,6";
"05.02.2018";"05:00";"1,27";"1,32";
"05.02.2018";"05:15";"1,83";"1,7";
"05.02.2018";"05:30";"2,43";"1,78";
"05.02.2018";"05:45";"2,82";"2,37";
"05.02.2018";"06:00";"3,13";"5,68";
"05.02.2018";"06:15";"2,99";"5";
"05.02.2018";"06:30";"2,92";"4,87";
"05.02.2018";"06:45";"2,78";"3,23";
"05.02.2018";"07:00";"2,86";"3,48";
"05.02.2018";"07:15";"3,23";"2,98";
"05.02.2018";"07:30";"3,09";"2,88";
"05.02.2018";"07:45";"3,67";"3,36";
"05.02.2018";"08:00";"4,32";"6,05";
"05.02.2018";"08:15";"5,18";"5,86";
"05.02.2018";"08:30";"6,13";"7,07";
"05.02.2018";"08:45";"7,14";"6,71";
"05.02.2018";"09:00";"8,7";"9,85";
"05.02.2018";"09:15";"9,59";"9,59";
"05.02.2018";"09:30";"10,82";"9,57";
"05.02.2018";"09:45";"11,63";"10,82";
"05.02.2018";"10:00";"12,72";"10,47";
"05.02.2018";"10:15";"12,78";"12,14";
"05.02.2018";"10:30";"13,62";"12,87";
"05.02.2018";"10:45";"14,32";"12,87";
"05.02.2018";"11:00";"15,09";"13,02";
"05.02.2018";"11:15";"15,55";"14,77";
"05.02.2018";"11:30";"16,09";"14,28";
"05.02.2018";"11:45";"15,84";"13,12";
"05.02.2018";"12:00";"15,64";"13,13";
"05.02.2018";"12:15";"15,48";"13,41";
"05.02.2018";"12:30";"14,96";"13,81";
"05.02.2018";"12:45";"14,68";"13,58";
"05.02.2018";"13:00";"14,49";"12,86";
"05.02.2018";"13:15";"14,03";"11,57";
"05.02.2018";"13:30";"13,89";"12,74";
"05.02.2018";"13:45";"13,85";"13,15";
"05.02.2018";"14:00";"13,59";"12,12";
"05.02.2018";"14:15";"14";"12,16";
"05.02.2018";"14:30";"13,9";"13,27";
"05.02.2018";"14:45";"13,47";"12,58";
"05.02.2018";"15:00";"13,48";"12,04";
"05.02.2018";"15:15";"13,11";"11,61";
"05.02.2018";"15:30";"12,7";"10,98";
"05.02.2018";"15:45";"12,18";"11,73";
"05.02.2018";"16:00";"11,85";"10,02";
"05.02.2018";"16:15";"11,9";"13,42";
"05.02.2018";"16:30";"11,88";"13,94";
"05.02.2018";"16:45";"11,86";"13,36";
"05.02.2018";"17:00";"11,81";"10,87";
"05.02.2018";"17:15";"11,93";"12,91";
"05.02.2018";"17:30";"11,59";"11,08";
"05.02.2018";"17:45";"11,22";"10,03";
"05.02.2018";"18:00";"10,79";"9,08";
"05.02.2018";"18:15";"10,12";"8,63";
"05.02.2018";"18:30";"9,76";"7,95";
"05.02.2018";"18:45";"8,94";"7,4";
"05.02.2018";"19:00";"8,23";"7,42";
"05.02.2018";"19:15";"7,48";"7,68";
"05.02.2018";"19:30";"7,2";"5,74";
"05.02.2018";"19:45";"6,78";"6,66";
"05.02.2018";"20:00";"6,23";"4,54";
"05.02.2018";"20:15";"5,87";"4,46";
"05.02.2018";"20:30";"5,32";"3,35";
"05.02.2018";"20:45";"5,28";"4,63";
"05.02.2018";"21:00";"4,65";"3,39";
"05.02.2018";"21:15";"4,84";"3,67";
"05.02.2018";"21:30";"4,41";"3,29";
"05.02.2018";"21:45";"4,33";"3,95";
"05.02.2018";"22:00";"4,07";"2,67";
"05.02.2018";"22:15";"3,58";"2,85";
"05.02.2018";"22:30";"3,08";"1,79";
"05.02.2018";"22:45";"2,65";"1,99";
"05.02.2018";"23:00";"2,56";"1,58";
"05.02.2018";"23:15";"2,49";"2,04";
"05.02.2018";"23:30";"2,51";"2,04";
"05.02.2018";"23:45";"2,5";"2,01";
"06.02.2018";"00:00";"0,27";"0,74";
"06.02.2018";"00:15";"0,25";"0,25";
"06.02.2018";"00:30";"0,24";"0,2";
"06.02.2018";"00:45";"0,26";"0,2";
"06.02.2018";"01:00";"0,23";"0,16";
"06.02.2018";"01:15";"0,23";"0,16";
"06.02.2018";"01:30";"0,19";"0,16";
"06.02.2018";"01:45";"0";"0,01";
"06.02.2018";"02:00";"0";"0";
"06.02.2018";"02:15";"0";"0";
"06.02.2018";"02:30";"0";"0";
"06.02.2018";"02:45";"0";"0";
"06.02.2018";"03:00";"0";"0";
"06.02.2018";"03:15";"0";"0";
"06.02.2018";"03:30";"0,57";"0,26";
"06.02.2018";"03:45";"0,67";"0,52";
"06.02.2018";"04:00";"0,67";"0,55";
"06.02.2018";"04:15";"0,62";"0,37";
"06.02.2018";"04:30";"0,58";"0,36";
"06.02.2018";"04:45";"0,49";"0,3";
"06.02.2018";"05:00";"0,62";"0,43";
"06.02.2018";"05:15";"1,02";"0,8";
"06.02.2018";"05:30";"1,05";"0,64";
"06.02.2018";"05:45";"1,48";"0,92";
"06.02.2018";"06:00";"1,55";"2,02";
"06.02.2018";"06:15";"1,5";"1,95";
"06.02.2018";"06:30";"1,88";"1,78";
"06.02.2018";"06:45";"1,88";"2,26";
"06.02.2018";"07:00";"2,47";"4,51";
"06.02.2018";"07:15";"2,85";"3,76";
"06.02.2018";"07:30";"3,26";"4,21";
"06.02.2018";"07:45";"3,66";"3,98";
"06.02.2018";"08:00";"4,67";"8,06";
"06.02.2018";"08:15";"5,33";"8";
"06.02.2018";"08:30";"6,7";"6,9";
"06.02.2018";"08:45";"8,02";"7,95";
"06.02.2018";"09:00";"9,58";"15,69";
"06.02.2018";"09:15";"10,82";"12,9";
"06.02.2018";"09:30";"12,04";"13,34";
"06.02.2018";"09:45";"12,85";"13,59";
"06.02.2018";"10:00";"13,37";"13,99";
"06.02.2018";"10:15";"14,12";"13,7";
"06.02.2018";"10:30";"14,32";"13,25";
"06.02.2018";"10:45";"13,87";"14,53";
"06.02.2018";"11:00";"13,94";"13,13";
"06.02.2018";"11:15";"14,5";"14,15";
"06.02.2018";"11:30";"14,43";"13,61";
"06.02.2018";"11:45";"14,61";"15,28";
"06.02.2018";"12:00";"13,97";"13,84";
"06.02.2018";"12:15";"13,32";"13,68";
"06.02.2018";"12:30";"12,81";"13,72";
"06.02.2018";"12:45";"11,92";"13,45";
"06.02.2018";"13:00";"11,69";"12,46";
"06.02.2018";"13:15";"11,79";"11,06";
"06.02.2018";"13:30";"11,8";"13,14";
"06.02.2018";"13:45";"11,51";"12,74";
"06.02.2018";"14:00";"11,69";"11,32";
"06.02.2018";"14:15";"11,38";"10,83";
"06.02.2018";"14:30";"11,25";"12,65";
"06.02.2018";"14:45";"11,27";"12,73";
"06.02.2018";"15:00";"11,11";"14,36";
"06.02.2018";"15:15";"11,24";"14,58";
"06.02.2018";"15:30";"11,39";"17,5";
"06.02.2018";"15:45";"11,31";"14,8";
"06.02.2018";"16:00";"11,33";"12,42";
"06.02.2018";"16:15";"11,36";"12,36";
"06.02.2018";"16:30";"11,53";"14,8";
"06.02.2018";"16:45";"11,47";"15,73";
"06.02.2018";"17:00";"11,5";"12,02";
"06.02.2018";"17:15";"11,1";"11,32";
"06.02.2018";"17:30";"10,92";"10,46";
"06.02.2018";"17:45";"10,46";"10,84";
"06.02.2018";"18:00";"9,64";"7,29";
"06.02.2018";"18:15";"8,99";"7,4";
"06.02.2018";"18:30";"8,32";"5,04";
"06.02.2018";"18:45";"7,92";"6,68";
"06.02.2018";"19:00";"6,9";"5,91";
"06.02.2018";"19:15";"6,49";"5,78";
"06.02.2018";"19:30";"6,65";"5,18";
"06.02.2018";"19:45";"6,63";"5,66";
"06.02.2018";"20:00";"6,61";"4,74";
"06.02.2018";"20:15";"6,1";"5,43";
"06.02.2018";"20:30";"5,98";"5,81";
"06.02.2018";"20:45";"5,31";"5,6";
"06.02.2018";"21:00";"4,84";"3,06";
"06.02.2018";"21:15";"4,44";"3,59";
"06.02.2018";"21:30";"3,84";"3,6";
"06.02.2018";"21:45";"3,91";"2,75";
"06.02.2018";"22:00";"3,41";"2,75";
"06.02.2018";"22:15";"2,94";"2,05";
"06.02.2018";"22:30";"2,95";"2,24";
"06.02.2018";"22:45";"1,92";"1,89";
"06.02.2018";"23:00";"1,92";"1,5";
"06.02.2018";"23:15";"1,94";"1,32";
"06.02.2018";"23:30";"1,87";"1,63";
"06.02.2018";"23:45";"1,9";"1,51";
"07.02.2018";"00:00";"1,18";"0,89";
"07.02.2018";"00:15";"1,12";"0,81";
"07.02.2018";"00:30";"1,08";"0,69";
"07.02.2018";"00:45";"0,89";"0,74";
"07.02.2018";"01:00";"0,99";"0,47";
"07.02.2018";"01:15";"0,9";"0,58";
"07.02.2018";"01:30";"0,45";"0,31";
"07.02.2018";"01:45";"0,42";"0,46";
"07.02.2018";"02:00";"0,41";"0,32";
"07.02.2018";"02:15";"0,38";"0,45";
"07.02.2018";"02:30";"0,36";"0,48";
"07.02.2018";"02:45";"0,25";"0,19";
"07.02.2018";"03:00";"0,27";"0,18";
"07.02.2018";"03:15";"0,28";"0,17";
"07.02.2018";"03:30";"0,28";"0,19";
"07.02.2018";"03:45";"0,26";"0,17";
"07.02.2018";"04:00";"0,31";"0,3";
"07.02.2018";"04:15";"0,35";"0,23";
"07.02.2018";"04:30";"0,4";"0,33";
"07.02.2018";"04:45";"0,37";"0,28";
"07.02.2018";"05:00";"1,18";"0,7";
"07.02.2018";"05:15";"1,3";"0,58";
"07.02.2018";"05:30";"1,39";"0,83";
"07.02.2018";"05:45";"1,86";"1";
"07.02.2018";"06:00";"1,76";"1,59";
"07.02.2018";"06:15";"2,22";"1,49";
"07.02.2018";"06:30";"2,18";"1,66";
"07.02.2018";"06:45";"2,65";"1,65";
"07.02.2018";"07:00";"2,94";"3,49";
"07.02.2018";"07:15";"3,42";"3,64";
"07.02.2018";"07:30";"3,92";"3,78";
"07.02.2018";"07:45";"4,37";"3,89";
"07.02.2018";"08:00";"5,25";"8,27";
"07.02.2018";"08:15";"6,5";"7,52";
"07.02.2018";"08:30";"7,38";"6,9";
"07.02.2018";"08:45";"8,16";"8";
"07.02.2018";"09:00";"8,78";"9,27";
"07.02.2018";"09:15";"9,72";"9,99";
"07.02.2018";"09:30";"10,61";"11,15";
"07.02.2018";"09:45";"11,17";"11,25";
"07.02.2018";"10:00";"11,79";"10,65";
"07.02.2018";"10:15";"11,76";"10,84";
"07.02.2018";"10:30";"12,67";"12,83";
"07.02.2018";"10:45";"13,5";"12,82";
"07.02.2018";"11:00";"14,36";"12,33";
"07.02.2018";"11:15";"14,8";"14,14";
"07.02.2018";"11:30";"14,83";"14,13";
"07.02.2018";"11:45";"15,12";"14,55";
"07.02.2018";"12:00";"14,53";"14,57";
"07.02.2018";"12:15";"13,56";"14,17";
"07.02.2018";"12:30";"14,28";"14,13";
"07.02.2018";"12:45";"13,84";"14,5";
"07.02.2018";"13:00";"13,77";"13,22";
"07.02.2018";"13:15";"14,48";"13,31";
"07.02.2018";"13:30";"14,52";"15,28";
"07.02.2018";"13:45";"14,41";"14,38";
"07.02.2018";"14:00";"14,33";"13,32";
"07.02.2018";"14:15";"13,67";"12,46";
"07.02.2018";"14:30";"13,33";"15,45";
"07.02.2018";"14:45";"12,76";"13,16";
"07.02.2018";"15:00";"12,76";"12,75";
"07.02.2018";"15:15";"12,78";"13,44";
"07.02.2018";"15:30";"12,28";"11,46";
"07.02.2018";"15:45";"12,1";"10,94";
"07.02.2018";"16:00";"12,01";"11,36";
"07.02.2018";"16:15";"12,13";"11,61";
"07.02.2018";"16:30";"13,16";"12,01";
"07.02.2018";"16:45";"12,96";"12,46";
"07.02.2018";"17:00";"13,22";"10,7";
"07.02.2018";"17:15";"12,96";"12,68";
"07.02.2018";"17:30";"12,46";"12,83";
"07.02.2018";"17:45";"11,98";"10,54";
"07.02.2018";"18:00";"10,76";"9,61";
"07.02.2018";"18:15";"10,12";"9,74";
"07.02.2018";"18:30";"9,17";"7,3";
"07.02.2018";"18:45";"8,68";"7,5";
"07.02.2018";"19:00";"7,71";"7,26";
"07.02.2018";"19:15";"7,09";"5,63";
"07.02.2018";"19:30";"6,63";"6,02";
"07.02.2018";"19:45";"6,57";"5,82";
"07.02.2018";"20:00";"6,28";"4,84";
"07.02.2018";"20:15";"6,32";"4,75";
"07.02.2018";"20:30";"6,4";"4,23";
"07.02.2018";"20:45";"5,89";"4,82";
"07.02.2018";"21:00";"5,96";"3,04";
"07.02.2018";"21:15";"5,43";"3,73";
"07.02.2018";"21:30";"5,39";"4,1";
"07.02.2018";"21:45";"4,74";"3,23";
"07.02.2018";"22:00";"4,07";"2,85";
"07.02.2018";"22:15";"4,03";"3,16";
"07.02.2018";"22:30";"3,57";"2,19";
"07.02.2018";"22:45";"2,86";"2,19";
"07.02.2018";"23:00";"2,32";"1,3";
"07.02.2018";"23:15";"2,2";"1,62";
"07.02.2018";"23:30";"2,19";"1,57";
"07.02.2018";"23:45";"2,25";"1,86";
"08.02.2018";"00:00";"1,28";"0,92";
"08.02.2018";"00:15";"0,62";"0,68";
"08.02.2018";"00:30";"0,6";"0,54";
"08.02.2018";"00:45";"0,46";"0,44";
"08.02.2018";"01:00";"0,57";"0,44";
"08.02.2018";"01:15";"0,49";"0,33";
"08.02.2018";"01:30";"0,34";"0,42";
"08.02.2018";"01:45";"0,48";"0,7";
"08.02.2018";"02:00";"0,48";"0,64";
"08.02.2018";"02:15";"0,57";"1,06";
"08.02.2018";"02:30";"0,62";"0,86";
"08.02.2018";"02:45";"0,61";"0,82";
"08.02.2018";"03:00";"0,86";"0,63";
"08.02.2018";"03:15";"0,9";"0,55";
"08.02.2018";"03:30";"0,67";"0,9";
"08.02.2018";"03:45";"0,77";"0,78";
"08.02.2018";"04:00";"0,77";"0,86";
"08.02.2018";"04:15";"0,76";"0,66";
"08.02.2018";"04:30";"0,72";"0,72";
"08.02.2018";"04:45";"0,6";"0,62";
"08.02.2018";"05:00";"1,36";"1,04";
"08.02.2018";"05:15";"1,18";"1,14";
"08.02.2018";"05:30";"1,22";"0,8";
"08.02.2018";"05:45";"1,53";"1,11";
"08.02.2018";"06:00";"1,56";"2,29";
"08.02.2018";"06:15";"1,88";"2,01";
"08.02.2018";"06:30";"1,95";"1,76";
"08.02.2018";"06:45";"2,05";"1,92";
"08.02.2018";"07:00";"2,44";"4,25";
"08.02.2018";"07:15";"2,85";"3,59";
"08.02.2018";"07:30";"2,97";"3,99";
"08.02.2018";"07:45";"3,97";"4,51";
"08.02.2018";"08:00";"5,16";"7,59";
"08.02.2018";"08:15";"6,15";"7,54";
"08.02.2018";"08:30";"7,05";"6,77";
"08.02.2018";"08:45";"8,56";"6,85";
"08.02.2018";"09:00";"9,77";"9,42";
"08.02.2018";"09:15";"10,65";"8,78";
"08.02.2018";"09:30";"11,45";"10,2";
"08.02.2018";"09:45";"11,86";"10,59";
"08.02.2018";"10:00";"11,84";"10,06";
"08.02.2018";"10:15";"11,71";"11,03";
"08.02.2018";"10:30";"11,62";"10,91";
"08.02.2018";"10:45";"10,97";"10,01";
"08.02.2018";"11:00";"11,37";"9,82";
"08.02.2018";"11:15";"11,79";"9,75";
"08.02.2018";"11:30";"12,05";"10,7";
"08.02.2018";"11:45";"12,27";"10,89";
"08.02.2018";"12:00";"12,52";"11,75";
"08.02.2018";"12:15";"12,32";"11,98";
"08.02.2018";"12:30";"12,42";"11,14";
"08.02.2018";"12:45";"12,03";"11,49";
"08.02.2018";"13:00";"12,05";"11,48";
"08.02.2018";"13:15";"12,25";"10,98";
"08.02.2018";"13:30";"12,24";"12,07";
"08.02.2018";"13:45";"12,85";"12,39";
"08.02.2018";"14:00";"13,05";"11,17";
"08.02.2018";"14:15";"13,03";"12,37";
"08.02.2018";"14:30";"12,64";"11,55";
"08.02.2018";"14:45";"12,81";"12,26";
"08.02.2018";"15:00";"12,92";"11,57";
"08.02.2018";"15:15";"13,05";"11,68";
"08.02.2018";"15:30";"13,16";"13,06";
"08.02.2018";"15:45";"13,12";"13,55";
"08.02.2018";"16:00";"13,8";"12,74";
"08.02.2018";"16:15";"13,89";"12,87";
"08.02.2018";"16:30";"13,94";"13,62";
"08.02.2018";"16:45";"14,06";"13,42";
"08.02.2018";"17:00";"13,87";"10,38";
"08.02.2018";"17:15";"13,25";"9,54";
"08.02.2018";"17:30";"12,98";"11,52";
"08.02.2018";"17:45";"12,58";"11,08";
"08.02.2018";"18:00";"11,61";"9,54";
"08.02.2018";"18:15";"11,19";"9,73";
"08.02.2018";"18:30";"11,01";"8,84";
"08.02.2018";"18:45";"10,6";"8,38";
"08.02.2018";"19:00";"9,73";"7,44";
"08.02.2018";"19:15";"9,28";"7,46";
"08.02.2018";"19:30";"8,79";"6,57";
"08.02.2018";"19:45";"8,3";"7,34";
"08.02.2018";"20:00";"7,81";"6,1";
"08.02.2018";"20:15";"7,75";"6,39";
"08.02.2018";"20:30";"7,24";"6,18";
"08.02.2018";"20:45";"6,65";"5,94";
"08.02.2018";"21:00";"6,01";"4,11";
"08.02.2018";"21:15";"5,02";"4,25";
"08.02.2018";"21:30";"4,97";"3,95";
"08.02.2018";"21:45";"4,4";"4,04";
"08.02.2018";"22:00";"3,39";"1,34";
"08.02.2018";"22:15";"3,38";"2,24";
"08.02.2018";"22:30";"2,79";"2,04";
"08.02.2018";"22:45";"2,2";"1,77";
"08.02.2018";"23:00";"2,22";"1,79";
"08.02.2018";"23:15";"2,28";"1,58";
"08.02.2018";"23:30";"1,52";"1,85";
"08.02.2018";"23:45";"1,49";"1,55";
"09.02.2018";"00:00";"1,09";"1,22";
"09.02.2018";"00:15";"1,08";"0,97";
"09.02.2018";"00:30";"1";"0,97";
"09.02.2018";"00:45";"0,99";"0,66";
"09.02.2018";"01:00";"0,99";"0,95";
"09.02.2018";"01:15";"0,43";"0,7";
"09.02.2018";"01:30";"0,53";"0,52";
"09.02.2018";"01:45";"0,52";"0,76";
"09.02.2018";"02:00";"0,53";"1,02";
"09.02.2018";"02:15";"0,54";"0,96";
"09.02.2018";"02:30";"0,57";"1";
"09.02.2018";"02:45";"0,59";"0,68";
"09.02.2018";"03:00";"0,48";"0,67";
"09.02.2018";"03:15";"0,63";"0,6";
"09.02.2018";"03:30";"0,63";"0,56";
"09.02.2018";"03:45";"0,59";"0,8";
"09.02.2018";"04:00";"0,6";"0,78";
"09.02.2018";"04:15";"0,57";"0,6";
"09.02.2018";"04:30";"0,55";"0,64";
"09.02.2018";"04:45";"0,99";"0,78";
"09.02.2018";"05:00";"1,18";"1,3";
"09.02.2018";"05:15";"1,53";"1,34";
"09.02.2018";"05:30";"1,36";"1,34";
"09.02.2018";"05:45";"1,79";"1,38";
"09.02.2018";"06:00";"1,77";"2,76";
"09.02.2018";"06:15";"1,86";"2,73";
"09.02.2018";"06:30";"1,93";"2,13";
"09.02.2018";"06:45";"2,04";"2,24";
"09.02.2018";"07:00";"2,15";"4,76";
"09.02.2018";"07:15";"2,1";"3,27";
"09.02.2018";"07:30";"2,71";"2,92";
"09.02.2018";"07:45";"3,2";"3,65";
"09.02.2018";"08:00";"3,89";"6,57";
"09.02.2018";"08:15";"4,75";"6";
"09.02.2018";"08:30";"5,91";"6,19";
"09.02.2018";"08:45";"6,85";"6,35";
"09.02.2018";"09:00";"7,99";"10,02";
"09.02.2018";"09:15";"9,2";"9,66";
"09.02.2018";"09:30";"10,04";"8,62";
"09.02.2018";"09:45";"10,35";"10,38";
"09.02.2018";"10:00";"10,56";"9,49";
"09.02.2018";"10:15";"10,93";"10,4";
"09.02.2018";"10:30";"10,76";"10,36";
"09.02.2018";"10:45";"11,41";"9,86";
"09.02.2018";"11:00";"12,35";"10,25";
"09.02.2018";"11:15";"13,63";"12,77";
"09.02.2018";"11:30";"14,38";"13,87";
"09.02.2018";"11:45";"14,92";"13,87";
"09.02.2018";"12:00";"14,52";"13,63";
"09.02.2018";"12:15";"13,64";"12,48";
"09.02.2018";"12:30";"12,61";"12,15";
"09.02.2018";"12:45";"11,74";"11,18";
"09.02.2018";"13:00";"11,32";"10,3";
"09.02.2018";"13:15";"11,51";"11,15";
"09.02.2018";"13:30";"11,96";"12,82";
"09.02.2018";"13:45";"12,53";"12,15";
"09.02.2018";"14:00";"13,14";"11,62";
"09.02.2018";"14:15";"13,73";"11,89";
"09.02.2018";"14:30";"13,73";"14,82";
"09.02.2018";"14:45";"13,35";"13,61";
"09.02.2018";"15:00";"13,11";"13,17";
"09.02.2018";"15:15";"13,2";"12,75";
"09.02.2018";"15:30";"12,89";"13,65";
"09.02.2018";"15:45";"12,31";"13,24";
"09.02.2018";"16:00";"12,11";"10,83";
"09.02.2018";"16:15";"12,15";"11,34";
"09.02.2018";"16:30";"11,69";"10,5";
"09.02.2018";"16:45";"11,71";"10,82";
"09.02.2018";"17:00";"11,53";"10,32";
"09.02.2018";"17:15";"11,06";"10,26";
"09.02.2018";"17:30";"10,59";"9,66";
"09.02.2018";"17:45";"10,03";"9,87";
