"Дата";"Время";"Необходимо";"Фактически";
"05.02.2018";"00:00";"0,25";"0,15";
"05.02.2018";"00:15";"0,71";"0,41";
"05.02.2018";"00:30";"0,55";"0,43";
"05.02.2018";"00:45";"0,25";"0,18";
"05.02.2018";"01:00";"1,47";"0,69";
"05.02.2018";"01:15";"0,54";"0";
"05.02.2018";"01:30";"0";"0,06";
"05.02.2018";"01:45";"0,68";"0,6";
"05.02.2018";"02:00";"0";"0,09";
"05.02.2018";"02:15";"0";"0";
"05.02.2018";"02:30";"1,15";"0,57";
"05.02.2018";"02:45";"0,75";"0,51";
"05.02.2018";"03:00";"0";"0";
"05.02.2018";"03:15";"0";"0";
"05.02.2018";"03:30";"0,11";"0,04";
"05.02.2018";"03:45";"0";"0,01";
"05.02.2018";"04:00";"1,07";"0,6";
"05.02.2018";"04:15";"0,41";"0,24";
"05.02.2018";"04:30";"0,56";"0,24";
"05.02.2018";"04:45";"0,52";"0,17";
"05.02.2018";"05:00";"0";"0,09";
"05.02.2018";"05:15";"0,41";"0,13";
"05.02.2018";"05:30";"1,15";"0";
"05.02.2018";"05:45";"1,04";"0,45";
"05.02.2018";"06:00";"0,71";"0,8";
"05.02.2018";"06:15";"0,94";"0,76";
"05.02.2018";"06:30";"0,5";"0,56";
"05.02.2018";"06:45";"1,11";"1,24";
"05.02.2018";"07:00";"0,66";"0,61";
"05.02.2018";"07:15";"0,83";"0,37";
"05.02.2018";"07:30";"1,54";"0,5";
"05.02.2018";"07:45";"1,06";"0,86";
"05.02.2018";"08:00";"2,01";"2,07";
"05.02.2018";"08:15";"1,79";"1,72";
"05.02.2018";"08:30";"2,48";"2,24";
"05.02.2018";"08:45";"1,75";"1,14";
"05.02.2018";"09:00";"3,09";"2,62";
"05.02.2018";"09:15";"3,14";"2,21";
"05.02.2018";"09:30";"3,71";"2,09";
"05.02.2018";"09:45";"3,45";"2,21";
"05.02.2018";"10:00";"4,52";"2,72";
"05.02.2018";"10:15";"4,16";"2,52";
"05.02.2018";"10:30";"4,52";"2,83";
"05.02.2018";"10:45";"4,79";"3,03";
"05.02.2018";"11:00";"5,03";"2,82";
"05.02.2018";"11:15";"4,83";"3,25";
"05.02.2018";"11:30";"4,48";"2,9";
"05.02.2018";"11:45";"5,2";"3,01";
"05.02.2018";"12:00";"4,55";"3,44";
"05.02.2018";"12:15";"4,86";"3,87";
"05.02.2018";"12:30";"5,17";"3,56";
"05.02.2018";"12:45";"3,91";"3,54";
"05.02.2018";"13:00";"4,81";"3,3";
"05.02.2018";"13:15";"4,41";"3,27";
"05.02.2018";"13:30";"3,4";"2,85";
"05.02.2018";"13:45";"3,37";"2,43";
"05.02.2018";"14:00";"3,89";"3,57";
"05.02.2018";"14:15";"3,58";"2,4";
"05.02.2018";"14:30";"4,41";"3,84";
"05.02.2018";"14:45";"4";"3,51";
"05.02.2018";"15:00";"5,15";"4,07";
"05.02.2018";"15:15";"4,07";"3,43";
"05.02.2018";"15:30";"3,97";"3,94";
"05.02.2018";"15:45";"3,31";"2,68";
"05.02.2018";"16:00";"4,66";"3,48";
"05.02.2018";"16:15";"3,64";"4,2";
"05.02.2018";"16:30";"3,37";"4,96";
"05.02.2018";"16:45";"3,06";"3,78";
"05.02.2018";"17:00";"4,31";"3,02";
"05.02.2018";"17:15";"3,93";"3,85";
"05.02.2018";"17:30";"4,38";"4,62";
"05.02.2018";"17:45";"2,86";"3,46";
"05.02.2018";"18:00";"2,37";"2,55";
"05.02.2018";"18:15";"2,95";"3";
"05.02.2018";"18:30";"3,28";"2,12";
"05.02.2018";"18:45";"2,59";"2,17";
"05.02.2018";"19:00";"2,97";"3,22";
"05.02.2018";"19:15";"2,48";"3,02";
"05.02.2018";"19:30";"1,96";"2,57";
"05.02.2018";"19:45";"1,82";"2,4";
"05.02.2018";"20:00";"2,78";"2,92";
"05.02.2018";"20:15";"1,97";"2,71";
"05.02.2018";"20:30";"1,66";"2,25";
"05.02.2018";"20:45";"1,67";"2,6";
"05.02.2018";"21:00";"1,84";"1,08";
"05.02.2018";"21:15";"1,68";"1,2";
"05.02.2018";"21:30";"1,06";"0,57";
"05.02.2018";"21:45";"0,57";"0,57";
"05.02.2018";"22:00";"1,23";"0";
"05.02.2018";"22:15";"1,36";"0";
"05.02.2018";"22:30";"1,26";"0";
"05.02.2018";"22:45";"1,51";"0";
"05.02.2018";"23:00";"1,14";"0";
"05.02.2018";"23:15";"1,53";"0";
"05.02.2018";"23:30";"2,21";"0";
"05.02.2018";"23:45";"1,14";"0";
"06.02.2018";"00:00";"1,54";"0";
"06.02.2018";"00:15";"0,92";"0";
"06.02.2018";"00:30";"1,3";"0";
"06.02.2018";"00:45";"1,05";"0";
"06.02.2018";"01:00";"0,36";"0";
"06.02.2018";"01:15";"0";"0";
"06.02.2018";"01:30";"0";"0";
"06.02.2018";"01:45";"0";"0";
"06.02.2018";"02:00";"0";"0";
"06.02.2018";"02:15";"0";"0";
"06.02.2018";"02:30";"0";"0";
"06.02.2018";"02:45";"0,87";"0";
"06.02.2018";"03:00";"0";"0";
"06.02.2018";"03:15";"0,83";"0";
"06.02.2018";"03:30";"1,01";"0";
"06.02.2018";"03:45";"0,99";"0";
"06.02.2018";"04:00";"1,51";"0";
"06.02.2018";"04:15";"1,14";"0";
"06.02.2018";"04:30";"1,23";"0";
"06.02.2018";"04:45";"1,46";"0";
"06.02.2018";"05:00";"1,71";"0";
"06.02.2018";"05:15";"0,44";"0";
"06.02.2018";"05:30";"0,81";"0";
"06.02.2018";"05:45";"0,53";"0";
"06.02.2018";"06:00";"0,9";"0,4";
"06.02.2018";"06:15";"0,83";"0,4";
"06.02.2018";"06:30";"1,04";"0,61";
"06.02.2018";"06:45";"0,94";"0,46";
"06.02.2018";"07:00";"0,59";"0,77";
"06.02.2018";"07:15";"1,13";"1,16";
"06.02.2018";"07:30";"1,43";"1,23";
"06.02.2018";"07:45";"0,92";"1,04";
"06.02.2018";"08:00";"1,87";"1,92";
"06.02.2018";"08:15";"1,91";"2,63";
"06.02.2018";"08:30";"2,08";"1,59";
"06.02.2018";"08:45";"2,14";"1,12";
"06.02.2018";"09:00";"2,57";"4,47";
"06.02.2018";"09:15";"3,08";"2,96";
"06.02.2018";"09:30";"2,88";"2,87";
"06.02.2018";"09:45";"2,69";"2,61";
"06.02.2018";"10:00";"4,07";"3,26";
"06.02.2018";"10:15";"3,63";"2,94";
"06.02.2018";"10:30";"3,76";"2,94";
"06.02.2018";"10:45";"3,05";"2,66";
"06.02.2018";"11:00";"3,11";"2,82";
"06.02.2018";"11:15";"3,88";"3,36";
"06.02.2018";"11:30";"4,89";"3,17";
"06.02.2018";"11:45";"3,19";"3,74";
"06.02.2018";"12:00";"3,88";"3,62";
"06.02.2018";"12:15";"3,88";"3,67";
"06.02.2018";"12:30";"3,13";"3,63";
"06.02.2018";"12:45";"3,33";"3,75";
"06.02.2018";"13:00";"3,29";"3,63";
"06.02.2018";"13:15";"3,61";"2,1";
"06.02.2018";"13:30";"3,69";"4,73";
"06.02.2018";"13:45";"2,94";"3,84";
"06.02.2018";"14:00";"3,09";"3,52";
"06.02.2018";"14:15";"3,11";"3,04";
"06.02.2018";"14:30";"2,89";"3,83";
"06.02.2018";"14:45";"3,34";"3,82";
"06.02.2018";"15:00";"3,13";"5,01";
"06.02.2018";"15:15";"3,08";"5,6";
"06.02.2018";"15:30";"2,77";"4,99";
"06.02.2018";"15:45";"2,7";"4,63";
"06.02.2018";"16:00";"2,67";"3,39";
"06.02.2018";"16:15";"2,4";"3,91";
"06.02.2018";"16:30";"2,41";"3,67";
"06.02.2018";"16:45";"2,15";"4,01";
"06.02.2018";"17:00";"3,02";"3,11";
"06.02.2018";"17:15";"2,16";"3,64";
"06.02.2018";"17:30";"2,53";"3,34";
"06.02.2018";"17:45";"2,49";"2,46";
"06.02.2018";"18:00";"2,07";"2,92";
"06.02.2018";"18:15";"2,6";"3,29";
"06.02.2018";"18:30";"2,49";"3,32";
"06.02.2018";"18:45";"2,83";"2,11";
"06.02.2018";"19:00";"1,98";"2,45";
"06.02.2018";"19:15";"1,71";"2,47";
"06.02.2018";"19:30";"1,77";"1,81";
"06.02.2018";"19:45";"2,3";"2,85";
"06.02.2018";"20:00";"1,77";"1,62";
"06.02.2018";"20:15";"1,36";"1,58";
"06.02.2018";"20:30";"1,43";"2,26";
"06.02.2018";"20:45";"0,89";"1,05";
"06.02.2018";"21:00";"1,41";"0";
"06.02.2018";"21:15";"1,03";"0,54";
"06.02.2018";"21:30";"0,99";"0,58";
"06.02.2018";"21:45";"1,69";"0,79";
"06.02.2018";"22:00";"1,03";"0,71";
"06.02.2018";"22:15";"0,89";"0,35";
