"Дата";"Время";"Необходимо";"Фактически";
"05.02.2018";"00:00";"1,59";"2,1";
"05.02.2018";"00:15";"1,65";"2,2";
"05.02.2018";"00:30";"1,72";"2,04";
"05.02.2018";"00:45";"1,69";"2,02";
"05.02.2018";"01:00";"1,3";"1,6";
"05.02.2018";"01:15";"1,56";"1,92";
"05.02.2018";"01:30";"1,64";"2,01";
"05.02.2018";"01:45";"1,64";"2,28";
"05.02.2018";"02:00";"1,71";"2,59";
"05.02.2018";"02:15";"1,8";"2,89";
"05.02.2018";"02:30";"1,64";"2,36";
"05.02.2018";"02:45";"1,68";"1,75";
"05.02.2018";"03:00";"2,09";"2,08";
"05.02.2018";"03:15";"2,15";"2,08";
"05.02.2018";"03:30";"2,42";"2,11";
"05.02.2018";"03:45";"2,52";"2,81";
"05.02.2018";"04:00";"2,76";"2,47";
"05.02.2018";"04:15";"3,21";"2,64";
"05.02.2018";"04:30";"3,55";"2,86";
"05.02.2018";"04:45";"4,14";"1,8";
"05.02.2018";"05:00";"4,73";"7,62";
"05.02.2018";"05:15";"5,83";"6,86";
"05.02.2018";"05:30";"6,81";"7,73";
"05.02.2018";"05:45";"7,78";"8,01";
"05.02.2018";"06:00";"9,34";"16,88";
"05.02.2018";"06:15";"10,36";"14,17";
"05.02.2018";"06:30";"11,28";"15,34";
"05.02.2018";"06:45";"12,38";"16,22";
"05.02.2018";"07:00";"14,21";"19,28";
"05.02.2018";"07:15";"16,28";"18,76";
"05.02.2018";"07:30";"18,99";"23,15";
"05.02.2018";"07:45";"22,39";"24,41";
"05.02.2018";"08:00";"28,34";"31,7";
"05.02.2018";"08:15";"34,21";"38,94";
"05.02.2018";"08:30";"41,04";"45,86";
"05.02.2018";"08:45";"47,72";"51,39";
"05.02.2018";"09:00";"54,09";"63,13";
"05.02.2018";"09:15";"60,08";"64,76";
"05.02.2018";"09:30";"65,3";"69,77";
"05.02.2018";"09:45";"69,01";"75,16";
"05.02.2018";"10:00";"70,81";"71,43";
"05.02.2018";"10:15";"73,06";"76,56";
"05.02.2018";"10:30";"74,57";"78,79";
"05.02.2018";"10:45";"75,57";"78,69";
"05.02.2018";"11:00";"76,13";"75,42";
"05.02.2018";"11:15";"76,03";"79,57";
"05.02.2018";"11:30";"76,26";"79,58";
"05.02.2018";"11:45";"76,72";"77,38";
"05.02.2018";"12:00";"76,54";"74,46";
"05.02.2018";"12:15";"76,29";"77,43";
"05.02.2018";"12:30";"74,4";"74,89";
"05.02.2018";"12:45";"73,69";"72,55";
"05.02.2018";"13:00";"73,03";"70,61";
"05.02.2018";"13:15";"72,51";"69,14";
"05.02.2018";"13:30";"71,54";"71,98";
"05.02.2018";"13:45";"69,61";"72,31";
"05.02.2018";"14:00";"68,41";"70,27";
"05.02.2018";"14:15";"66,92";"66,27";
"05.02.2018";"14:30";"65,77";"67,34";
"05.02.2018";"14:45";"65,43";"66,7";
"05.02.2018";"15:00";"65,52";"62,69";
"05.02.2018";"15:15";"65,14";"66,44";
"05.02.2018";"15:30";"64,21";"64,93";
"05.02.2018";"15:45";"63,43";"60,66";
"05.02.2018";"16:00";"62,06";"66,19";
"05.02.2018";"16:15";"58,52";"65,38";
"05.02.2018";"16:30";"57,29";"61,64";
"05.02.2018";"16:45";"55,11";"61,15";
"05.02.2018";"17:00";"52,93";"56,91";
"05.02.2018";"17:15";"50,76";"58,38";
"05.02.2018";"17:30";"48,78";"55,45";
"05.02.2018";"17:45";"46,82";"57,29";
"05.02.2018";"18:00";"44,62";"43,97";
"05.02.2018";"18:15";"43,13";"41,78";
"05.02.2018";"18:30";"40,44";"41,19";
"05.02.2018";"18:45";"38,48";"37,63";
"05.02.2018";"19:00";"35,56";"37,8";
"05.02.2018";"19:15";"33,95";"36,7";
"05.02.2018";"19:30";"31,92";"35,41";
"05.02.2018";"19:45";"30,16";"35,61";
"05.02.2018";"20:00";"27,2";"32,4";
"05.02.2018";"20:15";"25,77";"31,67";
"05.02.2018";"20:30";"23,44";"22,77";
"05.02.2018";"20:45";"21,31";"26,59";
"05.02.2018";"21:00";"19,26";"22,09";
"05.02.2018";"21:15";"17,07";"20,85";
"05.02.2018";"21:30";"15,19";"20,06";
"05.02.2018";"21:45";"13,75";"18,25";
"05.02.2018";"22:00";"11,67";"13,34";
"05.02.2018";"22:15";"10,46";"12,79";
"05.02.2018";"22:30";"9,11";"11,6";
"05.02.2018";"22:45";"7,59";"12,7";
"05.02.2018";"23:00";"6,43";"9,6";
"05.02.2018";"23:15";"5,9";"8,94";
"05.02.2018";"23:30";"5,58";"9,21";
"05.02.2018";"23:45";"5,62";"9,44";
"06.02.2018";"00:00";"2,99";"2,6";
"06.02.2018";"00:15";"2,69";"3,37";
"06.02.2018";"00:30";"2,76";"3,42";
"06.02.2018";"00:45";"2,43";"2,4";
"06.02.2018";"01:00";"2,44";"2,49";
"06.02.2018";"01:15";"2,16";"2,53";
"06.02.2018";"01:30";"2,19";"2,38";
"06.02.2018";"01:45";"2,31";"3,71";
"06.02.2018";"02:00";"2,31";"3,52";
"06.02.2018";"02:15";"2,37";"3,5";
"06.02.2018";"02:30";"2,36";"3,6";
"06.02.2018";"02:45";"2,3";"2,44";
"06.02.2018";"03:00";"2,25";"2,41";
"06.02.2018";"03:15";"2,45";"2,12";
"06.02.2018";"03:30";"2,73";"2,31";
"06.02.2018";"03:45";"2,92";"2,53";
"06.02.2018";"04:00";"3,21";"2,59";
"06.02.2018";"04:15";"3,57";"2,75";
"06.02.2018";"04:30";"4,13";"2,9";
"06.02.2018";"04:45";"4,8";"1,75";
"06.02.2018";"05:00";"5,32";"7,41";
"06.02.2018";"05:15";"6,18";"6,39";
"06.02.2018";"05:30";"7,17";"7,03";
"06.02.2018";"05:45";"8,72";"7,84";
"06.02.2018";"06:00";"10,53";"18,77";
"06.02.2018";"06:15";"12,18";"18,45";
"06.02.2018";"06:30";"12,96";"18,56";
"06.02.2018";"06:45";"14,4";"18,77";
"06.02.2018";"07:00";"16,49";"21,54";
"06.02.2018";"07:15";"17,93";"19,71";
"06.02.2018";"07:30";"21,2";"25,02";
"06.02.2018";"07:45";"24,47";"25,91";
"06.02.2018";"08:00";"31,1";"36,26";
"06.02.2018";"08:15";"37,64";"41,24";
"06.02.2018";"08:30";"45,17";"48,36";
"06.02.2018";"08:45";"52,58";"54,38";
"06.02.2018";"09:00";"60,15";"67,31";
"06.02.2018";"09:15";"66,56";"70,58";
"06.02.2018";"09:30";"72,19";"76,52";
"06.02.2018";"09:45";"74,4";"80,72";
"06.02.2018";"10:00";"75,46";"76,43";
"06.02.2018";"10:15";"76,7";"78,96";
"06.02.2018";"10:30";"75,88";"77,88";
"06.02.2018";"10:45";"74,79";"78,26";
"06.02.2018";"11:00";"74,09";"74,8";
"06.02.2018";"11:15";"73,33";"74,27";
"06.02.2018";"11:30";"72,34";"74,4";
"06.02.2018";"11:45";"72,08";"73,19";
"06.02.2018";"12:00";"70,65";"70,96";
"06.02.2018";"12:15";"70,16";"72,4";
"06.02.2018";"12:30";"72,82";"73,87";
