"Дата";"Время";"Необходимо";"Фактически";
"05.02.2018";"00:00";"1,06";"1,49";
"05.02.2018";"00:15";"1,06";"1,45";
"05.02.2018";"00:30";"1,08";"1,4";
"05.02.2018";"00:45";"0,98";"1,35";
"05.02.2018";"01:00";"0,96";"1,2";
"05.02.2018";"01:15";"1,15";"1,38";
"05.02.2018";"01:30";"1,21";"1,51";
"05.02.2018";"01:45";"1,21";"1,66";
"05.02.2018";"02:00";"1,27";"1,99";
"05.02.2018";"02:15";"1,34";"2,2";
"05.02.2018";"02:30";"1,27";"1,8";
"05.02.2018";"02:45";"1,31";"1,42";
"05.02.2018";"03:00";"1,71";"1,69";
"05.02.2018";"03:15";"1,74";"1,68";
"05.02.2018";"03:30";"2,04";"1,81";
"05.02.2018";"03:45";"2,11";"2,35";
"05.02.2018";"04:00";"2,37";"2,12";
"05.02.2018";"04:15";"2,81";"2,29";
"05.02.2018";"04:30";"3,17";"2,62";
"05.02.2018";"04:45";"3,46";"1,39";
"05.02.2018";"05:00";"4,02";"6,7";
"05.02.2018";"05:15";"4,85";"5,85";
"05.02.2018";"05:30";"5,46";"6,4";
"05.02.2018";"05:45";"6,2";"6,48";
"05.02.2018";"06:00";"7,3";"14,2";
"05.02.2018";"06:15";"8,03";"11,05";
"05.02.2018";"06:30";"8,88";"12,58";
"05.02.2018";"06:45";"9,77";"12,79";
"05.02.2018";"07:00";"11,27";"15,77";
"05.02.2018";"07:15";"13,03";"14,96";
"05.02.2018";"07:30";"15,35";"19,14";
"05.02.2018";"07:45";"17,95";"19,67";
"05.02.2018";"08:00";"22,57";"25,34";
"05.02.2018";"08:15";"27,23";"31,05";
"05.02.2018";"08:30";"32,48";"36,61";
"05.02.2018";"08:45";"37,8";"40,76";
"05.02.2018";"09:00";"43,11";"49,99";
"05.02.2018";"09:15";"48,11";"51,03";
"05.02.2018";"09:30";"52,36";"55,45";
"05.02.2018";"09:45";"55,2";"59,61";
"05.02.2018";"10:00";"56,75";"56,66";
"05.02.2018";"10:15";"58,7";"61,39";
"05.02.2018";"10:30";"59,7";"62,98";
"05.02.2018";"10:45";"60,37";"63,13";
"05.02.2018";"11:00";"60,84";"59,84";
"05.02.2018";"11:15";"60,63";"63,02";
"05.02.2018";"11:30";"61,11";"64,2";
"05.02.2018";"11:45";"61,44";"62,14";
"05.02.2018";"12:00";"61,45";"60,15";
"05.02.2018";"12:15";"61,26";"62,36";
"05.02.2018";"12:30";"60,56";"61,28";
"05.02.2018";"12:45";"59,8";"58,82";
"05.02.2018";"13:00";"59";"57,32";
"05.02.2018";"13:15";"58,19";"56,14";
"05.02.2018";"13:30";"57,36";"58,42";
"05.02.2018";"13:45";"56,08";"57,94";
"05.02.2018";"14:00";"55,3";"57,46";
"05.02.2018";"14:15";"54,22";"54,38";
"05.02.2018";"14:30";"53,18";"54,58";
"05.02.2018";"14:45";"52,95";"54,37";
"05.02.2018";"15:00";"53,03";"50,96";
"05.02.2018";"15:15";"52,69";"54,13";
"05.02.2018";"15:30";"51,79";"52,97";
"05.02.2018";"15:45";"51,2";"49,22";
"05.02.2018";"16:00";"49,62";"53,9";
"05.02.2018";"16:15";"48,73";"54,84";
"05.02.2018";"16:30";"47,53";"51,2";
"05.02.2018";"16:45";"45,83";"50,46";
"05.02.2018";"17:00";"43,85";"47,9";
"05.02.2018";"17:15";"42";"48,73";
"05.02.2018";"17:30";"40,18";"46,66";
"05.02.2018";"17:45";"38,69";"48,02";
"05.02.2018";"18:00";"36,83";"36,81";
"05.02.2018";"18:15";"35,3";"34,57";
"05.02.2018";"18:30";"33,17";"33,82";
"05.02.2018";"18:45";"31,36";"30,77";
"05.02.2018";"19:00";"28,76";"30,96";
"05.02.2018";"19:15";"27,32";"30,4";
"05.02.2018";"19:30";"25,65";"29,2";
"05.02.2018";"19:45";"24,5";"29,55";
"05.02.2018";"20:00";"21,8";"26,74";
"05.02.2018";"20:15";"20,66";"26,34";
"05.02.2018";"20:30";"18,48";"18,34";
"05.02.2018";"20:45";"16,8";"21,92";
"05.02.2018";"21:00";"15,6";"17,46";
"05.02.2018";"21:15";"13,65";"16,79";
"05.02.2018";"21:30";"12,34";"16,09";
"05.02.2018";"21:45";"11,43";"15,1";
"05.02.2018";"22:00";"9,33";"10,64";
"05.02.2018";"22:15";"8,33";"9,64";
"05.02.2018";"22:30";"7,16";"8,61";
"05.02.2018";"22:45";"5,99";"9,75";
