"Дата";"Время";"Необходимо";"Фактически";
"05.02.2018";"00:00";"3,04";"3,86";
"05.02.2018";"00:15";"3,09";"3,58";
"05.02.2018";"00:30";"3,16";"3,56";
"05.02.2018";"00:45";"2,91";"2,82";
"05.02.2018";"01:00";"2,53";"2,32";
"05.02.2018";"01:15";"2,68";"3";
"05.02.2018";"01:30";"2,74";"2,94";
"05.02.2018";"01:45";"2,66";"3,4";
"05.02.2018";"02:00";"2,84";"3,91";
"05.02.2018";"02:15";"2,82";"4";
"05.02.2018";"02:30";"2,8";"3,43";
"05.02.2018";"02:45";"2,85";"2,5";
"05.02.2018";"03:00";"3,39";"3";
"05.02.2018";"03:15";"3,62";"3,01";
"05.02.2018";"03:30";"3,77";"2,96";
"05.02.2018";"03:45";"4,04";"3,99";
"05.02.2018";"04:00";"4,2";"3,39";
"05.02.2018";"04:15";"4,73";"3,77";
"05.02.2018";"04:30";"5,19";"3,75";
"05.02.2018";"04:45";"6,28";"2,84";
"05.02.2018";"05:00";"7,92";"10,42";
"05.02.2018";"05:15";"9,65";"10,23";
"05.02.2018";"05:30";"11,3";"10,96";
"05.02.2018";"05:45";"12,74";"11,69";
"05.02.2018";"06:00";"15,14";"26,1";
"05.02.2018";"06:15";"16,46";"22,78";
"05.02.2018";"06:30";"17,24";"23,72";
"05.02.2018";"06:45";"18,57";"22,39";
"05.02.2018";"07:00";"20,94";"26,16";
"05.02.2018";"07:15";"23,67";"25,14";
"05.02.2018";"07:30";"26,8";"30,27";
"05.02.2018";"07:45";"31,28";"31,7";
"05.02.2018";"08:00";"38,93";"43,54";
"05.02.2018";"08:15";"46,5";"50,93";
"05.02.2018";"08:30";"55,86";"60,58";
"05.02.2018";"08:45";"64,71";"65,94";
"05.02.2018";"09:00";"74,13";"84,68";
"05.02.2018";"09:15";"82,52";"85,35";
"05.02.2018";"09:30";"89,71";"90,34";
"05.02.2018";"09:45";"95,28";"98,13";
"05.02.2018";"10:00";"98,75";"94,3";
"05.02.2018";"10:15";"101,49";"101,43";
"05.02.2018";"10:30";"104,27";"105,1";
"05.02.2018";"10:45";"106,17";"104,85";
"05.02.2018";"11:00";"107,73";"101,74";
"05.02.2018";"11:15";"108,79";"108,35";
"05.02.2018";"11:30";"110,1";"108,31";
"05.02.2018";"11:45";"110,45";"104,89";
"05.02.2018";"12:00";"110,36";"101,35";
"05.02.2018";"12:15";"110,04";"104,98";
"05.02.2018";"12:30";"108,32";"104,42";
"05.02.2018";"12:45";"107,11";"101,49";
"05.02.2018";"13:00";"106,47";"98,71";
"05.02.2018";"13:15";"104,94";"94,43";
"05.02.2018";"13:30";"103,99";"100,14";
"05.02.2018";"13:45";"101,61";"99,98";
"05.02.2018";"14:00";"99,71";"97,27";
"05.02.2018";"14:15";"98,77";"92,81";
"05.02.2018";"14:30";"97,49";"95,42";
"05.02.2018";"14:45";"97,03";"93,51";
"05.02.2018";"15:00";"96,97";"87,93";
"05.02.2018";"15:15";"95,56";"92,41";
"05.02.2018";"15:30";"94,4";"89,43";
"05.02.2018";"15:45";"92,47";"85,29";
"05.02.2018";"16:00";"90,49";"89,42";
"05.02.2018";"16:15";"83,96";"91,63";
"05.02.2018";"16:30";"82,41";"87,93";
"05.02.2018";"16:45";"79,84";"86,38";
"05.02.2018";"17:00";"76,95";"77,9";
"05.02.2018";"17:15";"74,29";"81,6";
"05.02.2018";"17:30";"71,37";"74,99";
"05.02.2018";"17:45";"68,51";"75,92";
"05.02.2018";"18:00";"65,27";"59,76";
"05.02.2018";"18:15";"63,03";"57,69";
"05.02.2018";"18:30";"59,26";"55,16";
"05.02.2018";"18:45";"55,92";"50,93";
"05.02.2018";"19:00";"51,93";"51,06";
"05.02.2018";"19:15";"48,66";"49,67";
"05.02.2018";"19:30";"45,38";"45,16";
"05.02.2018";"19:45";"42,64";"45,93";
"05.02.2018";"20:00";"38,06";"39,89";
"05.02.2018";"20:15";"35,69";"38,87";
"05.02.2018";"20:30";"32,83";"28,01";
"05.02.2018";"20:45";"30,13";"33,33";
"05.02.2018";"21:00";"26,86";"26,99";
"05.02.2018";"21:15";"24,58";"25,93";
"05.02.2018";"21:30";"21,91";"24,45";
"05.02.2018";"21:45";"20,18";"23,59";
"05.02.2018";"22:00";"17,44";"16,98";
"05.02.2018";"22:15";"15,75";"16,47";
"05.02.2018";"22:30";"13,95";"14,12";
"05.02.2018";"22:45";"11,4";"15,61";
"05.02.2018";"23:00";"10,26";"11,78";
"05.02.2018";"23:15";"9,56";"11,66";
"05.02.2018";"23:30";"9,28";"12,06";
"05.02.2018";"23:45";"9,27";"12,26";
"06.02.2018";"00:00";"3,99";"3,8";
"06.02.2018";"00:15";"3,65";"4";
"06.02.2018";"00:30";"3,69";"4";
"06.02.2018";"00:45";"3,3";"3";
"06.02.2018";"01:00";"3,48";"2,99";
"06.02.2018";"01:15";"3,19";"3";
"06.02.2018";"01:30";"2,91";"3";
"06.02.2018";"01:45";"2,9";"4";
"06.02.2018";"02:00";"2,92";"4";
"06.02.2018";"02:15";"2,99";"3,98";
"06.02.2018";"02:30";"3,01";"4";
"06.02.2018";"02:45";"3,17";"3";
"06.02.2018";"03:00";"3,45";"3";
"06.02.2018";"03:15";"3,66";"2,69";
"06.02.2018";"03:30";"4,29";"3";
"06.02.2018";"03:45";"4,62";"3,71";
"06.02.2018";"04:00";"4,94";"3,64";
"06.02.2018";"04:15";"5,21";"3,74";
"06.02.2018";"04:30";"5,69";"3,6";
"06.02.2018";"04:45";"6,6";"2,59";
"06.02.2018";"05:00";"7,84";"8,98";
"06.02.2018";"05:15";"9,4";"8,83";
"06.02.2018";"05:30";"10,56";"9,03";
"06.02.2018";"05:45";"12,44";"10,13";
"06.02.2018";"06:00";"14,8";"24,34";
"06.02.2018";"06:15";"16,35";"23,19";
"06.02.2018";"06:30";"17,8";"23,29";
"06.02.2018";"06:45";"19,73";"23,82";
"06.02.2018";"07:00";"22,16";"29,36";
"06.02.2018";"07:15";"24,65";"26,69";
