"Дата";"Время";"Необходимо";"Фактически";
"05.02.2018";"00:00";"0";"0";
"05.02.2018";"00:15";"0";"0";
"05.02.2018";"00:30";"0";"0";
"05.02.2018";"00:45";"0";"0";
"05.02.2018";"01:00";"0";"0";
"05.02.2018";"01:15";"0";"0";
"05.02.2018";"01:30";"0";"0";
"05.02.2018";"01:45";"0";"0";
"05.02.2018";"02:00";"0";"0";
"05.02.2018";"02:15";"0";"0";
"05.02.2018";"02:30";"0";"0";
"05.02.2018";"02:45";"0";"0";
"05.02.2018";"03:00";"0,75";"0";
"05.02.2018";"03:15";"0,79";"0";
"05.02.2018";"03:30";"0,84";"0";
"05.02.2018";"03:45";"0,87";"0";
"05.02.2018";"04:00";"0,91";"0";
"05.02.2018";"04:15";"0,95";"0";
"05.02.2018";"04:30";"0,98";"0";
"05.02.2018";"04:45";"0,99";"0";
"05.02.2018";"05:00";"1,15";"1,48";
"05.02.2018";"05:15";"1,16";"1,64";
"05.02.2018";"05:30";"1,02";"1,05";
"05.02.2018";"05:45";"0,98";"0,87";
"05.02.2018";"06:00";"1,55";"7,11";
"05.02.2018";"06:15";"2,26";"10,48";
"05.02.2018";"06:30";"2,86";"8,76";
"05.02.2018";"06:45";"2,93";"7,37";
"05.02.2018";"07:00";"3,62";"8,08";
"05.02.2018";"07:15";"4,2";"6,04";
"05.02.2018";"07:30";"5,37";"8,12";
"05.02.2018";"07:45";"5,85";"6,58";
"05.02.2018";"08:00";"7,59";"11,78";
"05.02.2018";"08:15";"8,96";"11,19";
"05.02.2018";"08:30";"10,19";"12,34";
"05.02.2018";"08:45";"11,34";"12,97";
"05.02.2018";"09:00";"11,51";"21,95";
"05.02.2018";"09:15";"12,58";"17,91";
"05.02.2018";"09:30";"13,05";"18,4";
"05.02.2018";"09:45";"13,37";"17,29";
"05.02.2018";"10:00";"14,16";"15,98";
"05.02.2018";"10:15";"14,09";"15,7";
"05.02.2018";"10:30";"14,71";"18,74";
"05.02.2018";"10:45";"15,24";"16,42";
"05.02.2018";"11:00";"15,42";"17,04";
"05.02.2018";"11:15";"15,74";"17,16";
"05.02.2018";"11:30";"15,92";"17,78";
"05.02.2018";"11:45";"16";"16,38";
"05.02.2018";"12:00";"16,29";"16,38";
"05.02.2018";"12:15";"16,46";"16,25";
"05.02.2018";"12:30";"17,74";"17,95";
"05.02.2018";"12:45";"18,09";"18,17";
"05.02.2018";"13:00";"18,19";"17,63";
"05.02.2018";"13:15";"18,24";"16,4";
"05.02.2018";"13:30";"18,43";"17,54";
"05.02.2018";"13:45";"17,88";"19,19";
"05.02.2018";"14:00";"18,01";"17,15";
"05.02.2018";"14:15";"17,46";"16,43";
"05.02.2018";"14:30";"17,01";"15,83";
"05.02.2018";"14:45";"16,42";"15,45";
"05.02.2018";"15:00";"16,2";"15,09";
