"Дата";"Время";"Необходимо";"Фактически";
"05.02.2018";"00:00";"0";"0";
"05.02.2018";"00:15";"0";"0";
"05.02.2018";"00:30";"0";"0";
"05.02.2018";"00:45";"0";"0";
"05.02.2018";"01:00";"0";"0";
"05.02.2018";"01:15";"0";"0";
"05.02.2018";"01:30";"0";"0";
"05.02.2018";"01:45";"0";"0";
"05.02.2018";"02:00";"0";"0";
"05.02.2018";"02:15";"0";"0";
"05.02.2018";"02:30";"0";"0";
"05.02.2018";"02:45";"0";"0";
"05.02.2018";"03:00";"0,75";"0";
"05.02.2018";"03:15";"0,79";"0";
"05.02.2018";"03:30";"0,84";"0";
"05.02.2018";"03:45";"0,87";"0";
"05.02.2018";"04:00";"0,91";"0";
"05.02.2018";"04:15";"0,95";"0";
"05.02.2018";"04:30";"0,98";"0";
"05.02.2018";"04:45";"0,99";"0";
"05.02.2018";"05:00";"1,15";"1,48";
"05.02.2018";"05:15";"1,16";"1,64";
"05.02.2018";"05:30";"1,02";"1,05";
"05.02.2018";"05:45";"0,98";"0,87";
"05.02.2018";"06:00";"1,55";"7,11";
"05.02.2018";"06:15";"2,26";"10,48";
"05.02.2018";"06:30";"2,86";"8,76";
"05.02.2018";"06:45";"2,93";"7,37";
"05.02.2018";"07:00";"4,63";"10,2";
"05.02.2018";"07:15";"6,01";"8,49";
"05.02.2018";"07:30";"7,78";"11,22";
"05.02.2018";"07:45";"9,49";"10,68";
"05.02.2018";"08:00";"12,28";"17,72";
"05.02.2018";"08:15";"14,34";"17,07";
"05.02.2018";"08:30";"16,53";"19,91";
"05.02.2018";"08:45";"18,47";"20,07";
"05.02.2018";"09:00";"26,42";"44,94";
"05.02.2018";"09:15";"30,93";"41,23";
"05.02.2018";"09:30";"34,52";"45,67";
"05.02.2018";"09:45";"36,59";"45,85";
"05.02.2018";"10:00";"39,02";"42,49";
"05.02.2018";"10:15";"39,68";"42,78";
"05.02.2018";"10:30";"42,09";"49,82";
"05.02.2018";"10:45";"43,09";"44,26";
"05.02.2018";"11:00";"44,92";"48,58";
"05.02.2018";"11:15";"48,09";"49,8";
"05.02.2018";"11:30";"50,48";"52,18";
"05.02.2018";"11:45";"51,4";"50,99";
"05.02.2018";"12:00";"51,84";"50,81";
"05.02.2018";"12:15";"52,56";"49,21";
"05.02.2018";"12:30";"54,53";"53,25";
"05.02.2018";"12:45";"54,18";"53,74";
"05.02.2018";"13:00";"53,35";"49,35";
"05.02.2018";"13:15";"52,95";"46,27";
"05.02.2018";"13:30";"53,01";"49,18";
"05.02.2018";"13:45";"53,04";"53,43";
"05.02.2018";"14:00";"54,08";"49,99";
"05.02.2018";"14:15";"53,02";"46,86";
"05.02.2018";"14:30";"52,65";"49,1";
"05.02.2018";"14:45";"51,95";"45,78";
"05.02.2018";"15:00";"51,49";"46,69";
