"Дата";"Время";"Необходимо";"Фактически";
"05.02.2018";"00:00";"0";"0";
"05.02.2018";"00:15";"0";"0";
"05.02.2018";"00:30";"0";"0";
"05.02.2018";"00:45";"0";"0";
"05.02.2018";"01:00";"0";"0";
"05.02.2018";"01:15";"0";"0";
"05.02.2018";"01:30";"0";"0";
"05.02.2018";"01:45";"0";"0";
"05.02.2018";"02:00";"0";"0";
"05.02.2018";"02:15";"0";"0";
"05.02.2018";"02:30";"0";"0";
"05.02.2018";"02:45";"0";"0";
"05.02.2018";"03:00";"0";"0";
"05.02.2018";"03:15";"0";"0";
"05.02.2018";"03:30";"0";"0";
"05.02.2018";"03:45";"0";"0";
"05.02.2018";"04:00";"0";"0";
"05.02.2018";"04:15";"0";"0";
"05.02.2018";"04:30";"0";"0";
"05.02.2018";"04:45";"0";"0";
"05.02.2018";"05:00";"0";"0";
"05.02.2018";"05:15";"0";"0";
"05.02.2018";"05:30";"0";"0";
"05.02.2018";"05:45";"0";"0";
"05.02.2018";"06:00";"0";"0";
"05.02.2018";"06:15";"0";"0";
"05.02.2018";"06:30";"0";"0";
"05.02.2018";"06:45";"0";"0";
"05.02.2018";"07:00";"0";"0";
"05.02.2018";"07:15";"0";"0";
"05.02.2018";"07:30";"0";"0";
"05.02.2018";"07:45";"0";"0";
"05.02.2018";"08:00";"0";"0";
"05.02.2018";"08:15";"0";"0";
"05.02.2018";"08:30";"0";"0";
"05.02.2018";"08:45";"0";"0";
"05.02.2018";"09:00";"7,24";"10,19";
"05.02.2018";"09:15";"9,9";"12,35";
"05.02.2018";"09:30";"12,33";"15,61";
"05.02.2018";"09:45";"13,83";"17,19";
"05.02.2018";"10:00";"14,63";"15,36";
"05.02.2018";"10:15";"15,56";"16,48";
"05.02.2018";"10:30";"16,96";"19,32";
"05.02.2018";"10:45";"17,05";"16,85";
"05.02.2018";"11:00";"18,62";"20,17";
"05.02.2018";"11:15";"20,82";"20,7";
"05.02.2018";"11:30";"22,69";"22,64";
"05.02.2018";"11:45";"23,38";"22,38";
"05.02.2018";"12:00";"23,53";"23,41";
"05.02.2018";"12:15";"24,03";"22,09";
"05.02.2018";"12:30";"23,82";"23,01";
"05.02.2018";"12:45";"23,11";"23,35";
"05.02.2018";"13:00";"22,56";"20,27";
"05.02.2018";"13:15";"22,26";"19,37";
"05.02.2018";"13:30";"22,33";"20,27";
"05.02.2018";"13:45";"22,79";"22,72";
"05.02.2018";"14:00";"23,58";"21,4";
"05.02.2018";"14:15";"23,21";"19,79";
"05.02.2018";"14:30";"23,43";"21,83";
"05.02.2018";"14:45";"23,3";"20,26";
"05.02.2018";"15:00";"23,21";"20,18";
"05.02.2018";"15:15";"22,52";"19,97";
"05.02.2018";"15:30";"22,48";"21,58";
"05.02.2018";"15:45";"22,83";"20,06";
