"Дата";"Время";"Необходимо";"Фактически";
"05.02.2018";"00:00";"0";"0";
"05.02.2018";"00:15";"0";"0";
"05.02.2018";"00:30";"0";"0";
"05.02.2018";"00:45";"0";"0";
"05.02.2018";"01:00";"0";"0";
"05.02.2018";"01:15";"0";"0";
"05.02.2018";"01:30";"0";"0";
"05.02.2018";"01:45";"0";"0";
"05.02.2018";"02:00";"0";"0";
"05.02.2018";"02:15";"0";"0";
"05.02.2018";"02:30";"0";"0";
"05.02.2018";"02:45";"0";"0";
"05.02.2018";"03:00";"0";"0";
"05.02.2018";"03:15";"0";"0";
"05.02.2018";"03:30";"0";"0";
"05.02.2018";"03:45";"0";"0";
"05.02.2018";"04:00";"0";"0";
"05.02.2018";"04:15";"0";"0";
"05.02.2018";"04:30";"0";"0";
"05.02.2018";"04:45";"0";"0";
"05.02.2018";"05:00";"0";"0";
"05.02.2018";"05:15";"0";"0";
"05.02.2018";"05:30";"0";"0";
"05.02.2018";"05:45";"0";"0";
"05.02.2018";"06:00";"0";"0";
"05.02.2018";"06:15";"0";"0";
"05.02.2018";"06:30";"0";"0";
"05.02.2018";"06:45";"0";"0";
"05.02.2018";"07:00";"1,01";"2,12";
"05.02.2018";"07:15";"1,81";"2,45";
"05.02.2018";"07:30";"2,41";"3,1";
"05.02.2018";"07:45";"3,64";"4,1";
"05.02.2018";"08:00";"4,7";"5,94";
"05.02.2018";"08:15";"5,38";"5,88";
"05.02.2018";"08:30";"6,34";"7,57";
"05.02.2018";"08:45";"7,13";"7,1";
"05.02.2018";"09:00";"7,66";"12,8";
"05.02.2018";"09:15";"8,45";"10,97";
"05.02.2018";"09:30";"9,15";"11,66";
"05.02.2018";"09:45";"9,38";"11,37";
"05.02.2018";"10:00";"10,24";"11,15";
"05.02.2018";"10:15";"10,02";"10,6";
"05.02.2018";"10:30";"10,42";"11,76";
"05.02.2018";"10:45";"10,8";"10,99";
"05.02.2018";"11:00";"10,87";"11,37";
"05.02.2018";"11:15";"11,52";"11,94";
"05.02.2018";"11:30";"11,87";"11,76";
"05.02.2018";"11:45";"12,03";"12,23";
"05.02.2018";"12:00";"12,01";"11,02";
"05.02.2018";"12:15";"12,07";"10,87";
"05.02.2018";"12:30";"12,97";"12,29";
"05.02.2018";"12:45";"12,98";"12,22";
"05.02.2018";"13:00";"12,6";"11,45";
"05.02.2018";"13:15";"12,44";"10,5";
"05.02.2018";"13:30";"12,25";"11,37";
"05.02.2018";"13:45";"12,37";"11,52";
"05.02.2018";"14:00";"12,49";"11,44";
"05.02.2018";"14:15";"12,36";"10,64";
"05.02.2018";"14:30";"12,21";"11,44";
"05.02.2018";"14:45";"12,23";"10,07";
"05.02.2018";"15:00";"12,09";"11,42";
"05.02.2018";"15:15";"11,98";"10,65";
"05.02.2018";"15:30";"11,82";"11";
