"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";
"01:00 - 02:00";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";
"02:00 - 03:00";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";
"03:00 - 04:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"04:00 - 05:00";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";
"05:00 - 06:00";"1";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";
"06:00 - 07:00";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";
"07:00 - 08:00";"2";"2";"2";"2";"2";"1";"1";"2";"1";"2";"1";"2";"2";"1";
"08:00 - 09:00";"4";"3";"4";"3";"4";"2";"1";"3";"3";"3";"3";"3";"3";"1";
"09:00 - 10:00";"6";"7";"7";"6";"7";"4";"2";"4";"5";"5";"5";"6";"4";"1";
"10:00 - 11:00";"7";"8";"8";"8";"8";"6";"2";"6";"7";"7";"7";"7";"6";"2";
"11:00 - 12:00";"8";"8";"9";"7";"8";"7";"2";"7";"7";"7";"7";"8";"7";"2";
"12:00 - 13:00";"9";"8";"8";"8";"8";"8";"2";"8";"7";"7";"7";"8";"7";"2";
"13:00 - 14:00";"9";"8";"8";"8";"8";"6";"2";"8";"7";"7";"7";"8";"6";"2";
"14:00 - 15:00";"9";"8";"8";"7";"7";"6";"2";"7";"7";"7";"6";"8";"6";"2";
"15:00 - 16:00";"9";"9";"8";"8";"7";"6";"2";"8";"6";"6";"6";"8";"5";"2";
"16:00 - 17:00";"8";"8";"8";"7";"7";"5";"2";"7";"5";"6";"5";"7";"4";"2";
"17:00 - 18:00";"6";"7";"6";"6";"6";"4";"1";"6";"5";"5";"5";"7";"3";"2";
"18:00 - 19:00";"4";"5";"5";"5";"4";"3";"1";"4";"4";"4";"4";"4";"2";"1";
"19:00 - 20:00";"3";"4";"3";"3";"2";"2";"1";"4";"3";"3";"3";"3";"1";"2";
"20:00 - 21:00";"2";"3";"2";"2";"2";"2";"1";"3";"3";"2";"2";"3";"1";"1";
"21:00 - 22:00";"1";"2";"1";"2";"1";"1";"1";"2";"1";"1";"2";"1";"1";"1";
"22:00 - 23:00";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";
"23:00 - 00:00";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";
