"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";
"01:00 - 02:00";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";
"02:00 - 03:00";"1";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"1";"1";"1";
"03:00 - 04:00";"0";"1";"1";"1";"1";"1";"0";"0";"0";"1";"1";"1";"1";"1";
"04:00 - 05:00";"1";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"1";
"05:00 - 06:00";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"06:00 - 07:00";"2";"2";"2";"1";"2";"2";"1";"2";"1";"2";"1";"1";"1";"1";
"07:00 - 08:00";"3";"2";"3";"2";"3";"2";"1";"2";"2";"3";"2";"2";"2";"1";
"08:00 - 09:00";"5";"4";"5";"5";"5";"4";"2";"4";"4";"4";"4";"4";"3";"2";
"09:00 - 10:00";"8";"8";"9";"8";"8";"6";"2";"6";"7";"7";"7";"7";"5";"2";
"10:00 - 11:00";"10";"11";"11";"10";"10";"9";"3";"8";"9";"9";"9";"9";"8";"3";
"11:00 - 12:00";"11";"11";"11";"10";"11";"10";"3";"9";"9";"10";"9";"10";"9";"3";
"12:00 - 13:00";"12";"10";"10";"10";"11";"10";"3";"10";"9";"9";"9";"10";"9";"3";
"13:00 - 14:00";"12";"10";"10";"10";"10";"8";"2";"10";"9";"9";"9";"9";"8";"3";
"14:00 - 15:00";"12";"10";"10";"10";"10";"8";"2";"10";"9";"9";"8";"9";"7";"3";
"15:00 - 16:00";"11";"10";"9";"10";"10";"7";"2";"10";"8";"9";"8";"9";"6";"3";
"16:00 - 17:00";"9";"9";"9";"10";"10";"6";"2";"9";"8";"9";"8";"8";"5";"2";
"17:00 - 18:00";"8";"9";"9";"9";"9";"5";"2";"8";"7";"8";"7";"8";"4";"2";
"18:00 - 19:00";"6";"8";"7";"8";"7";"4";"2";"6";"6";"6";"5";"6";"3";"2";
"19:00 - 20:00";"5";"6";"5";"6";"5";"3";"2";"5";"5";"5";"4";"4";"2";"2";
"20:00 - 21:00";"4";"4";"3";"4";"3";"2";"1";"4";"4";"3";"3";"3";"2";"1";
"21:00 - 22:00";"3";"3";"2";"3";"3";"2";"1";"2";"2";"2";"3";"2";"2";"1";
"22:00 - 23:00";"2";"2";"1";"3";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";
"23:00 - 00:00";"1";"1";"2";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";
