"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"1";"-1";"-2";"-2";"-2";"-1";"-1";"1";"-1";"-2";"-2";"-2";"-4";"-4";
"01:00 - 02:00";"0";"0";"-2";"-2";"-2";"-2";"-1";"0";"0";"-2";"-2";"-2";"-3";"-2";
"02:00 - 03:00";"1";"1";"0";"-1";"-1";"0";"0";"1";"1";"0";"-1";"-1";"-2";"-2";
"03:00 - 04:00";"-2";"-2";"-3";"-3";"-3";"-2";"-1";"-1";"-3";"-3";"-3";"-4";"-3";"-2";
"04:00 - 05:00";"-3";"-4";"-3";"-4";"-4";"-2";"-1";"-2";"-4";"-3";"-4";"-4";"-4";"-3";
"05:00 - 06:00";"0";"-2";"-1";"-3";"-2";"-1";"1";"-4";"-5";"-3";"-5";"-6";"-4";"-2";
"06:00 - 07:00";"13";"10";"-1";"3";"6";"2";"7";"0";"2";"0";"1";"2";"-4";"1";
"07:00 - 08:00";"5";"6";"-1";"3";"4";"5";"4";"-1";"1";"-4";"-4";"-3";"4";"4";
"08:00 - 09:00";"7";"7";"5";"1";"4";"6";"9";"-2";"2";"-1";"-6";"-5";"-2";"1";
"09:00 - 10:00";"15";"23";"8";"-1";"15";"13";"8";"6";"14";"-2";"-2";"20";"5";"-2";
"10:00 - 11:00";"0";"2";"-8";"-7";"-5";"2";"4";"-9";"3";"-7";"-4";"12";"-1";"-5";
"11:00 - 12:00";"-3";"-3";"-7";"-12";"-6";"4";"0";"-10";"-1";"-15";"-3";"9";"-2";"-7";
"12:00 - 13:00";"-9";"-2";"-4";"-6";"-6";"10";"7";"-8";"3";"-12";"-3";"9";"2";"2";
"13:00 - 14:00";"-11";"-2";"-11";"-12";"-3";"7";"4";"-12";"-7";"-18";"-8";"0";"-1";"-7";
"14:00 - 15:00";"-9";"-2";"-5";"-9";"-3";"17";"8";"-16";"-10";"-16";"-4";"19";"6";"3";
"15:00 - 16:00";"-11";"16";"1";"-6";"3";"15";"5";"-6";"-18";"-21";"-16";"12";"-2";"7";
"16:00 - 17:00";"14";"19";"2";"-3";"5";"14";"6";"-10";"-14";"-22";"-19";"15";"5";"3";
"17:00 - 18:00";"12";"12";"4";"-9";"3";"16";"5";"-3";"-2";"-19";"-5";"21";"6";"8";
"18:00 - 19:00";"-12";"-16";"-28";"-7";"-18";"4";"0";"-16";"-3";"-21";"-16";"-10";"3";"2";
"19:00 - 20:00";"0";"-2";"-12";"-17";"-12";"1";"-4";"-4";"-5";"-10";"-9";"-3";"-1";"-5";
"20:00 - 21:00";"0";"5";"-9";"-5";"-6";"3";"-2";"0";"-1";"-6";"-6";"5";"1";"-2";
"21:00 - 22:00";"3";"8";"-3";"-2";"-4";"-2";"-2";"1";"-2";"2";"-1";"-3";"-5";"-3";
"22:00 - 23:00";"1";"3";"1";"-4";"-1";"-2";"1";"3";"1";"-2";"0";"-1";"-2";"-1";
"23:00 - 00:00";"1";"2";"-1";"-3";"0";"-3";"0";"0";"1";"-4";"-2";"-3";"-3";"0";
