"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"2";"2";
"01:00 - 02:00";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"2";"2";
"02:00 - 03:00";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"2";"2";
"03:00 - 04:00";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"2";"2";
"04:00 - 05:00";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"2";"2";
"05:00 - 06:00";"12";"10";"11";"9";"11";"9";"8";"7";"7";"10";"7";"7";"5";"5";
"06:00 - 07:00";"33";"31";"19";"23";"26";"18";"17";"19";"23";"23";"22";"22";"10";"10";
"07:00 - 08:00";"39";"42";"36";"39";"39";"29";"19";"32";"38";"38";"35";"33";"28";"18";
"08:00 - 09:00";"76";"80";"79";"74";"78";"54";"36";"66";"79";"84";"73";"73";"47";"26";
"09:00 - 10:00";"137";"151";"136";"126";"146";"91";"53";"128";"148";"145";"134";"161";"86";"42";
"10:00 - 11:00";"149";"155";"145";"145";"147";"100";"61";"143";"164";"167";"157";"178";"101";"52";
"11:00 - 12:00";"160";"157";"152";"148";"153";"104";"57";"158";"167";"166";"166";"180";"101";"49";
"12:00 - 13:00";"159";"154";"157";"151";"152";"104";"61";"158";"167";"167";"165";"181";"100";"56";
"13:00 - 14:00";"151";"151";"149";"140";"146";"92";"55";"152";"154";"154";"154";"162";"88";"45";
"14:00 - 15:00";"147";"146";"148";"139";"142";"94";"55";"143";"145";"149";"151";"175";"87";"51";
"15:00 - 16:00";"139";"157";"147";"136";"139";"86";"51";"146";"130";"136";"132";"161";"72";"54";
"16:00 - 17:00";"151";"150";"137";"127";"130";"75";"49";"132";"122";"122";"119";"151";"68";"47";
"17:00 - 18:00";"134";"130";"127";"107";"110";"67";"44";"124";"119";"110";"117";"137";"58";"48";
"18:00 - 19:00";"86";"79";"72";"86";"66";"44";"36";"87";"93";"83";"83";"84";"44";"37";
"19:00 - 20:00";"67";"63";"57";"48";"46";"33";"27";"66";"62";"62";"59";"61";"31";"26";
"20:00 - 21:00";"49";"53";"42";"41";"34";"29";"22";"49";"48";"46";"42";"50";"27";"22";
"21:00 - 22:00";"35";"39";"29";"28";"21";"16";"16";"32";"29";"35";"30";"25";"14";"14";
"22:00 - 23:00";"19";"21";"19";"14";"14";"10";"12";"20";"18";"16";"18";"16";"10";"9";
"23:00 - 00:00";"13";"14";"11";"9";"11";"6";"8";"11";"12";"8";"9";"9";"6";"7";
