"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"3";"5";"6";"6";"6";"5";"5";"3";"5";"6";"6";"6";"6";"6";
"01:00 - 02:00";"3";"3";"5";"5";"5";"5";"4";"3";"3";"5";"5";"5";"5";"4";
"02:00 - 03:00";"3";"3";"4";"5";"5";"4";"4";"3";"3";"4";"5";"5";"4";"4";
"03:00 - 04:00";"5";"5";"6";"6";"6";"5";"4";"4";"6";"6";"6";"7";"5";"4";
"04:00 - 05:00";"7";"8";"7";"8";"8";"6";"5";"6";"8";"7";"8";"8";"6";"5";
"05:00 - 06:00";"12";"12";"12";"12";"13";"10";"7";"11";"12";"13";"12";"13";"9";"7";
"06:00 - 07:00";"20";"21";"20";"20";"20";"16";"10";"19";"21";"23";"21";"20";"14";"9";
"07:00 - 08:00";"34";"36";"37";"36";"35";"24";"15";"33";"37";"42";"39";"36";"24";"14";
"08:00 - 09:00";"69";"73";"74";"73";"74";"48";"27";"68";"77";"85";"79";"78";"49";"25";
"09:00 - 10:00";"122";"128";"128";"127";"131";"78";"45";"122";"134";"147";"136";"141";"81";"44";
"10:00 - 11:00";"149";"153";"153";"152";"152";"98";"57";"152";"161";"174";"161";"166";"102";"57";
"11:00 - 12:00";"163";"160";"159";"160";"159";"100";"57";"168";"168";"181";"169";"171";"103";"56";
"12:00 - 13:00";"168";"156";"161";"157";"158";"94";"54";"166";"164";"179";"168";"172";"98";"54";
"13:00 - 14:00";"162";"153";"160";"152";"149";"85";"51";"164";"161";"172";"162";"162";"89";"52";
"14:00 - 15:00";"156";"148";"153";"148";"145";"77";"47";"159";"155";"165";"155";"156";"81";"48";
"15:00 - 16:00";"150";"141";"146";"142";"136";"71";"46";"152";"148";"157";"148";"149";"74";"47";
"16:00 - 17:00";"137";"131";"135";"130";"125";"61";"43";"142";"136";"144";"138";"136";"63";"44";
"17:00 - 18:00";"122";"118";"123";"116";"107";"51";"39";"127";"121";"129";"122";"116";"52";"40";
"18:00 - 19:00";"98";"95";"100";"93";"84";"40";"36";"103";"96";"104";"99";"94";"41";"35";
"19:00 - 20:00";"67";"65";"69";"65";"58";"32";"31";"70";"67";"72";"68";"64";"32";"31";
"20:00 - 21:00";"49";"48";"51";"46";"40";"26";"24";"49";"49";"52";"48";"45";"26";"24";
"21:00 - 22:00";"32";"31";"32";"30";"25";"18";"18";"31";"31";"33";"31";"28";"19";"17";
"22:00 - 23:00";"18";"18";"18";"18";"15";"12";"11";"17";"17";"18";"18";"17";"12";"10";
"23:00 - 00:00";"12";"12";"12";"12";"11";"9";"8";"11";"11";"12";"11";"12";"9";"7";
