"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"0";"0";
"01:00 - 02:00";"1";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"1";
"02:00 - 03:00";"1";"1";"1";"0";"0";"1";"1";"1";"1";"0";"1";"0";"0";"1";
"03:00 - 04:00";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";
"04:00 - 05:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"05:00 - 06:00";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"06:00 - 07:00";"3";"3";"3";"3";"3";"2";"2";"3";"3";"3";"3";"3";"2";"2";
"07:00 - 08:00";"4";"4";"4";"4";"4";"4";"3";"3";"4";"4";"4";"4";"4";"2";
"08:00 - 09:00";"9";"9";"9";"7";"9";"7";"5";"7";"9";"9";"8";"9";"6";"4";
"09:00 - 10:00";"14";"16";"15";"12";"15";"11";"9";"12";"16";"16";"14";"16";"10";"6";
"10:00 - 11:00";"15";"16";"16";"13";"15";"12";"11";"13";"17";"19";"16";"17";"11";"8";
"11:00 - 12:00";"16";"15";"15";"13";"14";"13";"8";"14";"17";"17";"16";"16";"11";"7";
"12:00 - 13:00";"14";"15";"15";"12";"14";"13";"9";"14";"16";"16";"14";"16";"12";"8";
"13:00 - 14:00";"14";"15";"13";"12";"13";"11";"8";"14";"15";"14";"14";"15";"10";"6";
"14:00 - 15:00";"12";"14";"13";"12";"11";"10";"8";"13";"14";"14";"14";"14";"10";"7";
"15:00 - 16:00";"12";"14";"12";"11";"12";"10";"7";"14";"11";"13";"12";"13";"8";"7";
"16:00 - 17:00";"11";"12";"11";"10";"11";"9";"7";"13";"10";"11";"11";"12";"7";"6";
"17:00 - 18:00";"9";"10";"10";"8";"9";"8";"6";"12";"12";"10";"10";"11";"7";"6";
"18:00 - 19:00";"7";"7";"6";"8";"5";"6";"5";"9";"9";"7";"8";"8";"6";"6";
"19:00 - 20:00";"6";"7";"6";"4";"5";"5";"4";"9";"7";"7";"7";"7";"4";"4";
"20:00 - 21:00";"5";"6";"5";"5";"5";"4";"3";"6";"6";"7";"5";"7";"4";"3";
"21:00 - 22:00";"4";"4";"5";"4";"3";"3";"3";"5";"4";"5";"5";"4";"3";"3";
"22:00 - 23:00";"3";"3";"3";"2";"2";"2";"2";"3";"3";"3";"3";"3";"2";"2";
"23:00 - 00:00";"3";"3";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"1";"1";
