"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"01:00 - 02:00";"0";"0";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"1";"1";
"02:00 - 03:00";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";
"03:00 - 04:00";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";
"04:00 - 05:00";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"1";
"05:00 - 06:00";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"06:00 - 07:00";"2";"2";"2";"2";"2";"2";"1";"2";"3";"2";"3";"2";"2";"1";
"07:00 - 08:00";"4";"4";"4";"4";"4";"3";"2";"3";"5";"4";"4";"4";"3";"2";
"08:00 - 09:00";"8";"8";"9";"7";"8";"6";"4";"7";"9";"9";"9";"9";"5";"3";
"09:00 - 10:00";"12";"14";"14";"12";"13";"10";"7";"12";"15";"16";"14";"15";"9";"6";
"10:00 - 11:00";"15";"16";"16";"14";"15";"11";"9";"14";"17";"18";"16";"16";"11";"9";
"11:00 - 12:00";"15";"15";"16";"14";"14";"12";"8";"14";"17";"18";"16";"15";"11";"8";
"12:00 - 13:00";"14";"15";"15";"12";"14";"12";"8";"14";"16";"16";"15";"15";"11";"7";
"13:00 - 14:00";"14";"14";"13";"12";"13";"10";"7";"15";"16";"15";"14";"14";"10";"7";
"14:00 - 15:00";"13";"14";"13";"12";"12";"9";"7";"14";"15";"15";"14";"13";"8";"7";
"15:00 - 16:00";"12";"13";"12";"11";"11";"8";"7";"14";"14";"14";"13";"12";"8";"6";
"16:00 - 17:00";"10";"11";"11";"10";"11";"7";"6";"13";"13";"13";"12";"12";"7";"6";
"17:00 - 18:00";"9";"10";"10";"9";"9";"6";"6";"12";"11";"12";"11";"10";"6";"5";
"18:00 - 19:00";"8";"8";"9";"8";"8";"5";"5";"11";"10";"10";"9";"9";"5";"5";
"19:00 - 20:00";"6";"7";"8";"7";"7";"4";"5";"9";"7";"9";"8";"7";"4";"4";
"20:00 - 21:00";"5";"5";"7";"5";"5";"4";"4";"7";"6";"7";"6";"6";"4";"4";
"21:00 - 22:00";"3";"4";"4";"4";"4";"3";"3";"4";"4";"5";"4";"4";"3";"3";
"22:00 - 23:00";"2";"3";"2";"2";"2";"2";"2";"3";"3";"2";"3";"3";"2";"2";
"23:00 - 00:00";"1";"2";"2";"1";"2";"1";"1";"2";"2";"1";"2";"2";"1";"1";
