"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";
"01:00 - 02:00";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";
"03:00 - 04:00";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";
"04:00 - 05:00";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";
"05:00 - 06:00";"2";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";
"06:00 - 07:00";"5";"2";"2";"2";"2";"2";"3";"2";"1";"2";"1";"1";"1";"1";
"07:00 - 08:00";"3";"4";"4";"4";"4";"3";"2";"3";"3";"3";"2";"2";"3";"2";
"08:00 - 09:00";"6";"8";"8";"7";"6";"5";"4";"5";"6";"6";"6";"5";"4";"3";
"09:00 - 10:00";"10";"14";"10";"10";"10";"8";"4";"9";"10";"9";"8";"10";"7";"3";
"10:00 - 11:00";"12";"14";"12";"11";"10";"8";"4";"13";"13";"12";"9";"12";"8";"3";
"11:00 - 12:00";"14";"14";"14";"10";"13";"9";"4";"16";"13";"13";"9";"13";"8";"4";
"12:00 - 13:00";"13";"14";"14";"12";"12";"8";"4";"13";"12";"12";"10";"13";"7";"5";
"13:00 - 14:00";"13";"12";"14";"12";"12";"8";"4";"12";"11";"12";"11";"12";"7";"4";
"14:00 - 15:00";"13";"12";"14";"12";"13";"9";"4";"11";"10";"11";"11";"13";"7";"4";
"15:00 - 16:00";"12";"15";"12";"12";"13";"8";"4";"11";"10";"11";"10";"14";"6";"5";
"16:00 - 17:00";"13";"14";"12";"13";"11";"7";"4";"10";"9";"10";"10";"11";"6";"4";
"17:00 - 18:00";"11";"11";"12";"11";"10";"6";"4";"9";"10";"10";"10";"10";"5";"4";
"18:00 - 19:00";"8";"7";"9";"9";"7";"5";"4";"7";"8";"8";"8";"7";"4";"3";
"19:00 - 20:00";"7";"6";"6";"7";"5";"4";"3";"7";"6";"6";"6";"6";"3";"3";
"20:00 - 21:00";"4";"5";"5";"6";"4";"4";"3";"5";"6";"4";"5";"6";"3";"2";
"21:00 - 22:00";"4";"3";"4";"4";"2";"2";"3";"3";"3";"4";"3";"2";"1";"2";
"22:00 - 23:00";"2";"2";"3";"2";"2";"1";"3";"2";"2";"2";"2";"2";"1";"1";
"23:00 - 00:00";"2";"1";"2";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";
