"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"1";"0";"1";"1";"1";"0";"1";"0";"0";"1";"1";"1";"0";"1";
"01:00 - 02:00";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";
"02:00 - 03:00";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";
"03:00 - 04:00";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";
"04:00 - 05:00";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";
"05:00 - 06:00";"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"1";"1";
"06:00 - 07:00";"3";"2";"2";"2";"2";"2";"2";"3";"2";"2";"2";"2";"1";"1";
"07:00 - 08:00";"3";"3";"4";"3";"3";"2";"2";"3";"3";"3";"3";"2";"2";"1";
"08:00 - 09:00";"6";"6";"7";"7";"5";"4";"3";"6";"6";"6";"6";"5";"3";"2";
"09:00 - 10:00";"10";"11";"10";"11";"9";"6";"4";"10";"11";"10";"10";"9";"6";"4";
"10:00 - 11:00";"13";"14";"12";"12";"11";"8";"4";"15";"13";"12";"10";"12";"8";"4";
"11:00 - 12:00";"16";"14";"15";"12";"14";"9";"5";"18";"13";"14";"10";"13";"8";"4";
"12:00 - 13:00";"15";"13";"14";"12";"13";"7";"5";"14";"12";"13";"11";"12";"7";"5";
"13:00 - 14:00";"14";"12";"14";"12";"12";"7";"5";"13";"11";"12";"11";"11";"7";"5";
"14:00 - 15:00";"14";"11";"14";"13";"13";"8";"4";"13";"11";"12";"12";"12";"7";"4";
"15:00 - 16:00";"13";"11";"12";"13";"13";"7";"4";"11";"11";"11";"11";"11";"6";"4";
"16:00 - 17:00";"12";"11";"13";"14";"12";"6";"4";"11";"11";"11";"12";"10";"6";"4";
"17:00 - 18:00";"12";"11";"13";"13";"11";"6";"4";"10";"10";"12";"11";"10";"5";"4";
"18:00 - 19:00";"10";"9";"10";"11";"8";"5";"4";"8";"8";"9";"9";"8";"4";"3";
"19:00 - 20:00";"7";"7";"7";"9";"7";"4";"4";"7";"6";"6";"7";"6";"3";"3";
"20:00 - 21:00";"6";"6";"6";"7";"5";"4";"3";"5";"6";"5";"6";"5";"3";"3";
"21:00 - 22:00";"5";"4";"5";"5";"3";"3";"3";"4";"4";"4";"4";"3";"3";"2";
"22:00 - 23:00";"3";"3";"4";"3";"2";"2";"2";"2";"2";"3";"3";"2";"2";"2";
"23:00 - 00:00";"3";"2";"2";"2";"3";"2";"2";"2";"2";"2";"2";"2";"2";"2";
