"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"0";"0";"0";"-1";"-1";"-1";"0";"1";"0";"-1";"-1";"-1";"-2";"-1";
"01:00 - 02:00";"0";"1";"-1";"-1";"-1";"-1";"0";"0";"0";"-1";"0";"-1";"-2";"-1";
"02:00 - 03:00";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"-1";"-1";
"03:00 - 04:00";"0";"-1";"-1";"-1";"-1";"0";"0";"0";"0";"-1";"0";"-1";"-1";"0";
"04:00 - 05:00";"-1";"-2";"-1";"-1";"-1";"0";"1";"-1";"-1";"-2";"-1";"-1";"-2";"-1";
"05:00 - 06:00";"2";"0";"1";"0";"0";"1";"2";"-1";"-3";"-1";"-2";"-3";"-2";"0";
"06:00 - 07:00";"5";"6";"1";"2";"3";"2";"3";"1";"1";"2";"2";"3";"0";"2";
"07:00 - 08:00";"3";"3";"1";"3";"1";"2";"2";"-1";"0";"0";"0";"-1";"3";"2";
"08:00 - 09:00";"4";"3";"2";"1";"2";"2";"3";"0";"0";"0";"-2";"-1";"0";"2";
"09:00 - 10:00";"6";"6";"5";"1";"5";"4";"5";"3";"4";"1";"0";"4";"2";"0";
"10:00 - 11:00";"2";"2";"2";"0";"0";"2";"4";"-1";"1";"2";"1";"2";"1";"-1";
"11:00 - 12:00";"2";"1";"2";"-2";"0";"3";"0";"-1";"0";"-1";"1";"2";"1";"-3";
"12:00 - 13:00";"0";"2";"1";"0";"-1";"4";"4";"-2";"1";"0";"0";"2";"2";"2";
"13:00 - 14:00";"-1";"1";"0";"-1";"2";"2";"1";"-3";"-2";"-2";"-1";"1";"1";"-1";
"14:00 - 15:00";"1";"2";"1";"1";"0";"5";"3";"-3";"-3";"-1";"0";"2";"3";"1";
"15:00 - 16:00";"-1";"4";"2";"1";"2";"5";"2";"0";"-9";"-5";"-3";"4";"1";"2";
"16:00 - 17:00";"6";"4";"3";"3";"5";"4";"2";"-1";"-6";"-5";"-3";"4";"2";"1";
"17:00 - 18:00";"7";"5";"3";"-1";"3";"4";"2";"1";"3";"-3";"1";"4";"3";"3";
"18:00 - 19:00";"-1";"-5";"-10";"-1";"-7";"3";"0";"-3";"-1";"-8";"-3";"0";"2";"1";
"19:00 - 20:00";"3";"2";"-5";"-6";"-2";"2";"0";"1";"-2";"-3";"-2";"1";"0";"-1";
"20:00 - 21:00";"4";"4";"-3";"1";"0";"3";"0";"1";"0";"0";"-1";"4";"1";"0";
"21:00 - 22:00";"4";"5";"0";"1";"0";"1";"1";"2";"0";"2";"2";"1";"0";"0";
"22:00 - 23:00";"3";"3";"3";"0";"0";"0";"1";"2";"2";"0";"2";"1";"1";"1";
"23:00 - 00:00";"3";"3";"1";"0";"1";"0";"1";"2";"2";"0";"1";"0";"0";"1";
