"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"2";"3";"3";"3";"2";"3";"3";"3";"3";"3";"3";"3";"1";"2";
"01:00 - 02:00";"2";"3";"2";"2";"2";"2";"3";"2";"3";"2";"3";"2";"1";"2";
"02:00 - 03:00";"2";"3";"3";"2";"2";"2";"3";"3";"3";"3";"3";"2";"1";"2";
"03:00 - 04:00";"2";"2";"2";"2";"2";"2";"2";"2";"3";"2";"3";"2";"1";"2";
"04:00 - 05:00";"2";"2";"3";"3";"3";"3";"3";"2";"3";"2";"3";"3";"1";"1";
"05:00 - 06:00";"8";"7";"8";"7";"8";"6";"5";"5";"5";"7";"5";"5";"3";"3";
"06:00 - 07:00";"16";"19";"12";"15";"15";"10";"8";"12";"15";"15";"15";"15";"8";"7";
"07:00 - 08:00";"21";"23";"20";"23";"21";"15";"10";"17";"22";"22";"21";"19";"16";"9";
"08:00 - 09:00";"42";"45";"43";"43";"45";"28";"18";"37";"46";"47";"42";"43";"26";"15";
"09:00 - 10:00";"68";"74";"71";"70";"74";"48";"32";"63";"80";"78";"71";"77";"47";"25";
"10:00 - 11:00";"76";"78";"75";"76";"76";"56";"39";"71";"86";"87";"79";"83";"57";"32";
"11:00 - 12:00";"78";"74";"71";"73";"74";"57";"35";"75";"81";"80";"78";"81";"56";"30";
"12:00 - 13:00";"75";"73";"71";"70";"72";"54";"36";"72";"79";"79";"75";"79";"53";"32";
"13:00 - 14:00";"71";"72";"70";"63";"69";"48";"31";"71";"74";"74";"70";"73";"47";"27";
"14:00 - 15:00";"68";"69";"67";"61";"62";"46";"31";"66";"69";"71";"66";"69";"45";"28";
"15:00 - 16:00";"64";"67";"64";"57";"58";"42";"28";"66";"59";"63";"59";"67";"39";"27";
"16:00 - 17:00";"64";"61";"58";"51";"54";"36";"26";"61";"56";"57";"54";"61";"35";"24";
"17:00 - 18:00";"57";"55";"52";"43";"45";"31";"24";"56";"56";"52";"52";"54";"30";"24";
"18:00 - 19:00";"41";"37";"33";"37";"29";"24";"21";"44";"44";"39";"41";"42";"24";"21";
"19:00 - 20:00";"36";"35";"31";"24";"26";"19";"17";"37";"33";"36";"33";"34";"18";"16";
"20:00 - 21:00";"28";"28";"24";"22";"20";"16";"13";"27";"26";"29";"25";"28";"15";"13";
"21:00 - 22:00";"20";"21";"18";"16";"13";"11";"10";"19";"17";"21";"19";"17";"10";"9";
"22:00 - 23:00";"13";"13";"13";"9";"9";"7";"7";"13";"13";"11";"13";"12";"8";"6";
"23:00 - 00:00";"9";"10";"7";"6";"7";"4";"5";"8";"9";"6";"7";"7";"5";"4";
