"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"2";"3";"3";"4";"3";"4";"3";"2";"3";"4";"4";"4";"3";"3";
"01:00 - 02:00";"2";"2";"3";"3";"3";"3";"3";"2";"3";"3";"3";"3";"3";"3";
"02:00 - 03:00";"2";"2";"2";"2";"2";"2";"2";"2";"3";"3";"2";"2";"2";"3";
"03:00 - 04:00";"2";"3";"3";"3";"3";"2";"2";"2";"3";"3";"3";"3";"2";"2";
"04:00 - 05:00";"3";"4";"4";"4";"4";"3";"2";"3";"4";"4";"4";"4";"3";"2";
"05:00 - 06:00";"6";"7";"7";"7";"8";"5";"3";"6";"8";"8";"7";"8";"5";"3";
"06:00 - 07:00";"11";"13";"11";"13";"12";"8";"5";"11";"14";"13";"13";"12";"8";"5";
"07:00 - 08:00";"18";"20";"19";"20";"20";"13";"8";"18";"22";"22";"21";"20";"13";"7";
"08:00 - 09:00";"38";"42";"41";"42";"43";"26";"15";"37";"46";"47";"44";"44";"26";"13";
"09:00 - 10:00";"62";"68";"66";"69";"69";"44";"27";"60";"76";"77";"71";"73";"45";"25";
"10:00 - 11:00";"74";"76";"73";"76";"76";"54";"35";"72";"85";"85";"78";"81";"56";"33";
"11:00 - 12:00";"76";"73";"69";"75";"74";"54";"35";"76";"81";"81";"77";"79";"55";"33";
"12:00 - 13:00";"75";"71";"70";"70";"73";"50";"32";"74";"78";"79";"75";"77";"51";"30";
"13:00 - 14:00";"72";"71";"70";"64";"67";"46";"30";"74";"76";"76";"71";"72";"46";"28";
"14:00 - 15:00";"67";"67";"66";"60";"62";"41";"28";"69";"72";"72";"66";"67";"42";"27";
"15:00 - 16:00";"65";"63";"62";"56";"56";"37";"26";"66";"68";"68";"62";"63";"38";"25";
"16:00 - 17:00";"58";"57";"55";"48";"49";"32";"24";"62";"62";"62";"57";"57";"33";"23";
"17:00 - 18:00";"50";"50";"49";"44";"42";"27";"22";"55";"53";"55";"51";"50";"27";"21";
"18:00 - 19:00";"42";"42";"43";"38";"36";"21";"21";"47";"45";"47";"44";"42";"22";"20";
"19:00 - 20:00";"33";"33";"36";"30";"28";"17";"17";"36";"35";"39";"35";"33";"18";"17";
"20:00 - 21:00";"24";"24";"27";"21";"20";"13";"13";"26";"26";"29";"26";"24";"14";"13";
"21:00 - 22:00";"16";"16";"18";"15";"13";"10";"9";"17";"17";"19";"17";"16";"10";"9";
"22:00 - 23:00";"10";"10";"10";"9";"9";"7";"6";"11";"11";"11";"11";"11";"7";"5";
"23:00 - 00:00";"6";"7";"6";"6";"6";"4";"4";"6";"7";"6";"6";"7";"5";"3";
