"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"0";"1";"0";"-1";"0";"-1";"0";"1";"1";"-1";"-1";"-1";"-2";"-1";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"-1";"-1";
"02:00 - 03:00";"1";"1";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"-1";"-1";
"03:00 - 04:00";"0";"0";"0";"0";"-1";"0";"1";"0";"0";"-1";"0";"-1";"-1";"0";
"04:00 - 05:00";"-1";"-1";"-1";"-2";"-2";"-1";"0";"-1";"-1";"-2";"-1";"-1";"-2";"-1";
"05:00 - 06:00";"1";"0";"1";"0";"0";"1";"2";"-1";"-1";"0";"-1";"-1";"-1";"0";
"06:00 - 07:00";"5";"5";"1";"2";"2";"2";"1";"1";"1";"1";"2";"2";"0";"2";
"07:00 - 08:00";"3";"3";"1";"1";"1";"1";"1";"0";"0";"0";"0";"-1";"2";"2";
"08:00 - 09:00";"3";"3";"3";"1";"2";"1";"2";"0";"0";"0";"-2";"0";"1";"1";
"09:00 - 10:00";"4";"4";"4";"1";"4";"3";"3";"1";"3";"1";"1";"3";"2";"0";
"10:00 - 11:00";"2";"2";"3";"0";"0";"1";"3";"-1";"1";"1";"0";"2";"1";"-1";
"11:00 - 12:00";"1";"1";"1";"-2";"0";"2";"0";"0";"0";"-1";"1";"2";"0";"-2";
"12:00 - 13:00";"0";"0";"2";"1";"-1";"3";"2";"-1";"1";"0";"1";"1";"1";"1";
"13:00 - 14:00";"-1";"1";"0";"0";"1";"2";"2";"-2";"-1";"-1";"0";"1";"1";"-1";
"14:00 - 15:00";"1";"1";"1";"1";"0";"3";"2";"-2";"-2";"-1";"0";"2";"1";"1";
"15:00 - 16:00";"0";"3";"1";"2";"2";"3";"1";"1";"-6";"-3";"-2";"2";"0";"1";
"16:00 - 17:00";"5";"3";"3";"3";"4";"3";"1";"0";"-3";"-3";"-2";"4";"1";"1";
"17:00 - 18:00";"7";"5";"3";"1";"3";"2";"1";"1";"2";"-1";"2";"3";"2";"2";
"18:00 - 19:00";"0";"-3";"-7";"0";"-5";"2";"1";"-1";"0";"-5";"-1";"0";"1";"1";
"19:00 - 20:00";"3";"2";"-2";"-4";"-2";"1";"0";"1";"-2";"-1";"-1";"1";"0";"0";
"20:00 - 21:00";"4";"3";"0";"1";"0";"2";"0";"1";"0";"0";"0";"4";"1";"0";
"21:00 - 22:00";"3";"3";"1";"1";"0";"1";"0";"2";"0";"2";"1";"1";"0";"-1";
"22:00 - 23:00";"2";"2";"1";"0";"1";"0";"1";"2";"1";"1";"2";"1";"1";"0";
"23:00 - 00:00";"2";"2";"0";"0";"1";"0";"1";"1";"1";"-1";"0";"0";"0";"1";
