"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"1";"3";"2";"2";"2";"2";"2";"2";"3";"2";"2";"2";"1";"1";
"01:00 - 02:00";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";
"02:00 - 03:00";"2";"3";"2";"2";"2";"2";"3";"3";"3";"3";"2";"2";"1";"1";
"03:00 - 04:00";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";
"04:00 - 05:00";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"3";"3";"1";"1";
"05:00 - 06:00";"6";"6";"6";"6";"7";"5";"4";"4";"5";"6";"5";"5";"3";"2";
"06:00 - 07:00";"13";"15";"10";"12";"12";"8";"5";"9";"12";"12";"12";"12";"6";"5";
"07:00 - 08:00";"17";"19";"16";"18";"17";"11";"7";"14";"18";"18";"17";"15";"12";"7";
"08:00 - 09:00";"33";"36";"35";"36";"36";"21";"13";"30";"37";"38";"33";"35";"21";"11";
"09:00 - 10:00";"54";"58";"56";"58";"60";"37";"23";"50";"64";"62";"58";"61";"37";"18";
"10:00 - 11:00";"61";"62";"60";"63";"62";"44";"29";"58";"69";"68";"63";"67";"46";"24";
"11:00 - 12:00";"62";"59";"55";"60";"60";"44";"27";"61";"64";"63";"62";"65";"44";"23";
"12:00 - 13:00";"61";"57";"57";"58";"58";"41";"27";"59";"62";"63";"61";"63";"41";"24";
"13:00 - 14:00";"57";"57";"57";"52";"55";"37";"24";"57";"59";"60";"57";"59";"38";"20";
"14:00 - 15:00";"55";"54";"54";"49";"51";"35";"22";"53";"55";"57";"52";"56";"35";"21";
"15:00 - 16:00";"52";"53";"51";"46";"46";"32";"21";"53";"48";"51";"47";"53";"31";"20";
"16:00 - 17:00";"53";"49";"47";"41";"43";"28";"19";"48";"45";"46";"43";"49";"27";"18";
"17:00 - 18:00";"48";"45";"42";"35";"36";"23";"18";"44";"44";"42";"42";"43";"23";"18";
"18:00 - 19:00";"34";"30";"27";"30";"23";"18";"16";"35";"35";"32";"33";"33";"18";"16";
"19:00 - 20:00";"30";"28";"26";"19";"20";"14";"13";"29";"26";"29";"26";"27";"14";"12";
"20:00 - 21:00";"23";"22";"20";"17";"15";"12";"10";"21";"20";"22";"19";"22";"11";"10";
"21:00 - 22:00";"16";"16";"14";"12";"10";"8";"7";"15";"13";"16";"14";"13";"7";"6";
"22:00 - 23:00";"10";"10";"9";"7";"7";"5";"5";"10";"9";"9";"10";"9";"6";"4";
"23:00 - 00:00";"7";"7";"5";"4";"5";"3";"3";"6";"6";"4";"5";"5";"3";"3";
