"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"1";"2";"2";"3";"2";"3";"2";"1";"2";"3";"3";"3";"3";"2";
"01:00 - 02:00";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";
"02:00 - 03:00";"1";"2";"2";"2";"2";"2";"2";"1";"2";"3";"2";"2";"2";"2";
"03:00 - 04:00";"2";"2";"2";"2";"3";"2";"1";"2";"2";"3";"2";"3";"2";"1";
"04:00 - 05:00";"3";"3";"3";"4";"4";"3";"2";"3";"3";"4";"4";"4";"3";"2";
"05:00 - 06:00";"5";"6";"5";"6";"7";"4";"2";"5";"6";"6";"6";"6";"4";"2";
"06:00 - 07:00";"8";"10";"9";"10";"10";"6";"4";"8";"11";"11";"10";"10";"6";"3";
"07:00 - 08:00";"14";"16";"15";"17";"16";"10";"6";"14";"18";"18";"17";"16";"10";"5";
"08:00 - 09:00";"30";"33";"32";"35";"34";"20";"11";"30";"37";"38";"35";"35";"20";"10";
"09:00 - 10:00";"50";"54";"52";"57";"56";"34";"20";"49";"61";"61";"57";"58";"35";"18";
"10:00 - 11:00";"59";"60";"57";"63";"62";"43";"26";"59";"68";"67";"63";"65";"45";"25";
"11:00 - 12:00";"61";"58";"54";"62";"60";"42";"27";"61";"64";"64";"61";"63";"44";"25";
"12:00 - 13:00";"61";"57";"55";"57";"59";"38";"25";"60";"61";"63";"60";"62";"40";"23";
"13:00 - 14:00";"58";"56";"57";"52";"54";"35";"22";"59";"60";"61";"57";"58";"37";"21";
"14:00 - 15:00";"54";"53";"53";"48";"51";"32";"20";"55";"57";"58";"52";"54";"34";"20";
"15:00 - 16:00";"52";"50";"50";"44";"44";"29";"20";"52";"54";"54";"49";"51";"31";"19";
"16:00 - 17:00";"48";"46";"44";"38";"39";"25";"18";"48";"48";"49";"45";"45";"26";"17";
"17:00 - 18:00";"41";"40";"39";"34";"33";"21";"17";"43";"42";"43";"40";"40";"21";"16";
"18:00 - 19:00";"34";"33";"34";"30";"28";"16";"15";"36";"35";"37";"34";"33";"17";"15";
"19:00 - 20:00";"27";"26";"28";"23";"22";"13";"13";"28";"28";"30";"27";"26";"14";"12";
"20:00 - 21:00";"19";"19";"20";"16";"15";"10";"10";"20";"20";"22";"19";"18";"10";"10";
"21:00 - 22:00";"13";"13";"13";"11";"10";"7";"7";"13";"13";"14";"13";"12";"7";"7";
"22:00 - 23:00";"8";"8";"8";"7";"6";"5";"4";"8";"8";"8";"8";"8";"5";"4";
"23:00 - 00:00";"5";"5";"5";"4";"4";"3";"2";"5";"5";"5";"5";"5";"3";"2";
