"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"0";"0";"-1";"-1";"-2";"-1";"0";"0";"0";"-1";"-1";"-1";"-2";"-3";
"01:00 - 02:00";"0";"0";"-1";"-1";"-1";"-1";"0";"0";"0";"-1";"-1";"-1";"-2";"-2";
"02:00 - 03:00";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"-1";"-2";
"03:00 - 04:00";"-1";"-1";"-2";"-1";"-2";"-1";"0";"0";"-1";"-2";"-1";"-2";"-2";"-2";
"04:00 - 05:00";"-2";"-3";"-2";"-2";"-2";"-1";"1";"-2";"-2";"-3";"-2";"-2";"-2";"-3";
"05:00 - 06:00";"1";"-1";"0";"-1";"-1";"0";"2";"-4";"-3";"-2";"-3";"-4";"-3";"-1";
"06:00 - 07:00";"7";"7";"-1";"2";"3";"1";"5";"0";"1";"1";"1";"1";"-2";"1";
"07:00 - 08:00";"2";"4";"-1";"3";"3";"1";"2";"-1";"-1";"-2";"-2";"-1";"4";"3";
"08:00 - 09:00";"3";"4";"2";"0";"1";"1";"5";"-2";"-2";"-1";"-4";"-2";"0";"1";
"09:00 - 10:00";"5";"7";"3";"-3";"3";"3";"5";"-2";"0";"-2";"-3";"2";"1";"-2";
"10:00 - 11:00";"-2";"-1";"-2";"-5";"-4";"-2";"3";"-6";"-2";"-2";"-3";"0";"-1";"-3";
"11:00 - 12:00";"-3";"-2";"-3";"-8";"-5";"0";"-1";"-5";"-4";"-6";"-3";"1";"-2";"-5";
"12:00 - 13:00";"-6";"-1";"-2";"-4";"-6";"2";"2";"-5";"-1";"-3";"-4";"0";"0";"1";
"13:00 - 14:00";"-6";"0";"-4";"-5";"-3";"1";"0";"-7";"-5";"-5";"-3";"1";"-2";"-2";
"14:00 - 15:00";"-3";"-2";"-2";"-5";"-3";"4";"3";"-9";"-7";"-5";"-2";"2";"2";"0";
"15:00 - 16:00";"-6";"7";"-2";"-2";"-1";"4";"1";"-2";"-14";"-10";"-7";"7";"-2";"2";
"16:00 - 17:00";"5";"5";"0";"-1";"0";"3";"1";"-5";"-12";"-11";"-7";"3";"0";"1";
"17:00 - 18:00";"5";"3";"0";"-7";"-2";"3";"1";"-3";"0";"-9";"-3";"4";"2";"2";
"18:00 - 19:00";"-5";"-10";"-15";"-5";"-14";"2";"0";"-7";"-4";"-13";"-7";"-4";"2";"1";
"19:00 - 20:00";"1";"-2";"-8";"-11";"-7";"1";"-2";"0";"-5";"-5";"-4";"-2";"-1";"-1";
"20:00 - 21:00";"1";"3";"-6";"-2";"-3";"2";"-1";"1";"0";"-2";"-2";"5";"2";"0";
"21:00 - 22:00";"2";"3";"-2";"-1";"-2";"-2";"-1";"2";"-2";"1";"0";"-2";"-3";"-2";
"22:00 - 23:00";"1";"1";"1";"-3";"-1";"-1";"1";"2";"0";"-1";"0";"0";"0";"0";
"23:00 - 00:00";"2";"3";"0";"-1";"0";"-2";"0";"1";"1";"-2";"-1";"-1";"-2";"0";
