"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"3";"4";"4";"4";"4";"4";"4";"3";"4";"4";"4";"4";"2";"2";
"01:00 - 02:00";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"2";"2";
"02:00 - 03:00";"3";"4";"4";"4";"4";"4";"4";"3";"4";"4";"4";"4";"2";"2";
"03:00 - 04:00";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"2";"2";
"04:00 - 05:00";"3";"3";"4";"4";"4";"4";"4";"3";"4";"3";"4";"4";"2";"1";
"05:00 - 06:00";"11";"9";"10";"9";"10";"8";"7";"6";"7";"9";"7";"6";"4";"4";
"06:00 - 07:00";"24";"24";"16";"19";"20";"14";"12";"16";"19";"19";"18";"18";"10";"8";
"07:00 - 08:00";"28";"31";"27";"30";"29";"20";"13";"23";"28";"28";"26";"25";"22";"12";
"08:00 - 09:00";"55";"59";"58";"56";"57";"37";"24";"47";"57";"60";"53";"54";"35";"18";
"09:00 - 10:00";"90";"99";"93";"89";"95";"64";"38";"80";"99";"98";"90";"97";"61";"29";
"10:00 - 11:00";"101";"105";"101";"99";"99";"75";"45";"94";"111";"111";"101";"108";"76";"37";
"11:00 - 12:00";"106";"102";"98";"95";"100";"79";"42";"103";"106";"106";"100";"109";"76";"36";
"12:00 - 13:00";"103";"100";"99";"94";"97";"75";"42";"99";"104";"105";"98";"106";"72";"39";
"13:00 - 14:00";"98";"98";"97";"88";"93";"67";"37";"97";"97";"99";"94";"101";"65";"33";
"14:00 - 15:00";"95";"93";"93";"84";"88";"65";"37";"90";"91";"94";"90";"96";"62";"34";
"15:00 - 16:00";"89";"96";"88";"82";"83";"59";"34";"91";"80";"85";"80";"96";"53";"34";
"16:00 - 17:00";"89";"87";"82";"75";"76";"50";"31";"82";"74";"77";"75";"84";"47";"30";
"17:00 - 18:00";"78";"76";"74";"62";"64";"42";"29";"75";"75";"71";"71";"75";"39";"29";
"18:00 - 19:00";"56";"51";"48";"54";"41";"32";"26";"58";"59";"54";"55";"56";"31";"26";
"19:00 - 20:00";"48";"46";"42";"35";"35";"25";"21";"50";"44";"47";"44";"44";"22";"20";
"20:00 - 21:00";"35";"37";"31";"31";"26";"22";"17";"36";"35";"36";"32";"37";"20";"17";
"21:00 - 22:00";"25";"26";"23";"22";"17";"13";"13";"25";"21";"26";"24";"20";"12";"11";
"22:00 - 23:00";"16";"16";"16";"12";"12";"9";"10";"17";"15";"14";"15";"15";"10";"8";
"23:00 - 00:00";"12";"13";"10";"8";"10";"6";"7";"10";"11";"8";"8";"9";"6";"6";
