"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"3";"4";"5";"5";"6";"5";"4";"3";"4";"5";"5";"5";"4";"5";
"01:00 - 02:00";"3";"3";"4";"4";"4";"4";"3";"3";"3";"4";"4";"4";"4";"4";
"02:00 - 03:00";"3";"3";"4";"4";"4";"4";"3";"2";"3";"4";"4";"4";"3";"4";
"03:00 - 04:00";"4";"4";"5";"4";"5";"4";"3";"3";"4";"5";"4";"5";"4";"4";
"04:00 - 05:00";"5";"6";"6";"6";"6";"5";"3";"5";"6";"6";"6";"6";"4";"4";
"05:00 - 06:00";"10";"10";"10";"10";"11";"8";"5";"10";"10";"11";"10";"10";"7";"5";
"06:00 - 07:00";"17";"17";"17";"17";"17";"13";"7";"16";"18";"18";"17";"17";"12";"7";
"07:00 - 08:00";"26";"27";"28";"27";"26";"19";"11";"24";"29";"30";"28";"26";"18";"9";
"08:00 - 09:00";"52";"55";"56";"56";"56";"36";"19";"49";"59";"61";"57";"56";"35";"17";
"09:00 - 10:00";"85";"92";"90";"92";"92";"61";"33";"82";"99";"100";"93";"95";"60";"31";
"10:00 - 11:00";"103";"106";"103";"104";"103";"77";"42";"100";"113";"113";"104";"108";"77";"40";
"11:00 - 12:00";"109";"104";"101";"103";"105";"79";"43";"108";"110";"112";"103";"108";"78";"41";
"12:00 - 13:00";"109";"101";"101";"98";"103";"73";"40";"104";"105";"108";"102";"106";"72";"38";
"13:00 - 14:00";"104";"98";"101";"93";"96";"66";"37";"104";"102";"104";"97";"100";"67";"35";
"14:00 - 15:00";"98";"95";"95";"89";"91";"61";"34";"99";"98";"99";"92";"94";"60";"34";
"15:00 - 16:00";"95";"89";"90";"84";"84";"55";"33";"93";"94";"95";"87";"89";"55";"32";
"16:00 - 17:00";"84";"82";"82";"76";"76";"47";"30";"87";"86";"88";"82";"81";"47";"29";
"17:00 - 18:00";"73";"73";"74";"69";"66";"39";"28";"78";"75";"80";"74";"71";"37";"27";
"18:00 - 19:00";"61";"61";"63";"59";"55";"30";"26";"65";"63";"67";"62";"60";"29";"25";
"19:00 - 20:00";"47";"48";"50";"46";"42";"24";"23";"50";"49";"52";"48";"46";"23";"21";
"20:00 - 21:00";"34";"34";"37";"33";"29";"20";"18";"35";"35";"38";"34";"32";"18";"17";
"21:00 - 22:00";"23";"23";"25";"23";"19";"15";"14";"23";"23";"25";"24";"22";"15";"13";
"22:00 - 23:00";"15";"15";"15";"15";"13";"10";"9";"15";"15";"15";"15";"15";"10";"8";
"23:00 - 00:00";"10";"10";"10";"9";"10";"8";"7";"9";"10";"10";"9";"10";"8";"6";
