"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"0";"0";"0";"0";"0";"0";"-1";"0";"-1";"-1";"0";"0";"-1";"0";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"-1";"0";"-1";"0";"0";"0";"0";"-1";"-1";"-1";"0";
"03:00 - 04:00";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"0";
"04:00 - 05:00";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"0";"-1";"-1";"-1";"-1";"-1";"-1";
"05:00 - 06:00";"0";"0";"0";"0";"0";"0";"1";"0";"-1";"-1";"-1";"-1";"-2";"0";
"06:00 - 07:00";"6";"5";"0";"1";"3";"2";"2";"1";"0";"0";"0";"0";"-1";"1";
"07:00 - 08:00";"3";"3";"0";"1";"2";"3";"1";"0";"-1";"-2";"-1";"-1";"1";"1";
"08:00 - 09:00";"4";"3";"4";"1";"3";"5";"5";"0";"-1";"1";"-1";"-2";"-1";"1";
"09:00 - 10:00";"12";"16";"6";"5";"14";"9";"4";"9";"10";"3";"7";"21";"6";"1";
"10:00 - 11:00";"4";"3";"-5";"-1";"0";"5";"1";"-1";"0";"-3";"5";"15";"2";"-1";
"11:00 - 12:00";"1";"0";"-3";"-2";"1";"4";"1";"-3";"-3";"-6";"5";"11";"2";"-1";
"12:00 - 13:00";"-1";"-1";"-2";"-1";"0";"7";"4";"-1";"-3";"-5";"7";"12";"4";"2";
"13:00 - 14:00";"-3";"-1";"-7";"-6";"0";"5";"2";"-5";"-10";"-10";"0";"1";"2";"-1";
"14:00 - 15:00";"-5";"-1";"-2";"-3";"0";"10";"5";"-7";"-8";"-8";"5";"19";"5";"4";
"15:00 - 16:00";"-4";"7";"2";"-3";"3";"10";"4";"-2";"-10";"-11";"-4";"9";"2";"6";
"16:00 - 17:00";"9";"11";"2";"-1";"5";"9";"4";"-4";"-9";"-10";"-6";"14";"3";"3";
"17:00 - 18:00";"8";"9";"4";"0";"4";"12";"4";"2";"-6";"-6";"3";"20";"7";"7";
"18:00 - 19:00";"-6";"-6";"-13";"1";"-5";"1";"0";"-6";"-4";"-8";"-6";"-4";"2";"0";
"19:00 - 20:00";"-1";"-1";"-3";"-5";"-5";"-1";"-1";"-3";"-4";"-3";"-2";"-1";"0";"-3";
"20:00 - 21:00";"-1";"3";"-2";"-2";"-2";"1";"-1";"-1";"-3";"-2";"-2";"0";"1";"-2";
"21:00 - 22:00";"2";"6";"1";"1";"-1";"0";"-1";"1";"-1";"2";"0";"-1";"-1";"-1";
"22:00 - 23:00";"1";"3";"1";"0";"0";"0";"0";"1";"1";"-1";"1";"0";"0";"0";
"23:00 - 00:00";"1";"1";"0";"0";"0";"-1";"0";"0";"0";"-1";"0";"0";"-1";"0";
