"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"03:00 - 04:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"04:00 - 05:00";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";
"05:00 - 06:00";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"0";"1";"0";"1";
"06:00 - 07:00";"8";"7";"3";"3";"5";"4";"4";"3";"3";"4";"3";"3";"1";"3";
"07:00 - 08:00";"10";"11";"8";"9";"10";"8";"5";"8";"9";"9";"9";"8";"7";"5";
"08:00 - 09:00";"19";"19";"20";"17";"19";"15";"11";"17";"20";"23";"19";"18";"12";"8";
"09:00 - 10:00";"44";"48";"40";"36";"49";"25";"14";"46";"50";"47";"46";"63";"25";"12";
"10:00 - 11:00";"45";"46";"41";"43";"45";"23";"14";"47";"54";"54";"58";"69";"24";"14";
"11:00 - 12:00";"50";"51";"50";"51";"50";"22";"13";"53";"60";"59";"67";"70";"24";"13";
"12:00 - 13:00";"52";"50";"54";"54";"52";"25";"16";"56";"61";"62";"69";"74";"27";"16";
"13:00 - 14:00";"50";"49";"48";"50";"50";"21";"14";"51";"54";"54";"61";"59";"22";"13";
"14:00 - 15:00";"48";"48";"52";"52";"51";"25";"17";"49";"53";"54";"64";"77";"23";"17";
"15:00 - 16:00";"46";"55";"54";"51";"52";"23";"15";"52";"49";"48";"53";"65";"18";"19";
"16:00 - 17:00";"58";"58";"52";"49";"51";"21";"15";"47";"46";"43";"46";"66";"18";"16";
"17:00 - 18:00";"52";"51";"49";"43";"43";"22";"14";"47";"42";"39";"48";"62";"19";"18";
"18:00 - 19:00";"27";"25";"21";"31";"22";"10";"8";"27";"31";"27";"28";"27";"12";"9";
"19:00 - 20:00";"16";"15";"13";"11";"9";"6";"6";"14";"16";"14";"15";"15";"8";"5";
"20:00 - 21:00";"11";"15";"9";"9";"7";"6";"4";"11";"12";"10";"10";"11";"7";"4";
"21:00 - 22:00";"9";"13";"6";"6";"4";"2";"2";"7";"7";"8";"6";"5";"2";"2";
"22:00 - 23:00";"3";"5";"2";"2";"2";"1";"1";"3";"3";"1";"3";"2";"1";"1";
"23:00 - 00:00";"2";"2";"1";"1";"1";"0";"1";"1";"1";"0";"1";"1";"0";"1";
