"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";
"03:00 - 04:00";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";
"04:00 - 05:00";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"05:00 - 06:00";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"1";"2";"2";"1";
"06:00 - 07:00";"2";"2";"3";"2";"2";"2";"2";"2";"3";"4";"3";"3";"2";"2";
"07:00 - 08:00";"7";"8";"8";"8";"8";"5";"4";"8";"10";"11";"10";"9";"6";"4";
"08:00 - 09:00";"15";"16";"16";"16";"16";"10";"6";"17";"21";"22";"20";"20";"13";"7";
"09:00 - 10:00";"32";"32";"34";"31";"35";"16";"10";"37";"40";"44";"39";"42";"19";"11";
"10:00 - 11:00";"41";"43";"46";"44";"45";"18";"13";"48";"54";"57";"53";"54";"22";"15";
"11:00 - 12:00";"49";"51";"53";"53";"49";"18";"12";"56";"63";"65";"62";"59";"22";"14";
"12:00 - 13:00";"53";"51";"56";"55";"52";"18";"12";"57";"64";"67";"62";"62";"23";"14";
"13:00 - 14:00";"53";"50";"55";"56";"50";"16";"12";"56";"64";"64";"61";"58";"20";"14";
"14:00 - 15:00";"53";"49";"54";"55";"51";"15";"12";"56";"61";"62";"59";"58";"18";"13";
"15:00 - 16:00";"50";"48";"52";"54";"49";"13";"11";"54";"59";"59";"57";"56";"16";"13";
"16:00 - 17:00";"49";"47";"50";"50";"46";"12";"11";"51";"55";"53";"52";"52";"15";"13";
"17:00 - 18:00";"44";"42";"45";"43";"39";"10";"10";"45";"48";"45";"45";"42";"12";"11";
"18:00 - 19:00";"33";"31";"34";"30";"27";"9";"8";"33";"35";"35";"34";"31";"10";"9";
"19:00 - 20:00";"17";"16";"16";"16";"14";"7";"7";"17";"20";"17";"17";"16";"8";"8";
"20:00 - 21:00";"12";"12";"11";"11";"9";"5";"5";"12";"15";"12";"12";"11";"6";"6";
"21:00 - 22:00";"7";"7";"5";"5";"5";"2";"3";"6";"8";"6";"6";"6";"3";"3";
"22:00 - 23:00";"2";"2";"1";"2";"2";"1";"1";"2";"2";"2";"2";"2";"1";"1";
"23:00 - 00:00";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";
