"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"03:00 - 04:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"04:00 - 05:00";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";
"05:00 - 06:00";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"0";"1";"0";"1";
"06:00 - 07:00";"8";"7";"3";"3";"5";"4";"4";"3";"3";"4";"3";"3";"1";"3";
"07:00 - 08:00";"7";"8";"6";"6";"7";"5";"4";"6";"7";"7";"6";"6";"5";"4";
"08:00 - 09:00";"12";"12";"12";"11";"12";"9";"6";"11";"14";"14";"13";"11";"7";"5";
"09:00 - 10:00";"19";"19";"15";"15";"19";"15";"8";"20";"23";"21";"22";"27";"15";"8";
"10:00 - 11:00";"17";"15";"12";"15";"16";"14";"9";"17";"21";"21";"23";"26";"15";"9";
"11:00 - 12:00";"17";"15";"15";"15";"16";"13";"9";"17";"21";"21";"23";"24";"14";"8";
"12:00 - 13:00";"17";"15";"16";"15";"16";"15";"10";"18";"21";"22";"22";"24";"17";"11";
"13:00 - 14:00";"18";"14";"15";"16";"16";"13";"9";"18";"19";"19";"21";"19";"14";"8";
"14:00 - 15:00";"16";"14";"15";"16";"16";"16";"11";"15";"17";"18";"21";"24";"15";"11";
"15:00 - 16:00";"15";"16";"16";"15";"15";"14";"10";"15";"16";"16";"17";"19";"12";"12";
"16:00 - 17:00";"17";"16";"15";"15";"15";"14";"10";"14";"16";"15";"15";"19";"12";"10";
"17:00 - 18:00";"15";"14";"15";"13";"14";"15";"9";"14";"14";"14";"16";"18";"12";"11";
"18:00 - 19:00";"10";"8";"6";"11";"8";"7";"5";"10";"12";"11";"11";"10";"7";"6";
"19:00 - 20:00";"10";"9";"8";"7";"6";"4";"4";"9";"10";"9";"9";"10";"5";"3";
"20:00 - 21:00";"7";"10";"6";"6";"4";"4";"3";"7";"8";"7";"7";"8";"4";"2";
"21:00 - 22:00";"7";"10";"4";"5";"3";"2";"2";"5";"6";"6";"5";"4";"2";"2";
"22:00 - 23:00";"3";"5";"2";"2";"2";"1";"1";"3";"3";"1";"3";"2";"1";"1";
"23:00 - 00:00";"2";"2";"1";"1";"1";"0";"1";"1";"1";"0";"1";"1";"0";"1";
