"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";
"03:00 - 04:00";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";
"04:00 - 05:00";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"05:00 - 06:00";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"1";"2";"2";"1";
"06:00 - 07:00";"2";"2";"3";"2";"2";"2";"2";"2";"3";"4";"3";"3";"2";"2";
"07:00 - 08:00";"5";"6";"5";"5";"5";"3";"2";"6";"7";"8";"7";"6";"3";"2";
"08:00 - 09:00";"10";"9";"9";"9";"9";"5";"4";"11";"13";"13";"13";"12";"7";"4";
"09:00 - 10:00";"13";"12";"12";"12";"13";"9";"6";"15";"17";"18";"17";"17";"11";"7";
"10:00 - 11:00";"15";"14";"13";"14";"14";"10";"8";"17";"20";"21";"20";"20";"13";"9";
"11:00 - 12:00";"16";"14";"15";"14";"15";"10";"8";"18";"21";"23";"20";"19";"13";"9";
"12:00 - 13:00";"17";"15";"16";"15";"15";"11";"7";"18";"21";"23";"20";"20";"14";"9";
"13:00 - 14:00";"18";"14";"16";"17";"15";"10";"7";"19";"21";"21";"20";"18";"12";"8";
"14:00 - 15:00";"17";"13";"15";"16";"15";"9";"7";"16";"19";"20";"18";"17";"11";"8";
"15:00 - 16:00";"16";"13";"14";"15";"14";"8";"7";"15";"19";"19";"18";"16";"10";"7";
"16:00 - 17:00";"14";"13";"14";"14";"13";"7";"7";"14";"17";"17";"16";"14";"9";"7";
"17:00 - 18:00";"13";"11";"13";"12";"12";"7";"6";"13";"16";"16";"14";"12";"8";"6";
"18:00 - 19:00";"12";"10";"12";"10";"10";"5";"5";"12";"14";"14";"13";"11";"6";"6";
"19:00 - 20:00";"11";"9";"10";"10";"9";"4";"4";"10";"12";"11";"11";"10";"4";"5";
"20:00 - 21:00";"8";"7";"7";"7";"6";"3";"3";"7";"10";"8";"7";"8";"3";"3";
"21:00 - 22:00";"5";"5";"4";"4";"4";"1";"2";"4";"6";"4";"4";"5";"2";"2";
"22:00 - 23:00";"2";"2";"1";"2";"2";"1";"1";"2";"2";"2";"2";"2";"1";"1";
"23:00 - 00:00";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";
