"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"03:00 - 04:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"04:00 - 05:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"05:00 - 06:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"06:00 - 07:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"07:00 - 08:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"08:00 - 09:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"09:00 - 10:00";"14";"13";"13";"9";"15";"0";"0";"14";"11";"12";"10";"18";"0";"0";
"10:00 - 11:00";"17";"18";"17";"17";"17";"0";"0";"18";"18";"19";"20";"25";"0";"0";
"11:00 - 12:00";"21";"24";"24";"24";"22";"0";"0";"23";"24";"23";"29";"29";"0";"0";
"12:00 - 13:00";"23";"23";"26";"26";"24";"0";"0";"26";"25";"25";"30";"33";"0";"0";
"13:00 - 14:00";"21";"22";"23";"23";"22";"0";"0";"22";"23";"23";"27";"25";"0";"0";
"14:00 - 15:00";"21";"23";"25";"25";"25";"0";"0";"23";"23";"23";"29";"37";"0";"0";
"15:00 - 16:00";"20";"25";"27";"26";"26";"0";"0";"25";"20";"21";"24";"32";"0";"0";
"16:00 - 17:00";"28";"29";"26";"25";"26";"0";"0";"23";"19";"19";"21";"33";"0";"0";
"17:00 - 18:00";"25";"26";"24";"22";"20";"0";"0";"23";"18";"16";"21";"30";"0";"0";
"18:00 - 19:00";"11";"10";"11";"13";"8";"0";"0";"10";"10";"9";"10";"10";"0";"0";
"19:00 - 20:00";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";
"20:00 - 21:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"21:00 - 22:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"22:00 - 23:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"23:00 - 00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
