"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"03:00 - 04:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"04:00 - 05:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"05:00 - 06:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"06:00 - 07:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"07:00 - 08:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"08:00 - 09:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"09:00 - 10:00";"11";"9";"12";"9";"12";"0";"0";"12";"10";"12";"9";"13";"0";"0";
"10:00 - 11:00";"16";"17";"20";"17";"18";"0";"0";"19";"19";"20";"18";"19";"0";"0";
"11:00 - 12:00";"21";"24";"26";"26";"22";"0";"0";"25";"27";"26";"27";"25";"0";"0";
"12:00 - 13:00";"24";"23";"27";"27";"24";"0";"0";"26";"27";"28";"28";"28";"0";"0";
"13:00 - 14:00";"22";"23";"26";"26";"23";"0";"0";"25";"27";"27";"27";"25";"0";"0";
"14:00 - 15:00";"23";"23";"27";"27";"25";"0";"0";"27";"27";"27";"28";"28";"0";"0";
"15:00 - 16:00";"23";"23";"26";"27";"25";"0";"0";"26";"26";"26";"27";"28";"0";"0";
"16:00 - 17:00";"23";"23";"25";"26";"23";"0";"0";"26";"24";"23";"24";"25";"0";"0";
"17:00 - 18:00";"21";"21";"22";"22";"18";"0";"0";"22";"21";"19";"20";"20";"0";"0";
"18:00 - 19:00";"13";"13";"14";"13";"11";"0";"0";"13";"12";"12";"12";"12";"0";"0";
"19:00 - 20:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"20:00 - 21:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"21:00 - 22:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"22:00 - 23:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"23:00 - 00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
