"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"03:00 - 04:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"04:00 - 05:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"05:00 - 06:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"06:00 - 07:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"07:00 - 08:00";"3";"3";"2";"2";"3";"3";"2";"2";"2";"2";"2";"2";"2";"1";
"08:00 - 09:00";"7";"7";"8";"6";"7";"6";"5";"6";"7";"8";"6";"7";"5";"3";
"09:00 - 10:00";"12";"16";"12";"11";"14";"10";"6";"12";"16";"15";"14";"18";"10";"4";
"10:00 - 11:00";"11";"13";"11";"12";"12";"9";"5";"12";"15";"15";"16";"18";"10";"5";
"11:00 - 12:00";"12";"12";"11";"12";"12";"9";"4";"12";"14";"14";"16";"17";"10";"4";
"12:00 - 13:00";"12";"13";"11";"12";"12";"10";"6";"13";"15";"15";"16";"17";"10";"6";
"13:00 - 14:00";"11";"13";"11";"11";"12";"8";"5";"11";"13";"13";"13";"14";"8";"5";
"14:00 - 15:00";"11";"12";"11";"11";"11";"10";"6";"11";"13";"13";"14";"16";"9";"6";
"15:00 - 16:00";"11";"13";"12";"11";"11";"9";"5";"12";"12";"11";"11";"14";"6";"7";
"16:00 - 17:00";"13";"13";"11";"9";"10";"7";"5";"10";"11";"10";"11";"14";"6";"6";
"17:00 - 18:00";"11";"11";"11";"8";"9";"7";"5";"10";"10";"9";"11";"14";"6";"7";
"18:00 - 19:00";"6";"6";"5";"7";"5";"4";"3";"7";"8";"7";"7";"7";"5";"3";
"19:00 - 20:00";"6";"6";"5";"4";"3";"2";"2";"5";"6";"4";"5";"5";"3";"2";
"20:00 - 21:00";"3";"5";"3";"3";"2";"2";"2";"4";"4";"3";"3";"3";"2";"1";
"21:00 - 22:00";"2";"3";"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";
"22:00 - 23:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"23:00 - 00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
