"";"05.02 пн";"06.02 вт";"07.02 ср";"08.02 чт";"09.02 пт";"10.02 сб";"11.02 вс";"12.02 пн";"13.02 вт";"14.02 ср";"15.02 чт";"16.02 пт";"17.02 сб";"18.02 вс";
"00:00 - 01:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"03:00 - 04:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"04:00 - 05:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"05:00 - 06:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"06:00 - 07:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"07:00 - 08:00";"2";"2";"3";"3";"3";"2";"1";"2";"3";"3";"3";"3";"2";"1";
"08:00 - 09:00";"6";"7";"7";"6";"7";"5";"3";"6";"8";"9";"7";"8";"6";"3";
"09:00 - 10:00";"9";"11";"11";"10";"11";"7";"4";"10";"12";"14";"12";"13";"8";"4";
"10:00 - 11:00";"10";"12";"12";"12";"12";"7";"5";"12";"15";"16";"15";"15";"9";"5";
"11:00 - 12:00";"12";"13";"12";"12";"12";"8";"4";"13";"16";"16";"15";"15";"9";"5";
"12:00 - 13:00";"13";"13";"13";"13";"13";"8";"4";"13";"16";"16";"15";"15";"9";"5";
"13:00 - 14:00";"12";"13";"12";"12";"12";"7";"5";"13";"16";"15";"14";"14";"8";"6";
"14:00 - 15:00";"12";"13";"12";"12";"11";"6";"4";"13";"15";"15";"13";"13";"7";"5";
"15:00 - 16:00";"12";"12";"11";"12";"10";"5";"4";"12";"14";"14";"13";"12";"6";"5";
"16:00 - 17:00";"11";"11";"11";"10";"10";"4";"4";"11";"13";"12";"12";"12";"6";"5";
"17:00 - 18:00";"10";"10";"10";"8";"9";"4";"4";"10";"12";"11";"10";"10";"5";"5";
"18:00 - 19:00";"9";"8";"8";"7";"7";"3";"3";"9";"10";"9";"9";"8";"4";"4";
"19:00 - 20:00";"7";"7";"6";"6";"5";"3";"3";"7";"8";"6";"7";"6";"3";"3";
"20:00 - 21:00";"4";"5";"4";"4";"3";"2";"2";"4";"5";"4";"4";"4";"3";"3";
"21:00 - 22:00";"2";"2";"2";"1";"1";"1";"1";"2";"2";"2";"2";"1";"1";"1";
"22:00 - 23:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"23:00 - 00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
