"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"0";"-1";"-1";"0";"-1";"-1";"-1";
"01:00 - 02:00";"0";"-1";"-1";"-1";"-1";"-1";"-1";
"02:00 - 03:00";"0";"-1";"-1";"-1";"-1";"-1";"-1";
"03:00 - 04:00";"0";"-1";"-1";"-1";"-1";"0";"-1";
"04:00 - 05:00";"0";"-1";"-1";"-1";"-1";"-1";"-1";
"05:00 - 06:00";"-1";"-1";"-1";"0";"-1";"-1";"-1";
"06:00 - 07:00";"-1";"-1";"-1";"-1";"-1";"0";"-1";
"07:00 - 08:00";"0";"-1";"-1";"-1";"-1";"-1";"-1";
"08:00 - 09:00";"-1";"-2";"-2";"-2";"-2";"0";"0";
"09:00 - 10:00";"-1";"-2";"-3";"-3";"-3";"-2";"-1";
"10:00 - 11:00";"-1";"-2";"-4";"-4";"-2";"-2";"-2";
"11:00 - 12:00";"-2";"-2";"-3";"-3";"-3";"-3";"-1";
"12:00 - 13:00";"-3";"-2";"-4";"-5";"-4";"-2";"-1";
"13:00 - 14:00";"-3";"0";"-5";"-5";"-3";"-2";"-1";
"14:00 - 15:00";"-2";"-2";"-5";"-5";"-2";"-1";"0";
"15:00 - 16:00";"-2";"-2";"-3";"-5";"-2";"-2";"0";
"16:00 - 17:00";"-2";"-3";"-4";"-2";"-4";"-1";"0";
"17:00 - 18:00";"-2";"-3";"-3";"-5";"-3";"0";"-2";
"18:00 - 19:00";"-2";"-2";"-4";"-4";"-3";"0";"0";
"19:00 - 20:00";"-2";"-2";"-4";"-3";"-2";"0";"-1";
"20:00 - 21:00";"-2";"-2";"-3";"-2";"-3";"-1";"-1";
"21:00 - 22:00";"-1";"-2";"-1";"-2";"-1";"-1";"0";
"22:00 - 23:00";"-1";"-1";"-1";"-1";"-1";"-1";"0";
"23:00 - 00:00";"-1";"-1";"0";"0";"-1";"-1";"-1";
