"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"0";"0";"0";"1";"0";"0";"0";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"0";"0";"0";"0";
"03:00 - 04:00";"0";"0";"0";"0";"0";"0";"0";
"04:00 - 05:00";"0";"0";"0";"0";"0";"0";"0";
"05:00 - 06:00";"0";"0";"0";"1";"0";"0";"0";
"06:00 - 07:00";"0";"1";"1";"1";"1";"1";"0";
"07:00 - 08:00";"1";"2";"2";"2";"2";"1";"1";
"08:00 - 09:00";"1";"4";"3";"3";"4";"4";"2";
"09:00 - 10:00";"2";"7";"7";"6";"7";"5";"2";
"10:00 - 11:00";"3";"10";"8";"7";"9";"8";"2";
"11:00 - 12:00";"3";"10";"9";"8";"9";"8";"3";
"12:00 - 13:00";"2";"10";"8";"6";"8";"8";"3";
"13:00 - 14:00";"2";"12";"6";"6";"9";"7";"3";
"14:00 - 15:00";"3";"10";"7";"6";"9";"8";"3";
"15:00 - 16:00";"2";"9";"9";"6";"9";"6";"3";
"16:00 - 17:00";"2";"8";"6";"8";"7";"6";"3";
"17:00 - 18:00";"2";"7";"6";"4";"7";"5";"1";
"18:00 - 19:00";"1";"6";"4";"3";"4";"4";"2";
"19:00 - 20:00";"1";"4";"2";"2";"3";"3";"1";
"20:00 - 21:00";"0";"2";"1";"2";"1";"2";"1";
"21:00 - 22:00";"0";"1";"1";"1";"1";"1";"1";
"22:00 - 23:00";"0";"1";"1";"1";"1";"1";"1";
"23:00 - 00:00";"0";"0";"1";"1";"1";"1";"0";
