"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"0";"1";"1";"1";"1";"1";"1";
"01:00 - 02:00";"0";"1";"1";"1";"1";"1";"1";
"02:00 - 03:00";"0";"1";"1";"1";"1";"1";"1";
"03:00 - 04:00";"0";"1";"1";"1";"1";"0";"1";
"04:00 - 05:00";"0";"1";"1";"1";"1";"1";"1";
"05:00 - 06:00";"1";"1";"1";"1";"1";"1";"1";
"06:00 - 07:00";"1";"2";"2";"2";"2";"1";"1";
"07:00 - 08:00";"1";"3";"3";"3";"3";"2";"2";
"08:00 - 09:00";"2";"6";"5";"5";"6";"4";"2";
"09:00 - 10:00";"3";"9";"10";"9";"10";"7";"3";
"10:00 - 11:00";"4";"12";"12";"11";"11";"10";"4";
"11:00 - 12:00";"5";"12";"12";"11";"12";"11";"4";
"12:00 - 13:00";"5";"12";"12";"11";"12";"10";"4";
"13:00 - 14:00";"5";"12";"11";"11";"12";"9";"4";
"14:00 - 15:00";"5";"12";"12";"11";"11";"9";"3";
"15:00 - 16:00";"4";"11";"12";"11";"11";"8";"3";
"16:00 - 17:00";"4";"11";"10";"10";"11";"7";"3";
"17:00 - 18:00";"4";"10";"9";"9";"10";"5";"3";
"18:00 - 19:00";"3";"8";"8";"7";"7";"4";"2";
"19:00 - 20:00";"3";"6";"6";"5";"5";"3";"2";
"20:00 - 21:00";"2";"4";"4";"4";"4";"3";"2";
"21:00 - 22:00";"1";"3";"2";"3";"2";"2";"1";
"22:00 - 23:00";"1";"2";"2";"2";"2";"2";"1";
"23:00 - 00:00";"1";"1";"1";"1";"2";"2";"1";
