"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"1";"-4";"-4";"-4";"-3";"-2";"-1";
"01:00 - 02:00";"1";"-3";"-4";"-3";"-2";"-1";"-1";
"02:00 - 03:00";"1";"-2";"-3";"-3";"-2";"-1";"0";
"03:00 - 04:00";"0";"-4";"-4";"-3";"-3";"-1";"-2";
"04:00 - 05:00";"-2";"-11";"-8";"-8";"-7";"-4";"-2";
"05:00 - 06:00";"1";"-11";"-10";"-6";"-7";"-3";"-1";
"06:00 - 07:00";"4";"-8";"-4";"-2";"-3";"2";"2";
"07:00 - 08:00";"1";"-21";"-21";"-13";"-12";"-3";"0";
"08:00 - 09:00";"-1";"-28";"-23";"-24";"-19";"-5";"3";
"09:00 - 10:00";"-2";"-22";"-25";"-31";"-9";"-9";"-4";
"10:00 - 11:00";"1";"-46";"-58";"-57";"-27";"-17";"-8";
"11:00 - 12:00";"-11";"-47";"-57";"-52";"-29";"-12";"-3";
"12:00 - 13:00";"-9";"-52";"-58";"-46";"-29";"-12";"-3";
"13:00 - 14:00";"-14";"-47";"-42";"-26";"-18";"-8";"-1";
"14:00 - 15:00";"-16";"-50";"-47";"-35";"-19";"-3";"-3";
"15:00 - 16:00";"-18";"-31";"-46";"-36";"-12";"0";"2";
"16:00 - 17:00";"-26";"-20";"-33";"-25";"-15";"9";"-2";
"17:00 - 18:00";"-18";"-19";"-30";"-25";"-3";"9";"-1";
"18:00 - 19:00";"-20";"-42";"-52";"-33";"-31";"11";"4";
"19:00 - 20:00";"-25";"-39";"-34";"-26";"-24";"4";"1";
"20:00 - 21:00";"-21";"-29";"-23";"-20";"-24";"0";"-2";
"21:00 - 22:00";"-10";"-16";"-19";"-14";"-15";"-3";"-1";
"22:00 - 23:00";"-6";"-14";"-16";"-6";"-7";"-4";"-1";
"23:00 - 00:00";"-4";"-10";"-11";"-5";"-6";"-2";"-2";
