"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"3";"3";"4";"3";"4";"4";"4";
"01:00 - 02:00";"3";"3";"2";"2";"3";"3";"3";
"02:00 - 03:00";"3";"3";"3";"2";"3";"3";"3";
"03:00 - 04:00";"3";"4";"3";"3";"3";"3";"3";
"04:00 - 05:00";"3";"3";"3";"2";"3";"4";"3";
"05:00 - 06:00";"10";"11";"10";"12";"10";"8";"6";
"06:00 - 07:00";"20";"30";"25";"28";"25";"21";"13";
"07:00 - 08:00";"28";"42";"31";"38";"35";"28";"19";
"08:00 - 09:00";"55";"96";"83";"74";"75";"54";"38";
"09:00 - 10:00";"85";"187";"156";"134";"154";"85";"51";
"10:00 - 11:00";"103";"194";"154";"139";"162";"101";"60";
"11:00 - 12:00";"98";"196";"161";"148";"166";"106";"64";
"12:00 - 13:00";"102";"182";"157";"148";"164";"98";"59";
"13:00 - 14:00";"92";"183";"155";"157";"166";"94";"57";
"14:00 - 15:00";"83";"171";"143";"144";"159";"89";"53";
"15:00 - 16:00";"79";"179";"139";"136";"159";"83";"56";
"16:00 - 17:00";"66";"172";"136";"133";"139";"82";"49";
"17:00 - 18:00";"65";"153";"119";"115";"130";"71";"46";
"18:00 - 19:00";"50";"99";"70";"83";"75";"60";"46";
"19:00 - 20:00";"30";"63";"50";"55";"51";"42";"37";
"20:00 - 21:00";"20";"47";"40";"38";"30";"30";"27";
"21:00 - 22:00";"17";"32";"24";"25";"19";"19";"18";
"22:00 - 23:00";"10";"15";"11";"19";"13";"11";"10";
"23:00 - 00:00";"7";"9";"6";"13";"8";"9";"6";
