"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"2";"7";"8";"7";"7";"6";"5";
"01:00 - 02:00";"2";"6";"6";"5";"5";"4";"4";
"02:00 - 03:00";"2";"5";"6";"5";"5";"4";"3";
"03:00 - 04:00";"3";"8";"7";"6";"6";"4";"5";
"04:00 - 05:00";"5";"14";"11";"10";"10";"8";"5";
"05:00 - 06:00";"9";"22";"20";"18";"17";"11";"7";
"06:00 - 07:00";"16";"38";"29";"30";"28";"19";"11";
"07:00 - 08:00";"27";"63";"52";"51";"47";"31";"19";
"08:00 - 09:00";"56";"124";"106";"98";"94";"59";"35";
"09:00 - 10:00";"87";"209";"181";"165";"163";"94";"55";
"10:00 - 11:00";"102";"240";"212";"196";"189";"118";"68";
"11:00 - 12:00";"109";"243";"218";"200";"195";"118";"67";
"12:00 - 13:00";"111";"234";"215";"194";"193";"110";"62";
"13:00 - 14:00";"106";"230";"197";"183";"184";"102";"58";
"14:00 - 15:00";"99";"221";"190";"179";"178";"92";"56";
"15:00 - 16:00";"97";"210";"185";"172";"171";"83";"54";
"16:00 - 17:00";"92";"192";"169";"158";"154";"73";"51";
"17:00 - 18:00";"83";"172";"149";"140";"133";"62";"47";
"18:00 - 19:00";"70";"141";"122";"116";"106";"49";"42";
"19:00 - 20:00";"55";"102";"84";"81";"75";"38";"36";
"20:00 - 21:00";"41";"76";"63";"58";"54";"30";"29";
"21:00 - 22:00";"27";"48";"43";"39";"34";"22";"19";
"22:00 - 23:00";"16";"29";"27";"25";"20";"15";"11";
"23:00 - 00:00";"11";"19";"17";"18";"14";"11";"8";
