"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"1";"-1";"-1";"0";"-1";"0";"0";
"01:00 - 02:00";"1";"-1";"-1";"-1";"0";"-1";"0";
"02:00 - 03:00";"1";"0";"-1";"0";"0";"-1";"1";
"03:00 - 04:00";"1";"0";"0";"0";"0";"0";"0";
"04:00 - 05:00";"0";"-1";"-1";"-1";"-1";"0";"-1";
"05:00 - 06:00";"0";"-1";"-1";"-1";"-1";"0";"0";
"06:00 - 07:00";"1";"-2";"0";"-1";"0";"1";"0";
"07:00 - 08:00";"1";"-4";"-4";"-2";"-1";"0";"-1";
"08:00 - 09:00";"-1";"-7";"-5";"-3";"-3";"0";"0";
"09:00 - 10:00";"-1";"-12";"-7";"-7";"-2";"0";"-1";
"10:00 - 11:00";"0";"-17";"-11";"-10";"-5";"-1";"-3";
"11:00 - 12:00";"-1";"-17";"-11";"-10";"-7";"-1";"-1";
"12:00 - 13:00";"-1";"-16";"-12";"-9";"-8";"-1";"-2";
"13:00 - 14:00";"-2";"-13";"-9";"-4";"-7";"0";"-1";
"14:00 - 15:00";"-2";"-15";"-11";"-6";"-5";"0";"-1";
"15:00 - 16:00";"-3";"-11";"-11";"-5";"-5";"0";"0";
"16:00 - 17:00";"-4";"-7";"-7";"-3";"-1";"1";"-1";
"17:00 - 18:00";"-2";"-6";"-9";"-3";"-1";"0";"-1";
"18:00 - 19:00";"-1";"-10";"-10";"-5";"-4";"0";"0";
"19:00 - 20:00";"-3";"-11";"-8";"-5";"-5";"-1";"-1";
"20:00 - 21:00";"-2";"-9";"-5";"-4";"-6";"-1";"0";
"21:00 - 22:00";"-1";"-4";"-4";"-2";"-2";"-1";"0";
"22:00 - 23:00";"-1";"-3";"-2";"0";"-1";"0";"0";
"23:00 - 00:00";"0";"-1";"-1";"0";"-1";"1";"0";
