"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"1";"0";"0";"1";"0";"1";"1";
"01:00 - 02:00";"1";"0";"0";"0";"1";"0";"1";
"02:00 - 03:00";"1";"1";"0";"0";"0";"0";"1";
"03:00 - 04:00";"1";"0";"0";"0";"0";"1";"0";
"04:00 - 05:00";"0";"0";"0";"0";"0";"0";"0";
"05:00 - 06:00";"1";"1";"1";"1";"1";"1";"1";
"06:00 - 07:00";"3";"3";"4";"3";"3";"3";"1";
"07:00 - 08:00";"5";"4";"3";"4";"4";"4";"2";
"08:00 - 09:00";"8";"10";"10";"9";"8";"7";"5";
"09:00 - 10:00";"13";"16";"16";"13";"15";"11";"7";
"10:00 - 11:00";"16";"13";"15";"13";"14";"12";"8";
"11:00 - 12:00";"16";"14";"15";"13";"13";"13";"9";
"12:00 - 13:00";"16";"13";"13";"12";"12";"12";"8";
"13:00 - 14:00";"14";"14";"13";"16";"12";"11";"8";
"14:00 - 15:00";"14";"11";"11";"14";"12";"10";"8";
"15:00 - 16:00";"12";"14";"10";"14";"12";"9";"8";
"16:00 - 17:00";"11";"16";"12";"14";"14";"9";"7";
"17:00 - 18:00";"12";"14";"8";"12";"12";"8";"6";
"18:00 - 19:00";"11";"8";"5";"8";"7";"6";"6";
"19:00 - 20:00";"7";"4";"5";"7";"5";"4";"5";
"20:00 - 21:00";"5";"3";"5";"6";"2";"3";"4";
"21:00 - 22:00";"4";"4";"3";"4";"3";"2";"3";
"22:00 - 23:00";"2";"2";"2";"4";"2";"2";"2";
"23:00 - 00:00";"2";"2";"1";"3";"1";"2";"1";
