"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"0";"1";"1";"1";"1";"1";"1";
"01:00 - 02:00";"0";"1";"1";"1";"1";"1";"1";
"02:00 - 03:00";"0";"1";"1";"0";"0";"1";"0";
"03:00 - 04:00";"0";"0";"0";"0";"0";"1";"0";
"04:00 - 05:00";"0";"1";"1";"1";"1";"0";"1";
"05:00 - 06:00";"1";"2";"2";"2";"2";"1";"1";
"06:00 - 07:00";"2";"5";"4";"4";"3";"2";"1";
"07:00 - 08:00";"4";"8";"7";"6";"5";"4";"3";
"08:00 - 09:00";"9";"17";"15";"12";"11";"7";"5";
"09:00 - 10:00";"14";"28";"23";"20";"17";"11";"8";
"10:00 - 11:00";"16";"30";"26";"23";"19";"13";"11";
"11:00 - 12:00";"17";"31";"26";"23";"20";"14";"10";
"12:00 - 13:00";"17";"29";"25";"21";"20";"13";"10";
"13:00 - 14:00";"16";"27";"22";"20";"19";"11";"9";
"14:00 - 15:00";"16";"26";"22";"20";"17";"10";"9";
"15:00 - 16:00";"15";"25";"21";"19";"17";"9";"8";
"16:00 - 17:00";"15";"23";"19";"17";"15";"8";"8";
"17:00 - 18:00";"14";"20";"17";"15";"13";"8";"7";
"18:00 - 19:00";"12";"18";"15";"13";"11";"6";"6";
"19:00 - 20:00";"10";"15";"13";"12";"10";"5";"6";
"20:00 - 21:00";"7";"12";"10";"10";"8";"4";"4";
"21:00 - 22:00";"5";"8";"7";"6";"5";"3";"3";
"22:00 - 23:00";"3";"5";"4";"4";"3";"2";"2";
"23:00 - 00:00";"2";"3";"2";"3";"2";"1";"1";
