"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"0";"0";"-1";"-1";"0";"0";"-1";
"01:00 - 02:00";"0";"0";"-1";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"-1";"0";"0";"0";
"03:00 - 04:00";"0";"0";"-1";"0";"0";"0";"0";
"04:00 - 05:00";"-1";"0";"-1";"-1";"-1";"-1";"0";
"05:00 - 06:00";"0";"-1";"-2";"-1";"-1";"0";"0";
"06:00 - 07:00";"-1";"-1";"0";"0";"-1";"1";"0";
"07:00 - 08:00";"0";"0";"-1";"-1";"-1";"-1";"-2";
"08:00 - 09:00";"1";"-1";"-2";"-2";"-2";"-1";"-2";
"09:00 - 10:00";"0";"-2";"-3";"-2";"-1";"-1";"-2";
"10:00 - 11:00";"0";"0";"-3";"-2";"-1";"-2";"-2";
"11:00 - 12:00";"-1";"-2";"-3";"-2";"-2";"-2";"-2";
"12:00 - 13:00";"-1";"0";"-5";"-1";"-3";"-2";"-2";
"13:00 - 14:00";"0";"-1";"-2";"-1";"-2";"-2";"-1";
"14:00 - 15:00";"0";"-2";"-3";"-3";"-4";"-2";"-2";
"15:00 - 16:00";"0";"1";"-3";"-3";"0";"-1";"-1";
"16:00 - 17:00";"-1";"-4";"-5";"-1";"-3";"-1";"-1";
"17:00 - 18:00";"-2";"-3";"-3";"-3";"-3";"1";"-1";
"18:00 - 19:00";"-1";"-3";"-4";"-4";"-3";"0";"0";
"19:00 - 20:00";"-1";"-3";"-3";"-3";"-2";"-1";"1";
"20:00 - 21:00";"-1";"-1";"-3";"-3";"-3";"-1";"0";
"21:00 - 22:00";"-1";"-2";"-3";"-2";"-2";"-1";"-1";
"22:00 - 23:00";"-1";"-3";"-4";"-4";"-1";"-2";"0";
"23:00 - 00:00";"-1";"-3";"-2";"-4";"0";"-2";"-1";
