"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"0";"0";"1";"0";"1";"0";"0";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"1";"0";"0";"0";"0";
"03:00 - 04:00";"0";"0";"0";"0";"0";"0";"0";
"04:00 - 05:00";"0";"1";"1";"0";"0";"0";"0";
"05:00 - 06:00";"1";"1";"2";"1";"1";"1";"0";
"06:00 - 07:00";"1";"4";"3";"4";"2";"3";"2";
"07:00 - 08:00";"2";"6";"4";"4";"2";"3";"2";
"08:00 - 09:00";"4";"9";"7";"6";"4";"5";"3";
"09:00 - 10:00";"4";"18";"11";"11";"9";"7";"4";
"10:00 - 11:00";"5";"23";"13";"14";"10";"9";"5";
"11:00 - 12:00";"6";"19";"16";"13";"10";"9";"5";
"12:00 - 13:00";"6";"22";"14";"12";"10";"8";"5";
"13:00 - 14:00";"6";"20";"13";"8";"10";"8";"5";
"14:00 - 15:00";"6";"20";"14";"7";"10";"7";"3";
"15:00 - 16:00";"6";"21";"14";"8";"13";"7";"4";
"16:00 - 17:00";"5";"14";"10";"10";"7";"7";"4";
"17:00 - 18:00";"4";"14";"13";"10";"7";"8";"5";
"18:00 - 19:00";"4";"12";"9";"9";"4";"7";"6";
"19:00 - 20:00";"3";"9";"4";"6";"3";"5";"7";
"20:00 - 21:00";"3";"9";"4";"4";"3";"4";"5";
"21:00 - 22:00";"2";"6";"4";"4";"2";"4";"3";
"22:00 - 23:00";"1";"3";"2";"2";"1";"2";"2";
"23:00 - 00:00";"1";"2";"2";"2";"2";"2";"1";
