"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"0";"0";"2";"1";"1";"0";"1";
"01:00 - 02:00";"0";"0";"1";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"1";"1";"0";"0";"0";
"03:00 - 04:00";"0";"0";"1";"0";"0";"0";"0";
"04:00 - 05:00";"1";"1";"2";"1";"1";"1";"0";
"05:00 - 06:00";"1";"2";"4";"2";"2";"1";"0";
"06:00 - 07:00";"2";"5";"3";"4";"3";"2";"2";
"07:00 - 08:00";"2";"6";"5";"5";"3";"4";"4";
"08:00 - 09:00";"3";"10";"9";"8";"6";"6";"5";
"09:00 - 10:00";"4";"20";"14";"13";"10";"8";"6";
"10:00 - 11:00";"5";"23";"16";"16";"11";"11";"7";
"11:00 - 12:00";"7";"21";"19";"15";"12";"11";"7";
"12:00 - 13:00";"7";"22";"19";"13";"13";"10";"7";
"13:00 - 14:00";"6";"21";"15";"9";"12";"10";"6";
"14:00 - 15:00";"6";"22";"17";"10";"14";"9";"5";
"15:00 - 16:00";"6";"20";"17";"11";"13";"8";"5";
"16:00 - 17:00";"6";"18";"15";"11";"10";"8";"5";
"17:00 - 18:00";"6";"17";"16";"13";"10";"7";"6";
"18:00 - 19:00";"5";"15";"13";"13";"7";"7";"6";
"19:00 - 20:00";"4";"12";"7";"9";"5";"6";"6";
"20:00 - 21:00";"4";"10";"7";"7";"6";"5";"5";
"21:00 - 22:00";"3";"8";"7";"6";"4";"5";"4";
"22:00 - 23:00";"2";"6";"6";"6";"2";"4";"2";
"23:00 - 00:00";"2";"5";"4";"6";"2";"4";"2";
