"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"0";"0";"0";"0";"0";"0";"0";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"0";"0";"0";"0";
"03:00 - 04:00";"0";"0";"0";"0";"0";"0";"0";
"04:00 - 05:00";"0";"0";"0";"0";"0";"0";"0";
"05:00 - 06:00";"0";"0";"0";"0";"0";"0";"0";
"06:00 - 07:00";"0";"1";"0";"1";"1";"1";"0";
"07:00 - 08:00";"0";"1";"0";"1";"1";"1";"0";
"08:00 - 09:00";"2";"3";"2";"2";"1";"1";"1";
"09:00 - 10:00";"3";"4";"3";"3";"3";"2";"2";
"10:00 - 11:00";"4";"5";"3";"4";"3";"2";"2";
"11:00 - 12:00";"3";"4";"3";"3";"3";"3";"2";
"12:00 - 13:00";"3";"4";"3";"5";"3";"3";"2";
"13:00 - 14:00";"4";"4";"3";"5";"3";"4";"2";
"14:00 - 15:00";"4";"4";"4";"5";"3";"4";"2";
"15:00 - 16:00";"4";"3";"3";"4";"3";"3";"2";
"16:00 - 17:00";"4";"3";"2";"3";"2";"3";"2";
"17:00 - 18:00";"3";"2";"2";"3";"2";"3";"2";
"18:00 - 19:00";"2";"2";"2";"3";"2";"3";"2";
"19:00 - 20:00";"3";"1";"2";"2";"2";"2";"2";
"20:00 - 21:00";"2";"1";"1";"2";"1";"1";"2";
"21:00 - 22:00";"0";"1";"1";"1";"0";"1";"1";
"22:00 - 23:00";"0";"1";"1";"1";"0";"1";"0";
"23:00 - 00:00";"0";"0";"0";"0";"0";"0";"0";
