"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"1";"2";"1";"2";"2";"1";"1";
"01:00 - 02:00";"1";"1";"1";"1";"1";"1";"1";
"02:00 - 03:00";"1";"2";"1";"2";"2";"1";"1";
"03:00 - 04:00";"0";"1";"1";"1";"1";"0";"1";
"04:00 - 05:00";"1";"2";"1";"1";"2";"1";"1";
"05:00 - 06:00";"1";"2";"2";"2";"1";"1";"1";
"06:00 - 07:00";"1";"2";"1";"1";"2";"1";"1";
"07:00 - 08:00";"1";"2";"1";"2";"1";"1";"1";
"08:00 - 09:00";"1";"3";"2";"2";"2";"2";"1";
"09:00 - 10:00";"2";"5";"4";"4";"4";"2";"1";
"10:00 - 11:00";"3";"6";"5";"5";"4";"3";"2";
"11:00 - 12:00";"3";"7";"4";"5";"4";"3";"2";
"12:00 - 13:00";"3";"6";"5";"5";"5";"3";"2";
"13:00 - 14:00";"3";"6";"5";"5";"5";"3";"2";
"14:00 - 15:00";"3";"6";"4";"4";"4";"3";"1";
"15:00 - 16:00";"3";"6";"4";"5";"4";"2";"1";
"16:00 - 17:00";"3";"5";"4";"4";"4";"2";"1";
"17:00 - 18:00";"3";"5";"3";"4";"3";"2";"1";
"18:00 - 19:00";"2";"4";"4";"3";"2";"2";"1";
"19:00 - 20:00";"2";"4";"3";"2";"3";"2";"1";
"20:00 - 21:00";"1";"3";"2";"2";"2";"2";"1";
"21:00 - 22:00";"1";"2";"2";"2";"1";"1";"1";
"22:00 - 23:00";"1";"1";"2";"1";"1";"1";"1";
"23:00 - 00:00";"1";"1";"1";"1";"1";"1";"1";
