"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"1";"-2";"-1";"-2";"-2";"-1";"0";
"01:00 - 02:00";"1";"-1";"-2";"-1";"0";"0";"-1";
"02:00 - 03:00";"1";"-1";"0";"-1";"0";"0";"0";
"03:00 - 04:00";"1";"-2";"-2";"-2";"-1";"0";"0";
"04:00 - 05:00";"-1";"-7";"-4";"-5";"-4";"-1";"-1";
"05:00 - 06:00";"2";"-6";"-5";"-2";"-3";"-1";"0";
"06:00 - 07:00";"5";"-4";"-1";"-1";"0";"2";"1";
"07:00 - 08:00";"1";"-15";"-14";"-6";"-7";"1";"2";
"08:00 - 09:00";"-3";"-23";"-15";"-12";"-10";"0";"3";
"09:00 - 10:00";"-6";"-27";"-19";"-17";"-8";"0";"0";
"10:00 - 11:00";"-1";"-42";"-40";"-33";"-21";"-4";"1";
"11:00 - 12:00";"-11";"-48";"-40";"-30";"-20";"1";"3";
"12:00 - 13:00";"-8";"-43";"-35";"-23";"-18";"-1";"2";
"13:00 - 14:00";"-16";"-38";"-23";"-8";"-11";"-2";"4";
"14:00 - 15:00";"-17";"-35";"-27";"-12";"-7";"1";"2";
"15:00 - 16:00";"-22";"-24";"-33";"-14";"-11";"0";"5";
"16:00 - 17:00";"-25";"-11";"-20";"-7";"-2";"2";"3";
"17:00 - 18:00";"-17";"-13";"-19";"-5";"-3";"1";"2";
"18:00 - 19:00";"-14";"-29";"-30";"-14";"-14";"1";"4";
"19:00 - 20:00";"-19";"-26";"-20";"-13";"-13";"-1";"1";
"20:00 - 21:00";"-16";"-19";"-11";"-10";"-13";"1";"3";
"21:00 - 22:00";"-5";"-10";"-10";"-7";"-8";"0";"2";
"22:00 - 23:00";"-3";"-8";"-8";"0";"-4";"0";"1";
"23:00 - 00:00";"-1";"-5";"-5";"1";"-3";"0";"-1";
