"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"3";"3";"3";"2";"2";"3";"3";
"01:00 - 02:00";"3";"3";"2";"2";"3";"3";"2";
"02:00 - 03:00";"3";"3";"3";"2";"3";"3";"2";
"03:00 - 04:00";"3";"3";"2";"2";"3";"3";"2";
"04:00 - 05:00";"2";"2";"2";"1";"2";"3";"2";
"05:00 - 06:00";"9";"9";"7";"9";"8";"5";"4";
"06:00 - 07:00";"17";"21";"19";"18";"18";"13";"7";
"07:00 - 08:00";"21";"26";"19";"24";"22";"18";"12";
"08:00 - 09:00";"38";"63";"54";"50";"50";"33";"22";
"09:00 - 10:00";"58";"109";"91";"82";"88";"55";"33";
"10:00 - 11:00";"74";"105";"82";"76";"84";"64";"42";
"11:00 - 12:00";"67";"96";"80";"77";"83";"67";"44";
"12:00 - 13:00";"72";"92";"80";"80";"82";"59";"39";
"13:00 - 14:00";"60";"91";"83";"89";"84";"53";"38";
"14:00 - 15:00";"54";"88";"72";"79";"80";"51";"35";
"15:00 - 16:00";"47";"93";"62";"71";"71";"45";"36";
"16:00 - 17:00";"39";"96";"67";"71";"73";"42";"31";
"17:00 - 18:00";"40";"82";"57";"64";"63";"35";"28";
"18:00 - 19:00";"34";"52";"35";"45";"43";"28";"27";
"19:00 - 20:00";"19";"40";"33";"36";"33";"20";"21";
"20:00 - 21:00";"12";"29";"29";"25";"20";"16";"18";
"21:00 - 22:00";"13";"21";"17";"17";"15";"10";"12";
"22:00 - 23:00";"8";"11";"8";"14";"10";"7";"7";
"23:00 - 00:00";"5";"6";"4";"10";"5";"5";"3";
