"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"2";"5";"4";"4";"4";"4";"3";
"01:00 - 02:00";"2";"4";"4";"3";"3";"3";"3";
"02:00 - 03:00";"2";"4";"3";"3";"3";"3";"2";
"03:00 - 04:00";"2";"5";"4";"4";"4";"3";"2";
"04:00 - 05:00";"3";"9";"6";"6";"6";"4";"3";
"05:00 - 06:00";"7";"15";"12";"11";"11";"6";"4";
"06:00 - 07:00";"12";"25";"20";"19";"18";"11";"6";
"07:00 - 08:00";"20";"41";"33";"30";"29";"17";"10";
"08:00 - 09:00";"41";"86";"69";"62";"60";"33";"19";
"09:00 - 10:00";"64";"136";"110";"99";"96";"55";"33";
"10:00 - 11:00";"75";"147";"122";"109";"105";"68";"41";
"11:00 - 12:00";"78";"144";"120";"107";"103";"66";"41";
"12:00 - 13:00";"80";"135";"115";"103";"100";"60";"37";
"13:00 - 14:00";"76";"129";"106";"97";"95";"55";"34";
"14:00 - 15:00";"71";"123";"99";"91";"87";"50";"33";
"15:00 - 16:00";"69";"117";"95";"85";"82";"45";"31";
"16:00 - 17:00";"64";"107";"87";"78";"75";"40";"28";
"17:00 - 18:00";"57";"95";"76";"69";"66";"34";"26";
"18:00 - 19:00";"48";"81";"65";"59";"57";"27";"23";
"19:00 - 20:00";"38";"66";"53";"49";"46";"21";"20";
"20:00 - 21:00";"28";"48";"40";"35";"33";"15";"15";
"21:00 - 22:00";"18";"31";"27";"24";"23";"10";"10";
"22:00 - 23:00";"11";"19";"16";"14";"14";"7";"6";
"23:00 - 00:00";"6";"11";"9";"9";"8";"5";"4";
