"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"1";"-2";"-1";"-2";"-1";"-1";"0";
"01:00 - 02:00";"1";"-2";"-2";"-1";"-1";"-1";"0";
"02:00 - 03:00";"1";"0";"-1";"-1";"-1";"1";"0";
"03:00 - 04:00";"1";"-2";"-2";"-1";"-1";"0";"0";
"04:00 - 05:00";"-1";"-7";"-4";"-4";"-3";"-2";"0";
"05:00 - 06:00";"3";"-5";"-4";"-1";"-2";"-1";"0";
"06:00 - 07:00";"5";"-3";"-1";"0";"0";"1";"1";
"07:00 - 08:00";"0";"-11";"-10";"-5";"-5";"1";"2";
"08:00 - 09:00";"-3";"-15";"-10";"-9";"-8";"-1";"3";
"09:00 - 10:00";"-7";"-15";"-12";"-11";"-5";"-1";"2";
"10:00 - 11:00";"-1";"-25";"-28";"-23";"-15";"-3";"3";
"11:00 - 12:00";"-11";"-32";"-28";"-20";"-13";"1";"6";
"12:00 - 13:00";"-7";"-27";"-23";"-13";"-11";"0";"4";
"13:00 - 14:00";"-13";"-25";"-14";"-3";"-4";"-2";"5";
"14:00 - 15:00";"-15";"-20";"-15";"-6";"-2";"1";"4";
"15:00 - 16:00";"-17";"-13";"-22";"-9";"-7";"0";"5";
"16:00 - 17:00";"-22";"-4";"-13";"-3";"-2";"2";"3";
"17:00 - 18:00";"-15";"-6";"-10";"-2";"-1";"1";"3";
"18:00 - 19:00";"-12";"-18";"-20";"-9";"-8";"2";"4";
"19:00 - 20:00";"-16";"-16";"-13";"-7";"-8";"0";"2";
"20:00 - 21:00";"-13";"-9";"-5";"-6";"-8";"1";"4";
"21:00 - 22:00";"-4";"-7";"-6";"-5";"-6";"0";"2";
"22:00 - 23:00";"-2";"-6";"-6";"-1";"-3";"0";"1";
"23:00 - 00:00";"0";"-3";"-4";"1";"-2";"0";"-1";
