"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"2";"2";"2";"1";"2";"2";"2";
"01:00 - 02:00";"2";"2";"1";"1";"2";"2";"2";
"02:00 - 03:00";"2";"3";"2";"1";"2";"3";"2";
"03:00 - 04:00";"3";"3";"2";"2";"2";"2";"2";
"04:00 - 05:00";"2";"1";"2";"1";"2";"2";"2";
"05:00 - 06:00";"8";"8";"6";"8";"7";"4";"3";
"06:00 - 07:00";"14";"18";"15";"15";"15";"10";"5";
"07:00 - 08:00";"16";"22";"16";"19";"19";"14";"9";
"08:00 - 09:00";"29";"53";"44";"41";"42";"25";"17";
"09:00 - 10:00";"44";"93";"75";"68";"74";"43";"26";
"10:00 - 11:00";"58";"92";"67";"63";"70";"52";"34";
"11:00 - 12:00";"51";"82";"66";"64";"70";"53";"36";
"12:00 - 13:00";"56";"79";"67";"68";"70";"47";"31";
"13:00 - 14:00";"46";"77";"70";"74";"72";"42";"30";
"14:00 - 15:00";"40";"77";"62";"65";"68";"40";"28";
"15:00 - 16:00";"36";"79";"52";"57";"59";"36";"28";
"16:00 - 17:00";"27";"80";"55";"57";"58";"34";"24";
"17:00 - 18:00";"28";"68";"49";"52";"52";"28";"22";
"18:00 - 19:00";"24";"45";"30";"37";"37";"22";"21";
"19:00 - 20:00";"12";"35";"28";"29";"28";"16";"16";
"20:00 - 21:00";"7";"27";"24";"19";"17";"13";"14";
"21:00 - 22:00";"9";"16";"14";"13";"12";"8";"9";
"22:00 - 23:00";"6";"8";"6";"10";"8";"5";"5";
"23:00 - 00:00";"4";"5";"3";"7";"4";"3";"2";
