"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"1";"4";"3";"3";"3";"3";"2";
"01:00 - 02:00";"1";"4";"3";"2";"3";"3";"2";
"02:00 - 03:00";"1";"3";"3";"2";"3";"2";"2";
"03:00 - 04:00";"2";"5";"4";"3";"3";"2";"2";
"04:00 - 05:00";"3";"8";"6";"5";"5";"4";"2";
"05:00 - 06:00";"5";"13";"10";"9";"9";"5";"3";
"06:00 - 07:00";"9";"21";"16";"15";"15";"9";"4";
"07:00 - 08:00";"16";"33";"26";"24";"24";"13";"7";
"08:00 - 09:00";"32";"68";"54";"50";"50";"26";"14";
"09:00 - 10:00";"51";"108";"87";"79";"79";"44";"24";
"10:00 - 11:00";"59";"117";"95";"86";"85";"55";"31";
"11:00 - 12:00";"62";"114";"94";"84";"83";"52";"30";
"12:00 - 13:00";"63";"106";"90";"81";"81";"47";"27";
"13:00 - 14:00";"59";"102";"84";"77";"76";"44";"25";
"14:00 - 15:00";"55";"97";"77";"71";"70";"39";"24";
"15:00 - 16:00";"53";"92";"74";"66";"66";"36";"23";
"16:00 - 17:00";"49";"84";"68";"60";"60";"32";"21";
"17:00 - 18:00";"43";"74";"59";"54";"53";"27";"19";
"18:00 - 19:00";"36";"63";"50";"46";"45";"20";"17";
"19:00 - 20:00";"28";"51";"41";"36";"36";"16";"14";
"20:00 - 21:00";"20";"36";"29";"25";"25";"12";"10";
"21:00 - 22:00";"13";"23";"20";"18";"18";"8";"7";
"22:00 - 23:00";"8";"14";"12";"11";"11";"5";"4";
"23:00 - 00:00";"4";"8";"7";"6";"6";"3";"3";
