"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"1";"-3";"-4";"-3";"-2";"-1";"-1";
"01:00 - 02:00";"1";"-2";"-4";"-3";"-1";"-1";"0";
"02:00 - 03:00";"1";"-2";"-2";"-2";"-1";"0";"0";
"03:00 - 04:00";"1";"-4";"-3";"-2";"-2";"-1";"-1";
"04:00 - 05:00";"-1";"-9";"-7";"-6";"-5";"-1";"-1";
"05:00 - 06:00";"2";"-9";"-7";"-5";"-5";"-2";"0";
"06:00 - 07:00";"4";"-7";"-3";"-1";"-2";"2";"1";
"07:00 - 08:00";"1";"-18";"-17";"-9";"-11";"-1";"0";
"08:00 - 09:00";"-3";"-27";"-20";"-18";"-16";"-3";"1";
"09:00 - 10:00";"-8";"-35";"-28";"-25";"-13";"-4";"-3";
"10:00 - 11:00";"-3";"-47";"-50";"-43";"-26";"-10";"-3";
"11:00 - 12:00";"-13";"-57";"-50";"-39";"-28";"-4";"1";
"12:00 - 13:00";"-11";"-51";"-48";"-32";"-28";"-7";"-1";
"13:00 - 14:00";"-20";"-45";"-34";"-16";"-18";"-6";"1";
"14:00 - 15:00";"-20";"-43";"-39";"-23";"-16";"-2";"0";
"15:00 - 16:00";"-24";"-30";"-42";"-25";"-15";"-4";"4";
"16:00 - 17:00";"-28";"-20";"-31";"-12";"-11";"1";"1";
"17:00 - 18:00";"-21";"-21";"-29";"-13";"-8";"1";"1";
"18:00 - 19:00";"-17";"-36";"-41";"-23";"-21";"1";"3";
"19:00 - 20:00";"-22";"-33";"-29";"-19";"-19";"-1";"1";
"20:00 - 21:00";"-19";"-23";"-17";"-16";"-19";"-1";"2";
"21:00 - 22:00";"-8";"-13";"-14";"-9";"-11";"-3";"1";
"22:00 - 23:00";"-5";"-13";"-13";"-5";"-6";"-3";"0";
"23:00 - 00:00";"-3";"-8";"-9";"-4";"-4";"-2";"-1";
