"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"3";"3";"3";"3";"4";"4";"3";
"01:00 - 02:00";"3";"3";"2";"2";"3";"3";"3";
"02:00 - 03:00";"3";"3";"3";"2";"3";"3";"3";
"03:00 - 04:00";"3";"3";"3";"3";"3";"3";"3";
"04:00 - 05:00";"3";"3";"3";"2";"3";"4";"3";
"05:00 - 06:00";"10";"11";"10";"11";"10";"7";"5";
"06:00 - 07:00";"18";"27";"23";"25";"22";"18";"10";
"07:00 - 08:00";"24";"35";"25";"31";"27";"24";"15";
"08:00 - 09:00";"43";"79";"67";"61";"59";"43";"27";
"09:00 - 10:00";"64";"137";"112";"102";"107";"71";"39";
"10:00 - 11:00";"82";"142";"107";"100";"107";"86";"49";
"11:00 - 12:00";"77";"129";"109";"101";"106";"91";"52";
"12:00 - 13:00";"81";"127";"106";"102";"104";"81";"47";
"13:00 - 14:00";"68";"126";"106";"108";"106";"75";"45";
"14:00 - 15:00";"62";"121";"96";"96";"103";"70";"41";
"15:00 - 16:00";"56";"126";"88";"89";"98";"62";"43";
"16:00 - 17:00";"47";"122";"87";"93";"91";"59";"38";
"17:00 - 18:00";"46";"106";"78";"82";"81";"49";"35";
"18:00 - 19:00";"40";"73";"49";"60";"54";"39";"35";
"19:00 - 20:00";"23";"54";"40";"46";"40";"29";"29";
"20:00 - 21:00";"16";"40";"34";"31";"24";"22";"24";
"21:00 - 22:00";"15";"28";"22";"23";"18";"15";"16";
"22:00 - 23:00";"9";"14";"11";"17";"12";"10";"10";
"23:00 - 00:00";"6";"9";"6";"12";"8";"8";"5";
