"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"2";"6";"7";"6";"6";"5";"4";
"01:00 - 02:00";"2";"5";"6";"5";"4";"4";"3";
"02:00 - 03:00";"2";"5";"5";"4";"4";"3";"3";
"03:00 - 04:00";"2";"7";"6";"5";"5";"4";"4";
"04:00 - 05:00";"4";"12";"10";"8";"8";"5";"4";
"05:00 - 06:00";"8";"20";"17";"16";"15";"9";"5";
"06:00 - 07:00";"14";"34";"26";"26";"24";"16";"9";
"07:00 - 08:00";"23";"53";"42";"40";"38";"25";"15";
"08:00 - 09:00";"46";"106";"87";"79";"75";"46";"26";
"09:00 - 10:00";"72";"172";"140";"127";"120";"75";"42";
"10:00 - 11:00";"85";"189";"157";"143";"133";"96";"52";
"11:00 - 12:00";"90";"186";"159";"140";"134";"95";"51";
"12:00 - 13:00";"92";"178";"154";"134";"132";"88";"48";
"13:00 - 14:00";"88";"171";"140";"124";"124";"81";"44";
"14:00 - 15:00";"82";"164";"135";"119";"119";"72";"41";
"15:00 - 16:00";"80";"156";"130";"114";"113";"66";"39";
"16:00 - 17:00";"75";"142";"118";"105";"102";"58";"37";
"17:00 - 18:00";"67";"127";"107";"95";"89";"48";"34";
"18:00 - 19:00";"57";"109";"90";"83";"75";"38";"32";
"19:00 - 20:00";"45";"87";"69";"65";"59";"30";"28";
"20:00 - 21:00";"35";"63";"51";"47";"43";"23";"22";
"21:00 - 22:00";"23";"41";"36";"32";"29";"18";"15";
"22:00 - 23:00";"14";"27";"24";"22";"18";"13";"10";
"23:00 - 00:00";"9";"17";"15";"16";"12";"10";"6";
