"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"0";"0";"0";"0";"0";"0";"-1";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"0";"0";"0";"0";
"03:00 - 04:00";"0";"-1";"0";"-1";"-1";"-1";"-1";
"04:00 - 05:00";"-1";"-1";"-1";"-1";"-1";"-1";"-1";
"05:00 - 06:00";"1";"0";"0";"-1";"0";"0";"0";
"06:00 - 07:00";"0";"0";"-1";"-1";"0";"1";"2";
"07:00 - 08:00";"0";"-2";"-3";"-2";"-2";"-1";"1";
"08:00 - 09:00";"1";"-1";"-3";"-4";"-2";"-2";"2";
"09:00 - 10:00";"5";"14";"5";"-4";"6";"-5";"-2";
"10:00 - 11:00";"3";"5";"-6";"-11";"2";"-7";"-5";
"11:00 - 12:00";"3";"13";"-4";"-10";"1";"-7";"-4";
"12:00 - 13:00";"3";"1";"-8";"-13";"1";"-5";"-3";
"13:00 - 14:00";"5";"0";"-7";"-9";"2";"-1";"-3";
"14:00 - 15:00";"3";"-5";"-8";"-11";"-1";"-1";"-3";
"15:00 - 16:00";"6";"3";"-2";"-10";"5";"4";"-2";
"16:00 - 17:00";"1";"2";"0";"-12";"-2";"7";"-4";
"17:00 - 18:00";"3";"7";"0";"-11";"7";"9";"-2";
"18:00 - 19:00";"-2";"-3";"-9";"-10";"-9";"9";"0";
"19:00 - 20:00";"-3";"-4";"-4";"-7";"-4";"4";"-2";
"20:00 - 21:00";"-2";"-3";"-5";"-5";"-4";"1";"-3";
"21:00 - 22:00";"0";"-2";"-3";"-3";"-3";"0";"-2";
"22:00 - 23:00";"1";"0";"-2";"0";"0";"0";"-1";
"23:00 - 00:00";"0";"-1";"-1";"0";"-1";"1";"-1";
